Image URL,Credit,Caption,Alt text
body folder crows 1.png,Crows,body folder,a purple file folder with a featureless yellow person on it.
body folder.png,Petri,body folder,a digitally drawn image of an orange-coloured person inside a transparent blue folder
body folder t.png,Tonto,body folder,a siling yellow figure. It's inside a teal folder that has green and orange folder tabs behind it.
body folder crows 2.png,Crows,body folder,a blue file folder with a featureless yellow person on it.
body folder tcc.png,TCC-mojis,body folder,"A icon of a dark blue file folder with three tabs at the top and a grey panel in the center. On the panel is a desaturated, simply stylized, yellow person."
face features folder freddy.png,Tonto,face features folder,"blue file folder with green and orange tabs behind it. on blue file folder is brown ear, light brown nose, lips, closed eye, and sparkle."
body folder crows 3.png,Crows,body folder,a red file folder with a featureless yellow person on it.
body parts folder freddy.png,Tonto,body parts folder,"blue file folder with green and orange tabs behind it. on blue file folder is closed eye, pale foot, light brown breast, dark brown arm, brown nose."
medical folder neon 2.png,Neon,medical folder,A light blue folder with three colored tabs poking out the top. On the front of the folder is a red medical cross.
body folder crows 4.png,Crows,body folder,a green file folder with a featureless yellow person on it.
bones folder freddy.png,Tonto,bones folder,blue file folder with green and orange tabs behind it. on blue file folder is two long bones and a jawbone.
mental health folder tonto.png,Tonto,mental health folder,a red cross over a brain inside a teal folder that has green and orange folder tabs behind it.
medical folder neon 1.png,Neon,medical folder,"A light blue folder with three colored tabs poking out the top. On the front of the folder is a stethoscope, a bandaid, and a red medical cross."
medical folder petri 1.png,Petri,medical folder,"A drawing of a hollow blue folder with thick lines, containing a stethoscope."
mental health folder chrome.png,cytochrome-sea,mental health folder,image of a cyan paw with a pink brain on it
medical folder t.png,Tonto,medical folder,a red cross. It's inside a teal folder that has green and orange folder tabs behind it.
medical folder petri 2.png,Petri,medical folder,"A drawing of a hollow blue folder with thin lines, containing a stethoscope."
organs folder freddy.png,Tonto,organs folder,blue file folder with brown torso cross-sectioned to show internal organs.
mental health folder petri 1.png,Petri,mental health folder,"A hollow blue folder with thick lines, containing a pink brain with a white plus sign on it."
medical folder meowing.png,meowing-emojis,medical folder,a light yellow file folder thathas a red plus sign and a circularlight blue pill on it.
parts of face folder 1.png,Eldritch-Emojis,parts of face,"a transparent styleized folder with a nose, eye and lips in the center, in a circle."
mental health folder petri 2.png,Petri,mental health folder,"A hollow blue folder with thin lines, containing a pink brain with a white plus sign on it."
medical folder.png,Petri & M,medical folder,"A silver caduceus, inside of a transparent blue folder."
parts of face folder 2.png,Eldritch-Emojis,parts of face,"stylized nose, eye and lips in a circle."
pain folder t.png,Tonto,pain folder,an emoji yellow figure with red pain lines on and around them and a sad face. it's inside a teal folder that has green and orange folder tabs behind it.
medicine folder 1 crows.png,Crows,medicine folder,"purple file folder with an orange pill bottle, a pill packet, and some capsule medication on it."
pain sickness folder evan.png,Evan,pain / sickness folder,"a blue folder. inside it are a raised reddened bump on emoji yellow skin and a thermometer reading a high temperature, separated by a black forwardslash."
