Image URL,Credit,Caption,Alt text
/AAC Org/concepts folder crows 1.png,Crows,concepts folder,"a purple file folder with 2 stars and a cloud with a swirl in the middle on it, on each side of the stars and cloud is 3 lines."
concepts folder petri 2a.png,Petri,concepts folder,"A hollow blue folder with thick lineart. It contains many abstract lines and shapes in various colours. The biggest shape is vaguely heart-like with no fill, and a small portion of it cut out."
concepts folder petri 3a.png,Petri,concepts folder,"A hollow blue folder with thick lineart. It contains a wavy, vaguely cloud-like shape, with a pink outer layer and a light blue inner layer."
concepts folder petri 1a.png,Petri,concepts folder,"A hollow blue folder with thick lineart. It contains many abstract lines and shapes in various colours. The biggest shape is vaguely heart-like, and contains a pale green fill with a portion of it cut out."
concepts folder petri 2b.png,Petri,concepts folder,"A hollow blue folder with thin lineart. It contains many abstract lines and shapes in various colours. The biggest shape is vaguely heart-like with no fill, and a small portion of it cut out."
concepts folder petri 3b.png,Petri,concepts folder,"A hollow blue folder with thin lineart. It contains a wavy, vaguely cloud-like shape, with a pink outer layer and a light blue inner layer."
concepts folder petri 1b.png,Petri,concepts folder,"A hollow blue folder with thin lineart. It contains many abstract lines and shapes in various colours. The biggest shape is vaguely heart-like, and contains a pale green fill with a portion of it cut out."
/AAC Org/concepts folder t.png,Tonto,concepts folder,a multicolored cloud. It's inside a teal folder that has green and orange folder tabs behind it.
/AAC Org/concepts folder crows 2.png,Crows,concepts folder,"a red file folder with 2 stars and a cloud with a swirl in the middle on it, on each side of the stars and cloud is 3 lines."
concepts folder petri 4a.png,Petri,concepts folder,"A hollow blue folder with thick lineart. It contains a wavy, vaguely cloud-like shape, with a pink outer layer and a light blue inner layer. There is a four-pointed star with a loose dark pink lineart in the bottom left corner, and a short dark blue bumpy line in the top right."
concepts folder petri.png,Petri,concepts folder,"A light blue hollow folder with a single tab. Inside of it is a large fluffy cloud-like shape, with a pink outer layer and a light blue inner layer."
/AAC Org/concepts folder crows 3.png,Crows,concepts folder,"a teal file folder with 2 stars and a cloud with a swirl in the middle on it, on each side of the stars and cloud is 3 lines."
concepts folder petri 4b.png,Petri,concepts folder,"A hollow blue folder with thin lineart. It contains a wavy, vaguely cloud-like shape, with a pink outer layer and a light blue inner layer. There is a four-pointed star with a loose dark pink lineart in the bottom left corner, and a short dark blue bumpy line in the top right."
