Image URL,Credit,Caption,Alt text
autism folder crows 1.png,Crows,autism folder,a purple file folder with a gold infinity symbol on it.
autism folder crows 3.png,Crows,autism folder,a red file folder with a gold infinity symbol on it.
autism folder crome.png,cytochrome-sea,autism folder,image of a cyan paw with a rainbow infinity sign on it
autism folder crows 2.png,Crows,autism folder,a blue file folder with a gold infinity symbol on it.
autism folder crows 4.png,Crows,autism folder,a green file folder with a gold infinity symbol on it.
disability aids folder crows 3.png,Crows,disability aids folder,"a red file folder with a white cane, an ear with a hearing aid in it, and a hand wearing a wrist brace on it."
autism folder t.png,Tonto,autism folder,a rainbow infinity sign. It's inside a teal folder that has green and orange folder tabs behind it.
autism folder m.png,M,autism page,golden infinity symbol in front of a big green leaf shape.
disability aids folder crows 4.png,Crows,disability aids folder,"a teal file folder with a white cane, an ear with a hearing aid in it, and a hand wearing a wrist brace on it."
disability aids folder crows 1.png,Crows,disability aids folder,"a purple file folder with a white cane, an ear with a hearing aid in it, and a hand wearing a wrist brace on it."
delusions folder.png,Petri & M,delusions folder,"a figure facing a blue square and picturing a red circle, inside of a transparent blue folder."
disability aids folder legless rat.png,legless rat,disability aids folder,"a yellow file folder with a black and red powerchair, a simple yes-no switch for AAC with a red and a green button, and a folded white cane"
disability folder petri 1.png,Petri,disability folder,A hollow blue folder with thick lineart. Inside of it is the disability sun symbol with the disability flag on it.
disability aids folder crows 2.png,Crows,disability aids folder,"a blue file folder with a white cane, an ear with a hearing aid in it, and a hand wearing a wrist brace on it."
disability folder petri 2.png,Petri,disability folder,A hollow blue folder with thin lineart. Inside of it is the disability sun symbol with the disability flag on it.
eratomania folder.png,Ani,erotomania folder,A black square with a drawing of two people in it The person on the left is blue with a red heart on their chest The person on the right is black and has a red X on their chest
disability folder t.png,Tonto,disability folder,a wheelchair symbol in front of the updated disability pride flag. It's inside a teal folder that has green and orange folder tabs behind it.
disability folder.png,Petri,disability folder,"A circle with a dot inside it, coloured with the disability pride flag stripes, inside of a transparent blue folder."
hpd folder petri 1a.png,Petri,HPD folder,"A hollow blue folder with thick lineart. It contains an emoji yellow person under a spotlight, holding their hand by their face, with a pink heart on their chest. There are two floating eyes to either side of them, all looking at them."
hpd folder petri 2a.png,Petri,HPD folder,"A hollow blue folder with thick lineart. It contains an emoji yellow person under a spotlight, holding their hand by their face. There are two floating eyes to either side of them, all looking at them."
ed cognitive distortion folder.png,Harlow,ED/cognitive distortion,"blue folder outline with an apple and a peanut butter and jelly sandwich inside, a thought bubble comes out of it with a yellow caution symbol"
hpd folder petri 1b.png,Petri,HPD folder,"A hollow blue folder with thin lineart. It contains an emoji yellow person under a spotlight, holding their hand by their face, with a pink heart on their chest. There are two floating eyes to either side of them, all looking at them."
mobility aids folder t.png,Tonto,mobility aids folder,a cane with stickers on it next to a manual wheelchair. It's inside a teal folder that has green and orange folder tabs behind it.
hpd folder petri 2b.png,Petri,HPD folder,"A hollow blue folder with thin lineart. It contains an emoji yellow person under a spotlight, holding their hand by their face. There are two floating eyes to either side of them, all looking at them."
pd folder lovelikeadog.png,Lovelikeadog,personality disorder folder,A bright teal folder with a rainbow lightbulb outline in the middle. The lightbulb has leaves in the middle and bars to show it illuminating.
pots folder tonto 1.png,Tonto,PoTS folder,a salt shaker in front of a heart. It's inside a teal folder that has green and orange folder tabs behind it.
paranoia folder tonto.png,Tonto,paranoia folder,two big eyes looking at a scared black figure inside a teal folder that has green and orange folder tabs behind it.
