Image URL,Credit,Caption,Alt text
a folder fg 1.png,froggygolem,A folder,light orange file folder with capital and lowercase A on it.
b folder fg 1.png,froggygolem,B folder,light orange file folder with capital and lowercase B on it.
c folder fg 1.png,froggygolem,C folder,light orange file folder with capital and lowercase C on it.
d folder fg 1.png,froggygolem,D folder,light orange file folder with capital and lowercase D on it.
e folder fg 1.png,froggygolem,E folder,light orange file folder with capital and lowercase E on it.
f folder fg 1.png,froggygolem,F folder,light orange file folder with capital and lowercase F on it.
g folder fg 1.png,froggygolem,G folder,light orange file folder with capital and lowercase G on it.
h folder fg 1.png,froggygolem,H folder,light orange file folder with capital and lowercase h on it.
i folder fg 1.png,froggygolem,I folder,light orange file folder with capital and lowercase I on it.
j folder fg 1.png,froggygolem,J folder,light orange file folder with capital and lowercase J on it.
k folder fg 1.png,froggygolem,K folder,light orange file folder with capital and lowercase K on it.
l folder fg 1.png,froggygolem,L folder,light orange file folder with capital and lowercase L on it.
m folder fg 1.png,froggygolem,M folder,light orange file folder with capital and lowercase M on it.
n folder fg 1.png,froggygolem,N folder,light orange file folder with capital and lowercase N on it.
o folder fg 1.png,froggygolem,O folder,light orange file folder with capital and lowercase O on it.
p folder fg 1.png,froggygolem,P folder,light orange file folder with capital and lowercase P on it.
q folder fg 1.png,froggygolem,Q folder,light orange file folder with capital and lowercase Q on it.
r folder fg 1.png,froggygolem,R folder,light orange file folder with capital and lowercase R on it.
s folder fg 1.png,froggygolem,S folder,light orange file folder with capital and lowercase S on it.
t folder fg 1.png,froggygolem,T folder,light orange file folder with capital and lowercase T on it.
u folder fg 1.png,froggygolem,U folder,light orange file folder with capital and lowercase U on it.
v folder fg 1.png,froggygolem,V folder,light orange file folder with capital and lowercase V on it.
w folder fg 1.png,froggygolem,W folder,light orange file folder with capital and lowercase W on it.
x folder fg 1.png,froggygolem,X folder,light orange file folder with capital and lowercase X on it.
y folder fg 1.png,froggygolem,Y folder,light orange file folder with capital and lowercase Y on it.
z folder fg 1.png,froggygolem,Z folder,light orange file folder with capital and lowercase Z on it.
a folder fg 2.png,froggygolem,A folder,light green file folder with capital and lowercase A on it.
b folder fg 2.png,froggygolem,B folder,light green file folder with capital and lowercase B on it.
c folder fg 2.png,froggygolem,C folder,light green file folder with capital and lowercase C on it.
d folder fg 2.png,froggygolem,D folder,light green file folder with capital and lowercase D on it.
e folder fg 2.png,froggygolem,E folder,light green file folder with capital and lowercase E on it.
f folder fg 2.png,froggygolem,F folder,light green file folder with capital and lowercase F on it.
g folder fg 2.png,froggygolem,G folder,light green file folder with capital and lowercase G on it.
h folder fg 2.png,froggygolem,H folder,light green file folder with capital and lowercase H on it.
i folder fg 2.png,froggygolem,I folder,light green file folder with capital and lowercase I on it.
j folder fg 2.png,froggygolem,J folder,light green file folder with capital and lowercase J on it.
k folder fg 2.png,froggygolem,K folder,light green file folder with capital and lowercase K on it.
l folder fg 2.png,froggygolem,L folder,light green file folder with capital and lowercase L on it.
m folder fg 2.png,froggygolem,M folder,light green file folder with capital and lowercase M on it.
n folder fg 2.png,froggygolem,N folder,light green file folder with capital and lowercase N on it.
o folder fg 2.png,froggygolem,O folder,light green file folder with capital and lowercase O on it.
p folder fg 2.png,froggygolem,P folder,light green file folder with capital and lowercase P on it.
q folder fg 2.png,froggygolem,Q folder,light green file folder with capital and lowercase Q on it.
r folder fg 2.png,froggygolem,R folder,light green file folder with capital and lowercase R on it.
s folder fg 2.png,froggygolem,S folder,light green file folder with capital and lowercase S on it.
t folder fg 2.png,froggygolem,T folder,light green file folder with capital and lowercase T on it.
u folder fg 2.png,froggygolem,U folder,light green file folder with capital and lowercase U on it.
v folder fg 2.png,froggygolem,V folder,light green file folder with capital and lowercase V on it.
w folder fg 2.png,froggygolem,W folder,light green file folder with capital and lowercase W on it.
x folder fg 2.png,froggygolem,X folder,light green file folder with capital and lowercase X on it.
y folder fg 2.png,froggygolem,Y folder,light green file folder with capital and lowercase Y on it.
z folder fg 2.png,froggygolem,Z folder,light green file folder with capital and lowercase Z on it.
Alphabet - A Black Thin.png,Petrichor,"A folder (black, thin)",a transparent blue folder with thin outlines and a black letter 'A' inside it.
black f folder tk.png,takaramoon,black F folder,"a Manila coloured folder with a black (RGB: 0, 0, 0) capital 'F' on it"
Alphabet - A Black Thick.png,Petrichor,"A folder (black, thick)",a transparent blue folder with thick outlines and a black letter 'A' inside it.
Alphabet - A Brown Thick.png,Petrichor,"A folder (brown, thick)",a transparent blue folder with thick outlines and a brown letter 'A' inside it.
Alphabet - A Blue Thick.png,Petrichor,"A folder (blue, thick)",a transparent blue folder with thick outlines and a blue letter 'A' inside it.
Alphabet - A Blue Thin.png,Petrichor,"A folder (blue, thin)",a transparent blue folder with thin outlines and a blue letter 'A' inside it.
Alphabet - A Green Thin.png,Petrichor,"A folder (green, thin)",a transparent blue folder with thin outlines and a green letter 'A' inside it.
