Image URL,Credit,Caption,Alt text
/AAC Org/animals folder crows 1.png,Crows,animals folder,"a purple file folder with a ginger tabby, a crow, and a ferret on it."
/AAC Org/insects folder crows 1.png,Crows,insects folder,"a purple file folder with a bee, a blue butterfly, and an earthworm on it."
animal parts folder rc.png,Bear,animals parts folder,"A tan file folder. On the front are four animal body parts grouped into a square but not connected to each other. There is a grey trunk, a white claw, a maroon paw print / paw pad, and a brown feather."
/AAC Org/animals folder crows 2.png,Crows,animals folder,"a red file folder with a ginger tabby, a crow, and a ferret on it."
/AAC Org/insects folder crows 2.png,Crows,insects folder,"a red file folder with a bee, a blue butterfly, and an earthworm on it."
/AAC Org/Animals_folder.png,Petri,animals folder,"A drawing of a blue hollow folder. Inside of it there's a cat, fish, and rabbit, all coloured orange."
/AAC Org/animals folder crows 3.png,Crows,animals folder,"a teal file folder with a ginger tabby, a crow, and a ferret on it."
/AAC Org/insects folder crows 3.png,Crows,insects folder,"a teal file folder with a bee, a blue butterfly, and an earthworm on it."
animals folder k9.png,K9,animals folder,a reddish-brown folder icon. it has a paw print and a feather on the front.
bugs folder legless rat crows.png,"legless rat, adapted from Crows",bugs folder,"a star shaped folder with a yellow inside and darker yellow green ish outside with a tab of the same colour, with a bee, a worm and a blue butterfly."
/AAC Org/marine biology folder tonto.png,Tonto,marine biology folder,"A hammmerhead shark, a sea snail, and a fish inside a teal folder that has green and orange folder tabs behind it"
birds folder legless rat.png,legless rat,birds folder,a yellow file folder with a black cawing crow and a star inside.
/AAC Org/Bugs_folder.png,Petri,bugs folder,"A drawing of a blue hollow folder. Inside of it there's a simplistic beetle, coloured orange."
/AAC Org/plants folder leaf.png,Leaf,plants folder,"a blue folder with a lighter blue inside, on it is a pink flower and a green leaf"
bug folder legless rat.png,legless rat,bug folder,a yellow file folder with a green-yellow inchworm and a star inside.
/AAC Org/insects folder rae.png,Rae,insects folder,"a folder with three bugs: a large brown tick or cockroach like bug, a tiny butterfly with pink wings, and a green caterpillar with beady red eyes."
/AAC Org/plants folder ee.png,Eldritch-Emojis,plants folder,a stylized drawing of a folder with two plants in the center.
/AAC Org/flower folder koda.png,Koda,flower folder,"a green folder with 3 flowers, from left to right: a white daisy, a pink tulip, and a red poppy"
/AAC Org/nature folder chrome.png,cytochrome-sea,nature folder,a cyan paw with a pine tree on it.
/AAC Org/plants folder crows 1.png,Crows,plants folder,"a purple file folder with 3 plants on it; a fern, a seedling, and a leaf."
/AAC Org/flowers folder crows 1.png,Crows,flowers folder,"a purple file folder with 3 flowers on it; a daisy, a red rose, and a tall blue flower."
/AAC Org/plants folder pheonix.png,Pheonix,plants folder,"An orange file folder with 3 tabs across the top has a white rectangle on its front, inside the rectangle is a plant sprout, its light green with two leaves."
/AAC Org/plants folder crows 2.png,Crows,plants folder,"a red file folder with 3 plants on it; a fern, a seedling, and a leaf."
/AAC Org/flowers folder crows 2.png,Crows,flowers folder,"a red file folder with 3 flowers on it; a daisy, a red rose, and a tall blue flower."
/AAC Org/sea animal folder rae.png,Rae,sea animal folder,"a folder showing a cartoony whale, a crab, and a tiny purple clam/oyster type animal."
/AAC Org/plants folder crows 3.png,Crows,plants folder,"a green file folder with 3 plants on it; a fern, a seedling, and a leaf."
