Image URL,Credit,Caption,Alt text
/AAC Org/anthropology folder koda 1.png,Koda,anthropology folder,a grey folder with a off white skull on it
Friends folder thick Petri.png,Petri,Friends Folder (variant),"A drawing of a hollow blue folder with thick lines containing two emoji yellow people from the bust up, with one putting their hand on the other"
bigots folder petri 3.png,Petri,bigots folder,"A hollow blue folder with thick lineart. It contains two simple emoji yellow people. Both of them speak the same speech bubble, which has a green circle with a large red X over it. There are angry red squiggles and triangles floating near the people."
/AAC Org/anthropology folder koda 2.png,Koda,anthropology folder,a brown folder with a off white skull on it
bigots folder petri 2.png,Petri,bigots folder,"A hollow blue folder with thin lineart. It contains two simple emoji yellow people. Both of them speak the same speech bubble, which has a green circle with a large red X over it."
bigots folder petri 4.png,Petri,bigots folder,"A hollow blue folder with thin lineart. It contains two simple emoji yellow people. Both of them speak the same speech bubble, which has a green circle with a large red X over it. There are angry red squiggles and triangles floating near the people."
/AAC Org/anthropology folder koda 3.png,Koda,anthropology folder,a dark green folder with a off white skull on it
/AAC Org/jobs folder t.png,Tonto,jobs folder,a wrench and stethoscope inside a teal folder that has green and orange folder tabs behind it.
Friends folder thin Petri.png,Petri,Friends Folder (variant),"A drawing of a hollow blue folder with thin lines containing two emoji yellow people from the bust up, with one putting their hand on the other"
bigots folder petri 1.png,Petri,bigots folder,"A hollow blue folder with thick lineart. It contains two simple emoji yellow people. Both of them speak the same speech bubble, which has a green circle with a large red X over it."
/AAC Org/names folder t.png,Tonto,names folder,two name stickers inside a teal folder that has green and orange folder tabs behind it.
people folder petri 1a.png,Petri,people folder,"A hollow blue folder with thick lines, containing three busts of emoji yellow people of various heights."
/AAC Org/family folder t.png,Tonto,family folder,small differently-colored figures around a tree inside a teal folder that has green and orange folder tabs behind it.
people folder petri 2a.png,Petri,people folder,"A hollow blue folder with thick lines, containing three busts of emoji yellow people of various heights. The tallest is holding a purple cane and the middle is wearing a pink hijab."
people folder petri 1b.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of emoji yellow people of various heights."
/AAC Org/friends folder petri 1.png,Petri,friends folder,"A drawing of a hollow blue folder with thick lines containing two emoji yellow people from the bust up, with one putting their hand on the other's shoulder. There are some pink lines around them."
people folder petri 2b.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of emoji yellow people of various heights. The tallest is holding a purple cane and the middle is wearing a pink hijab."
people folder petri 3a.png,Petri,people folder,"A hollow blue folder with thick lines, containing three busts of emoji yellow people of various heights. There are purple lines around the people and a large purple sparkle"
/AAC Org/friends folder petri 2.png,Petri,friends folder,"A drawing of a hollow blue folder with thin lines containing two emoji yellow people from the bust up, with one putting their hand on the other's shoulder. There are some pink lines around them."
/AAC Org/people folder.png,Petri,people folder,"Orange generic, featureless people, inside of a transparent blue folder."
people folder petri 3b.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of emoji yellow people of various heights. There are purple lines around the people and a large purple sparkle"
names folder petri 1.png,Petri,names folder,"A hollow blue folder with thick lineart. Inside is a nametag with a thick red stripe at the top. There are long off-black scribbles on the stripe, and a larger, red scribble in the white portion of the nametag."
/AAC Org/people folder petri 8.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. There are dark blue lines around the people and a large sparkle"
/AAC Org/people online folder rae.png,Rae,people online folder,a blue folder with a muted cyan Internet globe symbol and two simple human figures
names folder petri 2.png,Petri,names folder,"A hollow blue folder with thin lineart. Inside is a nametag with a thick red stripe at the top. There are long off-black scribbles on the stripe, and a larger, red scribble in the white portion of the nametag."
people folder petri 6a.png,Petri,People Folder,"A hollow blue folder with thick lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. The green person is holding a purple cane and the yellow person is wearing a pink hijab. There are dark blue lines around the people and a large sparkle."
people folder petri 6b.png,Bear,People Folder,"A hollow blue folder with thin lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. The green person is holding a purple cane and the yellow person is wearing a pink hijab. There are dark blue lines around the people and a large sparkle."
people folder petri 4a.png,Petri,people folder,"A hollow blue folder with thick lines, containing three busts of emoji yellow people of various heights. There are purple lines around the people and a large purple sparkle"
/AAC Org/people folder ani.png,Ani,people folder,a black square with three people drawn in it The person on the far left is tan next to and in front of the tan one is a dark blue person and the one on the far right is dark green
/AAC Org/self folder rc.png,Bear,self folder,on top of an orange folder with rounded corners is a yellow figure  with blue emphasis lines and pink sparkles around it.
/AAC Org/people folder petri 7.png,Petri,people folder,"A hollow blue folder with thick lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. There are dark blue lines around the people and a large sparkle"
people folder petri 5a.png,Petri,People folder,"A hollow blue folder with thick lines, containing three busts of emoji yellow people of various heights. The tallest is holding a purple cane and the middle is wearing a pink hijab. There are purple lines around the people and a large purple sparkle."
/AAC Org/self folder t.png,Tonto,self folder,a smiling yellow figure holding a piece of paper with a red arrow pointing to them inside a teal folder that has green and orange folder tabs behind it.
people folder petri 4b.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of emoji yellow people of various heights. There are purple lines around the people and a large purple sparkle."
people folder petri 7a.png,Petri,People Folder,"A hollow blue folder with thick lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. The green person is holding a purple cane and the yellow person is wearing a pink hijab."
/AAC Org/self folder meabh.png,Méabh,self folder,"A drawing of a light brown manila folder that has two blue tabs, on the front of the folder there is a drawing of a yellow person with blue eyes face. there are two red arrows on the folder that point to the yellow person."
/AAC Org/people folder t.png,Tonto,people folder,"three smiling people. one is pink, one is yellow, and one is green. They're inside a teal folder that has green and orange folder tabs behind it."
people folder petri 7b.png,Petri,People Folder,"A hollow blue folder with thin lines, containing three busts of people at various heights. One is green, one is blue, and one is yellow. The green person is holding a purple cane and the yellow person is wearing a pink hijab."
/AAC Org/relationships folder t.png,Tonto,relationships folder,a light and a brown hand shaking hands with a small heart above them inside a teal folder that has green and orange folder tabs behind it.
/AAC Org/people folder rc.png,Bear,people folder,"on top of an orange folder with rounded corners are three figures standing together. A big yellow figure stands in front, behind it is a white figure with a star on its chest, and a short slightly fluffy blue figure."
/AAC Org/races folder t.png,Tonto,races folder,a rainbow over three smiling faces with different skintones inside a teal folder that has green and orange folder tabs behind it.
/AAC Org/family folder pheonix 3.png,Pheonix,family,"An orange file folder with 3 tabs across the top has a white rectangle on its front, inside the rectangle is the canopy of a tree with 3 tan circles on it, inside each circle is a figure, one yellow, one purple, and one blue."
people folder petri 5b.png,Petri,people folder,"A hollow blue folder with thin lines, containing three busts of emoji yellow people of various heights. The tallest is holding a purple cane and the middle is wearing a pink hijab. There are purple lines around the people and a large purple sparkle."
/AAC Org/people folder chrome.png,cytochrome-sea,people folder,image of a yellow paw with a stick figure in it
/AAC Org/friends folder pheonix.png,Pheonix,friends folder,"An orange file folder with 3 tabs across the top has a white rectangle on its front, inside the rectangle are two yellow figures side by side one with an arm around the other"
/AAC Org/people folder1.png,Petri & M,people folder,"Purple generic, featureless people, inside of a transparent blue folder."
self folder crows 4.png,Crows,self folder,"a red file folder with a yellow person on it, the person has wings instead of ears and an arrow curves to point from them to them."
self folder 3 crows.png,Crows,self folder,"a green file folder with a yellow person on it, the person has wings instead of ears and an arrow curves to point from them to them."
self folder 9 crows.png,Crows,self folder,"a purple folder with a yellow person on it, an arrow curves to point from them to them."
self folder 2 crows.png,Crows,self folder,"a red file folder with a yellow person on it, the person has wings instead of ears and an arrow curves to point from them to them."
self folder crows 5.png,Crows,self folder,"a green file folder with a yellow person on it, the person has wings instead of ears and an arrow curves to point from them to them."
self folder 1 crows.png,Crows,self folder,"a purple file folder with a yellow person on it, the person has wings instead of ears and an arrow curves to point from them to them."
