Image URL,Credit,Caption,Alt text
aac crows.png,Crows,AAC,"simplified drawings of a set of communication cards, an aac folder, and an aac device."
aac as second brain m 1.png,M,AAC as second brain,a green double-sided arrow pointing between a simplified pink brain and an AAC device with a blue case and blank 5 by 6 grid.
aac leaf.png,Leaf,AAC,"drawing of an AAC device with eight columns of three buttons. The first two columns have yellow buttons, then green, then orange, then blue."
aac binder rae.png,Rae,AAC binder,a purplish grey spiral bound binder that says AAC and has three pages sticking out
aac as second brain m 2.png,M,AAC as second brain,a green double-sided arrow pointing between a simplified pink brain and an AAC device with a blue case and 5 by 6 grid with different colored buttons.
aac helps me unmask tonto.png,Tonto,AAC helps me unmask,"a yellow person holding a pink AAC , a green arrow comes from it & it is pointing a mask with a red X on top."
aac device koda 1.png,Koda,AAC device,"a blue tablet, the tablet has a case with a handle on the top. the tablet has a 3 x 6 grid, 6 buttons are red, 3 are yellow, 3 are green, 3 are blue, and the last 3 are purple. there is a grey message box above the grid."
aac folder bh red.png,Blackholemojis,AAC folder,"low tech AAC pages in a red folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac device koda 2.png,Koda,AAC device,"a lime green phone with a 4 x 11 grid, 6 buttons are red, 4 are orange, 5 are yellow, another 5 are teal, another 5 are blue, and the last 3 are purple. there is a grey message bar at the top and a phone camera above that"
aac folder blue bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a blue folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder brown bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a brown folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder bh purple.png,Blackholemojis,AAC folder,"low tech AAC pages in a purple folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder grey bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a grey folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder indigo bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a indigo folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder black bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a black folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder magenta bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a magenta folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder orange bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a orange folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder green bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a green folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder turquoise bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a turquoise folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder white bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a white folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac folder lime bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a lime folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
aac needs to charge dusty.png,Dusty,AAC needs to charge,"A drawing of an AAC device with a battery in the upper left, which has a red excalamation point."
aac low battery dusty.png,Dusty,AAC low battery,"A drawing of an AAC device with a battery in the upper left, which has one red bar."
aac folder teal bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a teal folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
harlow tablet 1.png,Harlow,AAC tablet,An AAC tablet with a sturdy case. Displayed on it are folders in different colors and a menu.
aac partial battery dusty.png,Dusty,AAC partial battery,"A drawing of an AAC device with a battery in the upper left, which has two yellow bars."
aac folder yellow bh.png,Blackholemojis,AAC folder,"low tech AAC pages in a yellow folder. There are different common symbols on the front page, including green/yellow/red squares that could stand for yes/maybe/no, or go/slow/stop."
