Image URL,Credit,Caption,Alt text
ch ls black.png,Plum,"conditioning hair (long, straight, black)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, black hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls blonde.png,Plum,"conditioning hair (long, straight, blonde)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, blonde hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls blue.png,Plum,"conditioning hair (long, straight, blue)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, blue hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls brown.png,Plum,"conditioning hair (long, straight, brown)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, brown hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls ginger.png,Plum,"conditioning hair (long, straight, ginger)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, ginger hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls green.png,Plum,"conditioning hair (long, straight, green)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, green hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls indigo.png,Plum,"conditioning hair (long, straight, indigo)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, indigo hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls magenta.png,Plum,"conditioning hair (long, straight, magenta)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, magenta hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls orange.png,Plum,"conditioning hair (long, straight, orange)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, orange hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls pink.png,Plum,"conditioning hair (long, straight, pink)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, pink hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls purple.png,Plum,"conditioning hair (long, straight, purple)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, purple hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls red.png,Plum,"conditioning hair (long, straight, red)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, red hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls teal.png,Plum,"conditioning hair (long, straight, teal)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, teal hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
ch ls yellow.png,Plum,"conditioning hair (long, straight, yellow)","A cartoony drawing of a yellow person’s floating head and hands working conditioner into their long, straight, yellow hair. Green arrows show the motion of their hands going up and down. Next to them is a bottle of conditioner with a pump-style lid."
condition hair vixen.png,Vixen,condition hair,"The image depicts a yellow cute cartoon cat with fluffy fur being washing their hair with conditioner.  there is a purple bottle of conditioner with a white lid labeled '2 Conditioner'. heart shaped Bubbles are rising from the cat's head, and there are A green arrow is pointing downwards indicating that the conditioner is being applied to the cat's hair."
