Image URL,Credit,Caption,Alt text
feel.png,Tonto,feel,two hands feeling a bue square of fabric.
balance m 1.png,M,balance,"A yellow figure balncing on a green line, drwn taut beneath them. they have one arm by theeir side and one arm raised over their head, which is tilting to the left with their torso."
balance m 2.png,M,balance,"A yellow figure balncing on a blue line, drwn taut beneath them. they have one arm by theeir side and one arm raised over their head, which is tilting to the left with their torso."
feel pi.png,Pi,feel,An illustration of a light muted purple person putting their finger out and touching a large yellow humanoid creature with various sizes of arms with their fingers out; the two people's fingers touch with blue around the impact point
feel petri 1.png,Petri,feel,"A drawing in white on a large black square. The drawing is of a hand, back facing the viewer, with emphasis lines around it."
hear petri 1.png,Petri,hear,"A drawing in white on a large black square. The drawing is of an ear, with emphasis lines around it."
feel fg.png,froggygolem,feel,a pink hand shape overlaps a large light pink splotch.
feel petri 2.png,Petri,feel,"A drawing in white on a large black square. The drawing is of a hand, with a few emphasis lines around it."
hear petri 2.png,Petri,hear,"A drawing in white on a large black square. The drawing is of an ear, with a few emphasis lines around it."
behold m.png,M,behold,"a horizontal piece of paper curled somewhat like a scroll, with an eye in the centre and dark red lines radiating from the eye across the paper."
hear.png,Tonto,hear,a megaphone with three orange zigzags coming from it.
look pi.png,Pi,look,"An illustration of a large yellow head filled with various sizes eyes looking at a person, the creature is smiling and has its hands on either side of the person."
interoception m 1.png,M,interoception,"a curled up yellow figure with a pink gradient thought bubble going their chest, which has a yellow circle in it."
interoception m 2.png,M,interoception,"a curled up yellow figure with a dark pink gradient thought bubble going their chest, which has a yellow circle in it."
notice pheonix 1.png,Pheonix,notice,"A yellow head seen from the side has a dashed arrow pointing from its eye to a purple circle. The dashed line is outlined in white, the rest of the line art is black."
observe pi.png,Pi,observe,a purple eye with a brownish red arrow below it pointing to the right. The iris takes up the whole eye and is looking slightly right
listening to music chrome.png,cytochrome-sea,listening to music,a blue dog sitting next to a radio playing music
notice pheonix 2.png,Pheonix,notice,A yellow head seen from the side has a dashed arrow pointing from its eye to a purple circle. The image has black line art echoed with white.
observe pheonix 1.png,Pheonix,observe,An image with light line art shows a grey eye with a purple arrow below it. Overlapping with the eye at the top corner of the image is a clock with a brown face.
look pheonix.png,Pheonix,look (ASL),"A yellow figure with big eyes looking to the right, a hand in the V hand-shape sits at the cheek, palm facing in. This hand is faded, and an arrow comes from it leading to a second hand in the V hand-shape pointing out, to the right, palm down."
observe pheonix 3.png,Pheonix,observe,"A yellow head seen from the side has a dashed arrow pointing from its eye to a purple circle. The dashed line is outlined in white, the rest of the line art is black."
observe pheonix 2.png,Pheonix,observe,An image with dark line art shows a grey eye with a purple arrow below it. Overlapping with the eye at the top corner of the image is a clock with an odd white face.
observe ts.png,TalkSense,observe,An observatory telescope pointed at two stars.
peek tcc.png,TCC,peek,"Emoji of a red figure with only the figure’s face, minus the chin, and hands visible. The figure seems to be peeking from behind something invisible. The figure has a neutral expression with an arched left eyebrow and open, staring eyes."
see petri 1.png,Petri,see,"A drawing in white on a large black square. The drawing is of an eye looking down, with emphasis lines below it."
see tonto.png,Tonto,see,a green eye with a red arrow pointing downwards from it.
see petri 2.png,Petri,see,"A drawing in white on a large black square. The drawing is of an eye looking down, with a few emphasis lines below it."
scent vixen.png,Vixen,scent,"A lavender flower with purple squiggles above it to represent a smell, there are yellow sparkles around the flower."
see pheonix.png,Pheonix,see,"face with big eyes, and hand 2 fingers up, palm facing in, one finger tip touching cheek, the figure is yellow with purple accents and a bluish purple outline"
smell petri 1.png,Petri,smell,"A drawing in white on a large black square. The drawing is of a nose, with emphasis lines to the right of it."
see dusty.png,Dusty,see,A green person in a wheelchair and looking at a red box. There is a gray cone depicting the green person's field of vision which includes the red box.
sensory m.png,M,sensory,"A brown eye, purple tongue, green nose, and blue ear, with golden sense lines coming from them."
smell petri 2.png,Petri,smell,"A drawing in white on a large black square. The drawing is of a nose, with a few emphasis lines around it."
see ani 2.png,Ani,see,A simple drawing of a dark skinned person with a large bright red arrow point from their head at eye level.
taste petri 1.png,Petri,taste,"A drawing in white on a large black square. The drawing is of a mouth sticking its tongue out, with emphasis lines around the tongue."
smell.png,Tonto,smell,a person smelling a daisy.
sense m.png,M,sense,"A brown eye, tongue, pale nose, and brown ear, with golden sense lines coming from them."
taste petri 2.png,Petri,taste,"A drawing in white on a large black square. The drawing is of a mouth sticking its tongue out, with a few emphasis lines around it."
see ani 1.png,Ani,see,A very simple drawing of two people In between the people at eye level is a red arrow. The person on the left is blue and on the right is green.
taste.png,Tonto,taste,a mouth with a tongue poking out.
touch stellar.png,Stellar,touch,A yellow hand poking a slightly squishy red circle.
show tonto.png,Tonto,show,"a yellow person smiling , holding a paper with a flower drawn in it ."
watch pheonix 1.png,Pheonix,watch,An image with black line art shows a yellow colored person with a grey shirt seen from the side with a hand above their eye.
watch pheonix 3.png,Pheonix,watch,An image with black line art shows a grey colored person with a darker grey shirt seen from the side with a hand above their eye.
taste pheonix 1.png,Pheonix,taste,An image with dark line art shows a mouth with its tongue sticking out surrounded by 6 dark purple emphasis lines.
watch pheonix 2.png,Pheonix,watch,An image with a white echo around black line art shows a yellow colored person with a grey shirt seen from the side with a hand above their eye.
watch pheonix 4.png,Pheonix,watch,An image with a white line art shows a grey colored person with a darker colored shirt seen from the side with a hand above their eye.
taste pheonix 2.png,Pheonix,taste,An image with bright line art shows a mouth with its tongue sticking out surrounded by 6 bright purple emphasis lines.
