Image URL,Credit,Caption,Alt text
stim stimming fractals.png,Fractals,stim / stimming,A drawing of two yellow hands in movement; they are flapping back and forth with the backs of hand hand always facing outward.
chewy necklace 2.png,Gillipop,chewing chewy necklace,"a smiling dark brown face with dark hair parted over their forehead, closed eyes and a green chewy necklace in their mouth."
chewing phone.png,Rover,chewing phone,an emoji yellow person with closed eyes chewing a phone with a black case.
angry flappy stim vixen.png,Vixen,angry flappy stim,"The face of a chocolate point Siamese cat, they are flapping their paws up and down with red lines excentuating the motion, they look upset and are furrowing their brows with a red spiral and red angry symbols by them."
covering mouth smolmoss.png,Smolmoss,covering mouth,"a person covering their mouth with the front of their tshirt, which is blue"
fidget 1.png,Blackholemojis,fidget,"someone stimming by fidgeting with their hands. the image shows someone with a neutral face partially interlocking the tips of their fingers, with fidgeting motions nearby the hands."
chewy necklace 1.png,Gillipop,chewing chewy necklace,a smiling light brown face with closed eyes and a green chewy necklace in their mouth.
don't tell me to stop stimming fractals.png,Fractals,don’t tell me to stop stimming,A drawing of a speech bubble with a stop sign and two yellow hands flapping in it.There is a x over the part that shows where the speech comes from.
flap blackhole.png,Blackholemojis,flap,"a yellow figure from the waist up, flapping their hands up and down at the wrist, with an expression that could be interpreted as both excited or upset."
body stim.png,Plum,body stim,"A drawing of five different body stims. Each stim is two or three static poses, colored yellow, red, and blue. In the top left is a cartoony person jumping into the air. In the top right is a cartoony person sitting down, rocking back and forth. In the middle is a hand tapping its index finger. In the bottom left is a cartoony emoji shaking its head back and forth with its eyes closed. In the bottom right is a hand flapping its wrist up and down."
fidget 2.png,Blackholemojis,fidget,"a pair of hands partially interlocking the tips of their fingers, with fidgeting motions nearby the hands."
flapping arms smolmoss.png,Smolmoss,flapping arms,a person in a faded pink sweater flapping their arms up and down
head hit wall.png,Tonto,banging head into wall,"an emoji yellow person banging their head repeatedly into a wall, bracing against it with their hands."
happy flappy stim vixen.png,Vixen,happy flappy stim,"The face of a chocolate point Siamese cat, they are flapping their paws up and down with red lines accentuating the motion, they look happy and are blushing with a star and yellow lines by them."
flap with music k9.png,K9,flap with music,"a yellow figure, seated, flapping their hands. they are wearing headphones that are playing music"
jazz hand stim.png,Gleepglorpian,jazz hand stim,an emoji yellow round face of someone waving their hands in front of them in jazz hands.
hugging penguin plushie smolmoss.png,Smolmoss,hugging penguin plushie,a side view of a figure in a long-sleeved burgundy shirt hugging a penguin plushie
just stimming dusty.png,Dusty,I'm just stimming,A green person flapping their hands with a neutral expression.
flap k9.png,K9,flap,"a yellow figure, seated, flapping their hands."
i can't stop harmful stimming tonto.png,Tonto,I can't stop harmful stimming,"a stop sign crossed out , next to it there is a tiny green arrow above a yellow person hitting their head ."
stimming overstimulated dusty.png,Dusty,I'm stimming because I'm overstimulated,A purple person wincing and flapping their hands with a light shining on them and red squiggles coming from them.
tonto flapping arms.png,Tonto,flapping arms,an emoji yellow figure with a star on their chest waving their arms.
stimming angry dusty.png,Dusty,I'm stimming because I'm angry,"A red person flapping their hands and scowling, with red stress marks above them."
stimming sad dusty.png,Dusty,I'm stimming because I'm sad,"A blue person flapping their hands and frowning, with water drops above them."
head shake rover.png,Rover,head shake,"a shaking yellow head with big happy smileand motion lines, eyes shut and fisted hands up to mouth."
stimming self regulate dusty.png,Dusty,I'm stimming to self regulate,"A red and yellow person wincing and flapping their hands, with a wave above them which goes below a baseline, then above, then evens out."
stimming understimulated dusty.png,Dusty,I'm stimming because I'm understimulated,"A gray person flapping their hands and shouting, with a gray cloud around them."
hugging penguin plushie smolmoss 1.png,Smolmoss,hugging penguin plushie,a figure in a long-sleeved burgundy shirt hugging a penguin plushie
rocking 2.png,Blackholemojis,rock,"a figure sitting on the ground, knees bent to their chest and holding their knees with both hands, rocking back and forth. Their expression is relatively neutral, with a positive/calm lean. The person is rocking forwards."
pen click krow.png,Krow,pen click,a yellow hand clicking a blue pen.
stimming anxious dusty.png,Dusty,I'm stimming because I'm anxious,"A purple person with a nervous expression flapping their hands, with purple waves coming from them."
painseeking stim.png,M,pain-seeking stim,"a simple emoji yellow figure moving one hand back and forth, and with the other reaching for a spiky thing. there's a red impact shape around the hand and spiky thing"
pulling lip 1.png,Tonto,pulling lip,"an emoji yellow person with one hand and part of their face visible. they are touching their mouth, and red lines come from the point they are touching."
stimming happy dusty.png,Dusty,I'm stimming because I'm happy,"A yellow person flapping their hands and smiling, with stars coming from them."
pinching self.png,Tonto,pinching self,"a simple emoji yellow figure, shown from the waist up, pinching their arm."
rocking back and forth.png,K9,rocking back and forth,a white figure with a gold arrow to indicate they're rocking forward and back.
rocking 1.png,Blackholemojis,rock,"a figure sitting on the ground, knees bent to their chest and holding their knees with both hands, rocking back and forth. Their expression is relatively neutral, with a positive/calm lean. The person is rocking back."
skin pickng thumb.png,Tonto,skin picking,an emoji yellow hand. the first finger is picking at the skin of the thumb below the nail. there are two small red motion lines.
rocking with teddy k9.png,K9,rocking with teddy,a yellow figure rocking and holding a teddy
pulling lip.png,Tonto,pulling lip,"an emoji yellow person with one hand and part of their face visible. they are pulling at their lower lip, with two action lines visible. their lip is red in places from the pulling"
stimming alena semi.png,Alena Semi,stimming,A happy girl that flaps her hands
spinning on chair.png,Gleepglorpian,spinning on chair,"a yellow figure on an office chair, with red motion lines indicating the chair is turning."
stomp 1.png,Rover,stomping,"an emoji yellow figure stomping one leg, their hands in fists in front of them."
stomp 2.png,Rover,stomping,"an emoji yellow figure stomping one leg, their hands in fists in front of them and their eyes shut."
stomp.png,Gleepglorpian,stomp,"two emoji yelow lower legs, one bent and moving upwards and the other stomping on the ground."
stimming is coping fractals.png,Fractals,stimming is coping,A drawing of two yellow hands flapping and a blue arrow pointing to a pinkish red heart with a bandage wrapped around one side.
vocal stim bh.png,Blackholemojis,vocal stim,"a person smiling and saying, “beep boop”"
twirling hair krow 1.png,Kit,twirling hair,a yellow figure with open mouth twirling their straight blonde hair around their finger
twirling hair krow 2.png,Kit,twirling hair,a yellow figure twirling their straight blonde hair around their finger
