Image URL,Credit,Caption,Alt text
accuse fractals.png,Fractals,accuse,a blue person from the stomach upwards. They are pointed at by a red hand from the top right corne
admit 1 bunnsemojis.png,bunnsemojis,admit,A pink face with blue eyes is looking down to the left with a shadow over the top of their face. They have a speech bubble with 3 big red dots.
affirm plum.png,Plum,affirm,"A drawing of a yellow, emoji-style face nodding. A speech bubble coming from them has a green check mark inside. The face’s eyes are closed, and their eyebrows are raised. A red arrow shows the movement of them nodding."
advise 1.png,Pheonix,advise,A brown hand outlined in yellow comes from a green sleeve. Hovering above the hand is a brown speech bubble with off white squiggles inside it. Below the hand is a purple arrow pointing from left to right. The image has light line art.
admit 2 bunnsemojis.png,bunnsemojis,admit,A pink face with blue eyes is looking down to the left with a shadow over the top of their face. They have a speech bubble with a big red exclamation point.
announce levi.png,Levi,announce,a drawing of a speech bubble with a red square in it. On each side of the red square are yellow exclamation marks.
advise 2.png,Pheonix,advise,A yellow hand comes from a green sleeve. Hovering above the hand is an off white speech bubble with brown squiggles inside it. Below the hand is a purple arrow pointing from left to right. The image has dark line art.
ask petri 2.png,Petri,ask,"A drawing of a plain yellow head with an open mouth, speaking a speech bubble with four yellow question marks."
ask petri 4.png,Petri,ask,A drawing of a plain yellow head with an open mouth. It is speaking a large speech bubble to its right with a giant light green question mark in it.
allow pheonix.png,Pheonix,allow,a speech bubble with a check mark in it coming from a person
ask fg.png,froggygolem,ask,two brown lumps. the left hand lump has a lighter brown speech bubble with a question mark in it.
ask petri 5.png,Petri,ask,A drawing of a plain yellow head with an open mouth. It is speaking a large speech bubble to its right with a giant pink question mark in it.
apologise.png,CC,apologize,"a young person with a red shirt is looking sadly at another young person with a pink shirt. a speech bubble points from the red-shirt person, with two teardrops and a broken heart inside of the bubble."
ask a question plum 1.png,Plum,ask a question,"Several orange shapes with a green question mark (?) on their right, all inside a bluish-white speech bubble. The shapes are a triangle, circle, and square, and each is a slightly different shade of orange."
ask a question plum 2.png,Plum,ask a question,"Several orange shapes with a green upside-down question mark (¿) to their left, and a green question mark (?) to their right, all inside a bluish-white speech bubble. The shapes are a triangle, circle, and square, and each is a slightly different shade of orange"
ask.png,Petri,ask,"an emoji yellow head next to a speech bubble. the head has no features except an open mouth, and the speech bubble contains a question mark. the lineart of the question mark is brown"
blackmail budget.png,Bear,blackmail,"A simple person with their face scribbled out holding a letter with a lock on it. Another person, in a more yellow tone, is next to them with a worried expression. There are purple squiggles coming from the original person to appear as threatening."
ask yes no or multiple choice question gold.png,goldstargloww,ask yes/no or multiple choice questions,"a green checkmark and red x in the top left; three red, green, then blue circles in the bottom left; and a yellow question mark on the right. the green circle is filled in as if it's been selected."
ask plum.png,Plum,ask,A drawing of a green question mark (?) inside a speech bubble
call plum.png,Plum,call,"A drawing of a modern smartphone on the call screen. The phone has a red case, a dark purple screen, and no face buttons. The screen displays a green icon of a landline phone with some waves coming off of it, and circular buttons with the numbers 1 through 9, and 0, as well as the star (＊) and pound (#) keys below."
banter m.png,M,banter,"a magenta and an orange figure talking to each other, smiling and pointing at each other"
answer 1.png,Pheonix,answer,"An off black speech bubble originating from the left has a brown speech bubble coming from the right sitting in front of it. The first speech bubble has a purple question mark on it, the second blue scribbles. A curved purple arrow points from the first speech bubble to the one in front. The image has light line art."
chat.png,Pheonix,chat,"Two smiling yellow figures each with a word bubble, one of the figures has an arm out."
bluff pheonix 1.png,Pheonix,bluff,next to a purple figure is a brown speech bubble with a red square shaped diamond inside it. There is also has a blue thought bubble coming from the figure with a green triangle inside it. The figure has a confident expression and is surrounded by sparkles. The image has light line art.
answer 2.png,Pheonix,answer,"An grey tinted off white speech bubble originating from the left sits behind an off white speech bubble coming from the right. The first speech bubble has a purple question mark on it, the second blue scribbles. A curved purple arrow points from the first speech bubble to the one in front. The image has dark line art."
chat aac tonto.png,Tonto,chat,"A yellow person holding a green AAC device , next to an indigo person . They are talking to each other ."
bluff pheonix 2.png,Pheonix,bluff,next to a purple figure is an off white speech bubble with a red square shaped diamond inside it. There is also has a blue thought bubble coming from the figure with a green triangle inside it. The figure has a confident expression and is surrounded by sparkles. The image has dark line art.
berate petri 1.png,Petri,berate,"A drawing of two emoji-yellow people. The one on the left is angry and has one hand up and one hand on their hip. The one on the right is leaning down and has a dark cloud and lines over their head, looking ashamed. The person on the left is speaking a speech bubble with two pink exclamation marks."
comment.png,Pheonix,comment,"there is a rectangle with squiggles in it, with a curved arrow comes from it and points to a word bubble."
call pheonix.png,Pheonix,call,"yellow figure holding phone to ear, sound marks come from their mouth"
berate petri 2.png,Petri,berate,"A drawing of two emoji-yellow people. The one on the left is angry and has one hand up and one hand on their hip. The one on the right is leaning down and has a dark cloud and lines over their head, looking ashamed."
communicating feelings koda.png,Koda,communicating feelings,"a dark skinned person with a speech bubble that has a yellow smiley face, a blue frowny face, a red mad face, a purple anxious face, and a green jealous face"
call script fg.png,froggygolem,call script,a gray cell phone with a green call symbol on it and a green arrow beside it next to a white speech bubble with fake cursive in it.
blackmail wolf.png,Wolf,blackmail,A black envelope with a golden padlock over top of it
correct pheonix 1.png,Pheonix,correct,A curved green arrow points to the right at a blue outlined circle with a green checkmark on it. Below the circle are 3 blue lines stacked vertically. The image has dark line art.
check needs.png,CC,check needs,"a young person with a red shirt has three thought balloons, one with a bread loaf and apple, one with a glass of water, and one with a bed and three z's. there are two orange exclamation marks to the viewers left, and a purple question mark to the viewers right."
call fg.png,froggygolem,call,a rounded gray rectangle like a cell phone with a green call symbol on it next to a small green arrow pointing right
correct pheonix 2.png,Pheonix,correct,A curved green arrow points to the right at a blue outlined circle with a green checkmark on it. Below the circle are 3 blue lines stacked vertically. The image has light line art.
compliment plum.png,Plum,compliment,"A drawing with very dark purple lineart of two very simplified, featureless people that resemble game pieces. A big speech bubble comes from the yellow person on the left with a trophy surrounded by sparkles, flowers, hearts, and dots inside. An arrow goes from the speech bubble and points at the teal person on the right, who has a few sparkles next to them."
complain pheonix 1.png,Pheonix,complain,a rectangular speech bubble with a red arrow pointing at a red x inside it. There are 3 emphasis marks  around the top right corner of the speech bubble the image has light line art.
debunk esrah.png,Esrah,debunk,"a piece of paper being examined by a blue magnifying glass, showing a red X through the lens."
debate dusty.png,Dusty,debate,"A drawing of two figures behing brown and red podiums. One green figure is holding up a hand with their palm up, the other is yellow. Both have blank speech bubbles coming from them."
complain pheonix 2.png,Pheonix,complain,a rectangular speech bubble with a red arrow pointing at a red x inside it. There are 3 emphasis marks  around the top right corner of the speech bubble the image has dark line art.
discourse.png,CC,discourse,"Three yellow speech bubbles in a larger off-white cloud bubble. The first bubble has a green checkmark. The second bubble has a red X. The third bubble has a purple almost-equal sign, and a purple question mark."
explain dusty.png,Dusty,explain,"A speech bubble with green, blue, pink, and yellow highlighted scribbles. An arrow goes from it to another speech bubble with just the pink scribble, and then much more scribbled text."
