Image URL,Credit,Caption,Alt text
body ee.png,Eldritch-emojis,body,a stylized drawing of a yellow person.
body crows.png,Crows,body,a featureless yellow person with short hair.
body fg.png,froggygolem,body,a dark blue human body with eyes closed and arms by their side
arm.png,Eldritch-emojis,arm,a stylized yellow arm bent towards the left.
arm stellar.png,StellarSymbols,arm,an emoji yellow arm and hand.
bones.png,M,bones,a group of four human bones of different types.
axon creature's creations.png,Creature's creations,axon,A neuron cell with an arrow pointing to the axon.
Back.png,StellarSymbols,back,An emoji yellow back.
brain stellar.png,StellarSymbols,brain,a brain.
big toe.png,Rae,big toe,symbol of a foot with medium brown skin viewed from above. The big toe has a red arrow pointing to it.
bone 2 krow.png,Krow,bone,"A classic 'cartoon' style bone, colored in light brown."
brain fg.png,Froggygolem,brain,"a blobby, simple grey person viewed from the chest up. Their brain is shown in lighter grey."
bone 1 krow.png,Krow,bone,"A classic 'cartoon' style bone, colored in white."
brain neon.png,Neon,brain,A drawing of a human brain.
brain stem neon rae.png,Neon & Rae,brain stem,a pink brain with a red for emphasis brain stem and an arrow pointing to that area.
brain m.png,M,brain,A side-view cross-section of a human brain.
bodymind.png,M,bodymind,an emoji yellow figure with red brain and nervous system.
cerebellum m.png,M,cerebellum,"A side-view cross-section of a human brain. The cerebellum is highlighted in blue, with a blue line pointing to it."
dendrites creature's creations.png,Creature's creations,dendrites,A neuron cell with the dendrite half circled.
elbow m 2.png,M,elbow,"a yellow elbow portion of an arm, the elbow itself highlighted in red."
foot.png,Neon,foot,a simple emoji yellow foot shown from the side.
finger m.png,M,finger,"A stylised green hand with black outlines, one finger darker green."
elbow m 1.png,M,elbow,"a blue elbow portion of an arm, the elbow itself highlighted in purple."
foot ee.png,Eldritch-Emojis,foot,a stylized drawing of a yellow foot facing the left.
hair.png,Katt,hair,"A simple drawing of a person with short hair, with a red arrow pointing at their hair"
fingers m.png,M,finger,"A stylised green hand with black outlines, the fingers darker green."
foot stellar.png,Stellar-Symbols,foot,an emoji yellow foot.
hand rc.png,Bear,hand,"a yellow hand stoping at the forearm, palms facing up"
friction burn scars 1.png,Neon,friction burn scars,A yellow toned drawing of a hand and wrist with friction burn scars on the wrist.
friction burn scars 2.png,Neon,friction burn scars,A white and blue toned drawing of a hand and wrist with friction burn scars on the wrist.
