Image URL,Credit,Caption,Alt text
black eye cc.png,CC,black eye,An eyeball with a dark brown almost black iris and a black pupil
brown eye cc.png,CC,brown eye,An eyeball with a brown iris and a black pupil
amber eye cc.png,CC,amber eye,An eyeball with an amber iris and a black pupil
green eye dd.png,DoctorZero,green eye,a stylized drawing of an eye with a green iris
grey eye dd.png,DoctorZero,grey eye,a stylized drawing of an eye with a grey iris
jaundiced eye dd.png,DoctorZero,jaundiced eye,a stylized drawing of an eye with a blue iris and yellowed sclera
ear 1.png,Petri,ear,a right ear. it is cartoonish with a medium-sized earlobe.
ear 2.png,Petri,ear,a right ear. it is slightly realistic with a large earlobe.
ear 2b.png,Petri,ear,a right ear. it has a longer earlobe and round pink earring.
ear 2c.png,Petri,ear,"a right ear. it has a longer earlobe, round pink earring and pink behind-the-ear hearing aid."
ear 2d.png,Petri,ear,a right ear. it has a longer earlobe and pink behind-the-ear hearing aid.
ear 3a.png,Petri,ear,a right ear. it is round and cartoonish
ear 3b.png,Petri,ear,a right ear. it is round and cartoonish with a pink in-the-ear hearing aid
ear 3c.png,Petri,ear,"a right ear. it is round and cartoonish with a pink in-the-ear hearing aid, two pink earring studs and two pink hoop earrings"
ear 3d.png,Petri,ear,a right ear. it is round and cartoonish with two pink earring studs and two pink hoop earrings
eye ee.png,Eldritch-emojis,eye,a stylized drawing of a brown eye.
brown eye 1.png,Tonto,eye (brown),a brown eye without an epicanthic fold.
green eye 1.png,Tonto,eye (green),a green eye without an epicanthic fold.
blue eye 1.png,Tonto,eye (blue),a blue eye without an epicanthic fold.
eye purple 1.png,Tonto,eye (purple),a purple eye without an epicanthic fold.
eye red 1.png,Tonto,eye (red),a red eye without an epicanthic fold.
hazel eye 1.png,Tonto,eye (hazel),a hazel eye without an epicanthic fold.
eye rayin.png,Rayin,eye,Simple drawing of a brown eye.
eye dd.png,DoctorZero,eye,a stylized drawing of a blue eye with a blue arrow pointing it
eye magenta 1.png,Tonto,eye (magenta),a magenta eye without an epicanthic fold.
jawbone.png,Rover,jawbone,a human jawbone.
iris.png,DoctorZero,iris,a stylized drawing of an eyeball with no pupil with a blue arrow pointing to the iris
outer eye dd.png,DoctorZero,outer eye,a stylized drawing of an eyeball with no iris or pupil with a blue arrow pointing to the the outer corner
nose ee.png,Eldritch-Emojis,nose,a stylized yellow nose.
lips ee.png,Eldritch-Emojis,lips,a stylized drawing of red lips.
nose 1b.png,M,nose,a yellow button nose.
nose 1c.png,M,nose,a yellow bumped nose.
mouth ee.png,Eldritch-Emojis,mouth,a stylized drawing of an open mouth.
nose 2b.png,M,nose,a dark brown button nose.
nose 2c.png,M,nose,a dark brown bumped nose.
nose 1a.png,M,nose,a yelow hooked nose.
nose 3b.png,M,nose,a medium brown button nose.
nose 3c.png,M,nose,a medium brown bumped nose.
nose 2a.png,M,nose,a dark brown hooked nose.
nose 4b.png,M,nose,a cream-colored button nose.
nose 4c.png,M,nose,a cream-colored bumped nose.
nose 3a.png,M,nose,a medium brown hooked nose.
pupil.png,DoctorZero,pupil,a stylized drawing of an eyeball with the iris barely visible with a blue arrow pointing to the pupil
tear duct dd.png,DoctorZero,tear duct / inner eye,a stylized drawing of an eyeball with no iris or pupil with a blue arrow pointing to the inner corner / tear duct
nose 4a.png,M,nose,a cream-colored hooked nose.
teeth ee 1.png,Eldritch-Emojis,teeth,a stylized drawing of teeth with a dark grey outline.
teeth ee 2.png,Eldritch-Emojis,teeth,a stylized drawing of teeth with a black outline.
sclera.png,DoctorZero,sclera,a stylized drawing of an eyeball with no iris or pupil with a blue arrow pointing to the sclera
tooth ee 1.png,Eldritch-Emojis,tooth,a stylized drawing a tooth with a dark grey outline.
tooth ee 2.png,Eldritch-Emojis,tooth,a stylized drawing a tooth with a black outline.
tooth.png,Neon,tooth,a human tooth.
tongue ee 1.png,Eldritch-Emojis,tongue,a stylized drawing of a tongue with a dark pink outline.
tongue ee 2.png,Eldritch-Emojis,tongue,a stylized drawing of a tongue with a black outline.
tooth krow.png,Krow,tooth,a molar at an angle
wisdom tooth chrome.png,cytochrome-sea,wisdom tooth,image of a white molar tooth with large round glasses and a graduation cap
