Image URL,Credit,Caption,Alt text
hair bh.png,Blackholemojis,hair,brown hair or fur
black hair m.png,M,black hair,a wavy bob of black hair with some bangs.
blonde gp.png,"M, adapted by Gillipop",blonde,a wavy bob of light blonde hair with some bangs and a small pink venus/female symbol in the corner.
blond blonde gp.png,"M, adapted by Gillipop",blond/e,a wavy bob of light blonde hair with some bangs.
blond gp.png,"M, adapted by Gillipop",blond,a wavy bob of light blonde hair with some bangs and a small blue mars/male symbol in the corner.
blonde hair m.png,M,blonde hair,a wavy bob of blonde hair with some bangs.
blue hair m.png,M,blue hair,a wavy bob of blue hair with some bangs.
dreadlock fractals.png,Fractals,dreadlock,a mat of brown hair that goes from the top right corner to the bottom left corner. The hair is scraggly and knotted into itself with strands flying out of the main clump.
french braid 2.png,M,French braid / plait,"A back view of a medium-length french braid or plait, tied with a light blue hair tie at the base. the hair is dark brown."
braids esrah.png,Esrah,braids,"three braids of different types of hair. The first is very coiled and dark, and tied off with two turqoise balls. The second is not as coiled, dark brown, and secured with a gold bead. The third is very thick and blonde, and tied off with a brown hair tie."
french braid 1.png,M,French braid / plait,"A back view of a medium-length french braid or plait, tied with a light blue hair tie at the base. the hair is black."
french braid 5.png,M,French braid / plait,"A back view of a medium-length french braid or plait, tied with a light blue hair tie at the base. the hair is warm brown."
braids krow.png,Krow,braids,a face with light brown skin and brown braids
french braid 4.png,M,French braid / plait,"A back view of a medium-length french braid or plait, tied with a light blue hair tie at the base. the hair is orange."
green hair m.png,M,green hair,a wavy bob of green hair with some bangs.
brown hair m.png,M,brown hair,a wavy bob of brown hair with some bangs.
pink hair m.png,M,pink hair,a wavy bob of pink hair with some bangs.
grey hair m.png,M,grey hair,a wavy bob of grey hair with some bangs.
french braid 3.png,M,French braid / plait,"A back view of a medium-length french braid or plait, tied with a light blue hair tie at the base. the hair is blonde."
ponytail m 2.png,M,ponytail,"a medium-length ponytail of straight brown hair, tied with a blue hairtie."
locs krow.png,Krow,locs,a face with light brown skin and brown locs
ponytail m 1.png,M,ponytail,"a medium-length ponytail of straight black hair, tied with a blue hairtie."
red hair m.png,M,red hair,a wavy bob of red hair with some bangs.
ponytail m 3.png,M,ponytail,"a medium-length ponytail of straight dark green hair, tied with a blue hairtie."
purple hair m.png,M,purple hair,a wavy bob of purple hair with some bangs.
twa m 3.png,M,twa / teeny weeny afro,a 3/4 view of a featureless oval face with golden brown skin and a very short black afro hairstyle
strawberry blond blonde gp 1.png,"M, adapted by Gillipop",strawberry blond/e,a wavy bob of pinkish blonde hair with some bangs.
twa m 1.png,M,twa / teeny weeny afro,a 3/4 view of a featureless oval face with dark brown skin and a very short black afro hairstyle
twa m 4.png,M,twa / teeny weeny afro,a 3/4 view of a featureless oval face with dark brown skin and a very short grey afro hairstyle
strawberry blond blonde gp 2.png,"M, adapted by Gillipop",strawberry blond/e,"a wavy bob of pinkish blonde hair with some bangs, and a small strawberry in the corner."
twa m 2.png,M,twa / teeny weeny afro,a 3/4 view of a featureless oval face with light brown skin and a very short black afro hairstyle
undercut m.png,M,undercut,a straight undercut with longer green hair on the left and a dark green buzzcut on the right.
twa m 5.png,M,twa / teeny weeny afro,a 3/4 view of a featureless oval face with light warm brown skin and a very short grey afro hairstyle
white hair m.png,M,white hair,a wavy bob of white hair with some bangs.
