Image URL,Credit,Caption,Alt text
change diva cup.png,Petri,change menstrual cup,a pink menstrual cup with two circular blue arrows over it.
change pad.png,Petri,change pad,a white disposable pad with two circular red arrows over it.
change reusable pad.png,Petri,change reusable pad,a white reusable pad with two circular red arrows over it.
change tampon.png,Petri,change tampon,a white tampon with two circular red arrows over it.
cramps stellar.png,StellarSymbols,cramps,"a red oval with black lightning bolts coming from it, over a pelvic region."
pad ee.png,Eldritch-Emojis,pad,a stylized drawing of a pad.
cloth pad 1 koda.png,Koda,cloth pad,"a light purple / periwinkle cloth pad, there’s seams on the edges and a rectangle in the center. on the left wing is a clasp, and on the right wing is the back of the other clasp"
menstrual cup stellar.png,StellarSymbols,menstrual cup,a light grey menstrual cup drawn with thick black outlines.
pad without wings leaf.png,Leaf,pad without wings,a very light blue period pad. There are light red wings with red crosses over them
cloth pad 2 koda.png,Koda,cloth pad,"a light purple / periwinkle cloth pad, there’s seams on the edges and a rectangle in the center. on the left wing is a velcro strip, and on the right wing is the seams for the other velcro strip"
diva cup.png,Petri,menstrual cup,a pink menstrual cup.
reusable pad.png,Petri,reusable pad,a white reeusable pad.
cloth pad wrapper petri.png,Petri,cloth pad wrapper,A drawing of a closed green cloth pad wrapper.
pad.png,Petri,pad,a white disposable pad.
reusable period products rc.png,Bear,reusable period products,"A red-pink menstrual cup, a purple pad with wings and blue mentral disk inside of yellow turning arrows"
pad stellar.png,StellarSymbols,pad,a pad with wings.
rinse cloth pad petri.png,Petri,rinse cloth pad,"A drawing of a pale purple cloth pad underneath a running faucet, with transparent blue water splashing onto it."
tampon stellar.png,StellarSymbols,tampon,a tampon drawn with thick black outlines.
pad with wings ee.png,Eldritch-Emojis,pad with wings,a stylized drawing of a pad with wings.
tampon.png,Petri,tampon,a white tampon.
time to change pad tampon.png,Esrah,time to change pad/tampon,"a stopwatch surrounded by a pad and a tampon on one side, a packaged pad and a tampon on the opposite side, and red and green arrows pointing from the packaged/unpackaged menstrual products. The top arrow is red and the bottom arrow is green"
tampon ee.png,Eldritch-Emojis,tampon,a stylized drawing of a tampon.
----------,,,
blood stellar.png,StellarSymbols,blood,a red droplet.
absent period m.png,"StellarSymbols, adapted by M",absent period,a red droplet with a line crossing it out.
bloody tampon ee.png,Eldritch-emojis,bloody tampon,a stylized drawing of a bloody tampon.
bloody pad ee.png,Eldritch-emojis,bloody pad,a stylized drawing of a bloody pad.
bloody pad with wings ee.png,Eldritch-emojis,bloody pad with wings,a stylized drawing of a bloody pad with wings.
heavy flow stellar.png,StellarSymbols,heavy flow,a red waterfall.
change dirty cloth pad koda 1.png,Koda,change / dirty cloth pad,"a light purple / periwinkle cloth pad, there’s seams on the edges and a rectangle in the center. on the left wing is a clasp, and on the right wing is the back of the other clasp. there’s blood down the middle of the pad."
irregular cycle stellar.png,StellarSymbols,irregular cycle,two wonky curved arrows forming a deformed circle around a red droplet.
medium flow creature's creations.png,Creature's creations,medium flow,"A white pad with a mediumish sized blob of blood, and a estimation symbol to the right"
change dirty cloth pad koda 2.png,Koda,change / dirty cloth pad,"a light purple / periwinkle cloth pad, there’s seams on the edges and a rectangle in the center. on the left wing is a velcro strip, and on the right wing is the seams for the other velcro strip. there’s blood down the middle of the pad."
light flow stellar.png,StellarSymbols,light flow,a few small red droplets.
period stellar.png,StellarSymbols,period,two arrows forming a circle around a red droplet.
period underwear fever.png,Bear,period underwear,a black pair of period underwear with a white waistband. in the top corner is a red drop of blood with two yellow arrows rotating around it
spotting creature's creations.png,Creature's creations,spotting,a white pad with blood spotted on it
