Image URL,Credit,Caption,Alt text
Dark_colours.png,Petri,dark colour,"A drawing of four squares next to each other, each containing a different dark colour."
Light_colours.png,Petri,light colour,"A drawing of four squares next to each other, each containing a different light colour."
Colour.png,Petri,colour,"A drawing of several abstract shapes and colours. There are purple dots, green lines, a pink L, blue circle, red line, and three yellow lines."
color coding.png,Ani,color coding,"Two columns of black squiggles. The left column is much smaller it only has four rows all very small in length. The top left squiggle has a semi-transparent yellow rectangle over it. The second left squiggle has a semi-transparent blue rectangle over it. The third left squiggle has a green semi-transparent rectangle over it. The final squiggle on the left has a semi-transparent pink rectangle over it. The column of squiggles on the right has five rows of squiggles that are longer than the squiggles on the left. The top right squiggle has two rectangles over it, there is a yellow rectangle covering most of it and a small section on the end has a pink semi-transparent rectangle over it. The second squiggle on the right is all covered by a semi-transparent pink rectangle. The third squiggle on the right is covered in a blue semi-transparent rectangle. The fourth squiggle on the right has a bright green semi-transparent rectangle over it. The final squiggle on the right is has two rectangles over it. The majority of it is covered in a blue semi-transparent rectangle. A small part on the end is covered in a green semi-transparent rectangle over it."
colors cc.png,CC,colors,"A set of 9 squares in a 3x3 grid with multiple different colors, going from magenta at the top middle, red at the top right, orange at the middle right, yellow at the bottom right, green at the bottom middle, cyan at the bottom left, blue at the middle left, and purple at the top left. the color in the direct center is brown. they are all very saturated."
colorful pheonix.png,Pheonix,colorful/colourful,Variously colored and sized blobs fit together to create a colorful blob.
black.png,Petri,black,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is black.
black and white ani.png,Ani,black and white,A drawing of three blobs One is black one is white and another is dark grey
baby blue rae.png,Rae,baby blue,a blob of baby blue with a black outline
black_crayon.png,CC,black,A crayon-drawing style image of a black crayon. It has the word 'colors' in an oval on the paper wrapped around it.
blond koda.png,Koda,blond,"An off white star with yellow tones, and slightly darker yellow outline."
brown.png,Petri,brown,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is warm brown.
brown1.png,"Petri, adapted by M",brown,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is cool brown.
blue.png,Petri,blue,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is blue.
brown_crayon.png,CC,brown,A crayon-drawing style image of a brown crayon. It has the word 'colors' in an oval on the paper wrapped around it.
contrast plum.png,Plum,contrast,"Two arrows that start close together at the bottom and gradually curve away from each other. Both arrows are colored with gradients that start at the same shade of grey at the bottom and go to neon red and cyan respectively at the tops, with the contrast between the arrows’ colors increasing as they grow further apart."
blue_crayon.png,CC,blue,A crayon-drawing style image of a blue crayon. It has the word 'colors' in an oval on the paper wrapped around it.
brown ani.png,Ani,brown,A drawing of three blobs they are all varying shades of brown
cornsilk koda.png,Koda,cornsilk,A nearly white light yellow star with a slightly darker outline
blue ani.png,Ani,blue,Three blobs all varying shades of blue
brown cc 2.png,CC,brown,A set of 9 squares in a 3x3 grid with different shades of brown
cyan cc 2.png,CC,cyan,A set of 9 squares in a 3x3 grid with different shades of cyan
blue cc 2.png,CC,blue,A set of 9 squares in a 3x3 grid with different shades of blue
chromatic neon 1.png,Neon,chromatic,A heart with a chromatic pattern. It has an outline that is slightly darker than the rest of it.
gold petri m.png,"Petri, adapted by M",gold,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is gold.
burgundy.png,"Petri, adapted by M",burgundy,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is burgundy.
chromatic neon 2.png,Neon,chromatic,A circle with a chromatic pattern. It has an outline that is slightly darker than the rest of it.
golden pheonix petri.png,"Petri, adapted by Pheonix",golden,A silver paint tube with a gold label has a puddle of golden paint coming from it. Around the puddle are gold emphasis triangles and sparkles.
cym color wheel ottertime.png,Ottertime,CYM color wheel,"a circle divided into 6 parts. Starting from the top left, tge parts are magenta, light red, yellow, lime, cyan, and purple"
chrome neon 1.png,Neon,chrome,A heart with a brushed chrome pattern. It has an outline that is slightly darker than the rest of it
gradient 1.png,M,gradient,a blue to yellow gradient in a square.
glittery neon 1.png,Neon,glittery,A bright yellow heart with a glitter pattern. It has an outline that is slightly darker than the rest of it
chrome neon 2.png,Neon,chrome,A circle with a brushed chrome pattern. It has an outline that is slightly darker than the rest of it
gray.png,Petri,gray,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is gray.
glittery neon 2.png,Neon,glittery,A bright yellow circle with a glitter pattern. It has an outline that is slightly darker than the rest of it
color theory cc 1.png,CC,color theory,"A thought bubble with a purple question mark surrounded by circles of color, with green, pink, orange, cyan, and purple on the left, and red, yellow, and blue on the right."
grey_crayon.png,CC,grey,A crayon-drawing style image of a grey crayon. It has the word 'colors' in an oval on the paper wrapped around it.
grey ani.png,Ani,grey,a group of three blobs in different chades of grey
color theory cc 2.png,CC,color theory,An eye looking down at a cyan-magenta-yellow color wheel. On the right is a thought bubble containing a purple question mark.
green ani.png,Ani,green,Three blobs all varying shades of green
green.png,Petri,green,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is warm green.
color theory cc 3.png,CC,color theory,An eye looking down at a red-yellow-blue color wheel. On the right is a thought bubble containing a purple question mark.
holographic neon.png,Neon,holographic,A heart with a holographic pattern. It has an outline that is slightly darker than the rest of it.
green cc 2.png,CC,green,A set of 9 squares in a 3x3 grid with different shades of green
cool tones.png,M,cool tones,"a green, blue, aqua and purple circle overlapping each other"
iridescent neon.png,Neon,iridescent,A heart with a Iridescent pattern. It has an outline that is slightly darker than the rest of it
green_crayon.png,CC,green,A crayon-drawing style image of a green crayon. It has the word 'colors' in an oval on the paper wrapped around it.
gold.png,Petri,gold,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is gold.
indigo.png,Petri,indigo,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is indigo.
holographic neon 2.png,Neon,holographic,A circle with a holographic pattern. It has an outline that is slightly darker than the rest of it.
gradient 2.png,M,gradient,a blue to yellow gradient in a square with a black outline.
magenta.png,"Petri, adapted by CC",magenta,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is magenta.
iridescent neon 2.png,Neon,iridescent,A circle with an iridescent pattern. It has an outline that is slightly darker than the rest of it
green1.png,"Petri, adapted by M",green,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is cool green.
multi chrome neon 1.png,Neon,multi chrome,A circle with a multi chrome pattern. It has an outline that is slightly darker than the rest of it.
jewel tones.png,M,jewel tones,"a burgundy, navy, teal and forest green circle overlapping each other"
lime.png,"Petri, adapted by CC",lime,a digitally drawn image of a large pool of paint spilling out of a silver paint tube. the paint is lime.
multi chrome neon 2.png,Neon,multi chrome,A heart with a multi chrome pattern. It has an outline that is slightly darker than the rest of it.
