Image URL,Credit,Caption,Alt text
aquarius.png,Neon,Aquarius,The Aquarius sign in dark blue with a white outline.
aries.png,Neon,Aries,The Aries sign in red with a white outline.
cancer.png,Neon,Cancer,The Cancer sign in light blue with a white outline.
capricorn.png,Neon,Capricorn,The Aquarius sign in dark green with a white outline.
gemini.png,Neon,Gemini,The Aquarius sign in light yellow with a white outline.
leo.png,Neon,Leo,The Leo sign in yellow with a white outline.
libra.png,Neon,Libra,The Libra sign in light blue with a white outline.
pisces.png,Neon,Pisces,The Pisces sign in seafoam green with a white outline.
saggitarius.png,Neon,Saggitarius,The Saggitarius sign in purple with a white outline.
scorpio.png,Neon,Scorpio,The Scorpio sign in dark blue with a white outline.
taurus.png,Neon,Taurus,The Taurus sign in dark green with a white outline.
virgo.png,Neon,Virgo,The Virgo sign in green with a white outline.
