Image URL,Credit,Caption,Alt text
disability stellar.png,StellarSymbols,disability,"the active wheelchair symbol, a light blue glyph of someone self-propelling in a manual chair."
accommodate1.png,Petri,accommodation,"a digitally drawn symbol of a manual wheelchair next to a blue arrow, pointing inside a white circle with yellow circles inside of it"
access intimacy.png,M,access intimacy,"a pink forearm crutch and a dark blue pair of headphones, with two pink hearts and a blue heart between them."
disabled disability rayin.png,Rayin,disabled / disability,"the disability sun symbol. a ring with a circle in the center in the disability flag colors: grey background with diagonal stripes going from left to right, bottom to top; red, yellow, white, blue, green"
access is love m.png,M,access is love,"a pink forearm crutch, a green equals sign, and a pink loveheart."
acquired disability 2.png,M & StellarSymbols,acquired disability,a green arrow pointing from a blue circle to an active wheelchair symbol.
accomodate.png,Petri,accommodate,"a digitally drawn symbol of a manual wheelchair next to a pink arrow, pointing inside a white circle with yellow circles inside of it."
acquired disability 1.png,M & StellarSymbols,acquired disability,a green arrow pointing from a blue circle to a disability sun symbol.
anti psychiatry m.png,M,anti psychiatry / psych abolition,"a red hand raised in a 'stop' gesture, viewed from the side and facing a stethoscope in front of a brain. the stethoscope casts a shadow over the brain."
accessible.png,Plum,accessible,"The disabled sun symbol, which is made up of an outer ring with a small circle inside, with the disabled flag masked onto it. Near the symbol is a green checkmark. The disabled flag is a grey field with diagonal red, yellow, white, blue, and green stripes running through the top left corner to the bottom right corner."
big d disabled.png,M,big D Disabled,"an up arrow and capital D, beveled and colored with the disability pride flag."
big d disabled 2.png,M,big D Disabled,"an up arrow and capital D, beveled with a black outline and colored with the disability pride flag."
allistic does not equal neurotypical.png,M,allistic does not equal neurotypical,a crossed out gold infinity sign above a red 'does not equal' sign above a rainbow infinity sign.
brain body disconnect m 3.png,M,brain-body disconnect,"a pink brain and a dark brown colored body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 4.png,M,brain-body disconnect,"a pink brain and a brown colored body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 1.png,M,brain-body disconnect,"a pink brain and a yellow body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 8.png,M,brain-body disconnect,"a pink brain and a light green body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 5.png,M,brain-body disconnect,"a pink brain and a light brown colored body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 2.png,M,brain-body disconnect,"a pink brain and a lavender body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
comorbid.png,M,comorbid,"two overlapping circles. the circle on the left is green, the circle on the right is blue, and the overlap is cyan. there is an arrow pointing up to the blue circle. in the blue circle is a smaller, dark blue circle."
brain body disconnect m 6.png,M,brain-body disconnect,"a pink brain and a cream colored body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
brain body disconnect m 7.png,M,brain-body disconnect,"a pink brain and a light blue body. both have a black cable with plug coming out of them. the plugs are disconnected, and there's a small red zigzag showing that it isn't working."
chronic fatigue.png,Petri,chronic fatigue,A drawing of a thought bubble containing three Z's next to a clock. A round arrow goes all around the clock.
capitol crawl.png,M & StellarSymbols,Capitol Crawl,"Two 'active wheelchair user' glyphs, with a big orange arrow pointing from them up the many steps of the US Capitol building."
person_first_language.png,Petri,person first language,"a drawing of a label tag next to a person, with the label tag on the right."
cognitive accessibility.png,M,cognitive accessibility,a thought bubble over a ramp. the ramp is light brown and has an arrow pointing up it.
identity_first_language.png,Petri,identity first language,"a drawing of a label tag next to a person, with the label tag on the left."
i am neurodivergent pepsi.png,Pepsi,I am neurodivergent,yellow person pointing at themself. They are wearing a sunflower lanyard
developmental disability chrome.png,cytochrome-sea,developmental disability,image of a rainbow arrow pointing from a seed to a tree next to the disability flag
bedbound.png,Petri,bedbound,A drawing of a red double bed. Above it is a clock with circular arrows all around it.
i have a disability i'm disabled crows 1.png,Crows,I have a disability / I'm disabled,An emoji yellow person pointing to themselves with an arrow pointing from a disability sun symbol to them.
developmental disability chrome 2.png,cytochrome-sea,developmental disability,image of a rainbow arrow pointing from a seed to a tree next to a white outline of a cat in a wheelchair
chronic illness.png,Neon,chronic illness,"A basic yellow skinned emoji with its eyes closed and red cheeks, on its head is a reusable ice pack and its forehead a red glow to signify a fever. Below the emoji is a white calendar with a red top and a red arrow looping across all the days on it."
impairment.png,M,impairment,"a blue figure, partially covered by a yellow square."
disabled pi.png,Pi,disabled,"An illustration of a featureless person with light muted purple skin using a cane, they also have knee braces on each knee"
comorbidity.png,M,comorbidity,"two overlapping circles. the circle on the left is green, the circle on the right is blue, and the overlap is cyan. there is an arrow pointing up to the blue circle."
birth defect.png,Plum,birth defect,"Drawing of a simple, mostly featureless yellow baby next to a white circle with an exclamation point inside."
