Image URL,Credit,Caption,Alt text
/Disability/personality disorder vixen.png,Vixen,personality disorder,"a lightbulb design outline in a rainbow gradient there are lines extenuating the light. Inside the lightbulb, there are two small leaves with a stem."
/Disability/s/ASPD petri.png,Petri,ASPD,A drawing of the inverted scales symbol for ASPD inside of a thought bubble.
/Disability/s/antisocial.png,Petri,antisocial,A drawing of a person looking bored and thinking a thought bubble with the inverted scales symbol for ASPD inside of it.
/Disability/AVPD.png,Blackholemojis,Avoidant Personality Disorder,a figure with a pleased expression surrounded by a ring of floating hands making a “stop” symbol (a hand held out flat).
avpd flareup crows 3.png,Crows,AVPD flare-up,Two arrows going from an AVPD flag to a flame with an orange and yellow arrow next to it
antisocial is not asocial petri 1.png,Petri,antisocial is not asocial,A drawing of the inverted scales symbol for ASPD and two speech bubbles with a large red X over them. Between them is a pink and red unequal sign.
avpd flareup crows 2.png,Crows,AVPD flare-up,Two arrows going from a crossed out grey emoji person to a flame with an orange and yellow arrow next to it
avpd pride crows 2.png,Crows,AVPD pride,"emoji-yellow person holding an ASPD pride flag with a triangle on it, in the triangle is a void"
antisocial is not asocial petri 2.png,Petri,antisocial is not asocial,A drawing of the inverted scales symbol for ASPD and two speech bubbles with a large red X over them. Between them is a pink and red unequal sign. Everything is outlined in white.
cluster a vixen 2.png,Vixen,cluster A personality disorder,A yellow circle with an A. underneath the A is a symbol of a two ended arrow usually attributed with schizophrenia.
bpd moonflower varient.png,Ottertime,Borderline Personality Disorder,"a lineless drawing of a moonflower inside a black circle with a light purple border. It has light purple and lavender petals, a white center, pink vines, and dark red stems with leaves"
/Disability/ASPD.png,Blackholemojis,Anti-Social Personality Disorder,"a figure holding one hand up and shaking their finger, and holding a red sign with the other hand that has a crossed out person icon on it. They have a neutral expression, and a heart on the center of their chest."
dpd meabh.png,Méabh,DPD / Dependant Personality Disorder,A drawing of a yellow person with brown wing ears. The yellow person is doing the ASL sign for Depend. They have a purple link symbol instead of a face.
/Disability/BPD.png,Blackholemojis,Borderline Personality Disorder,"an emoji of a person from the hips up, holding a pot with a plant in it. On either side of them are identical clouds, one with rain and one with thunder, and a rainbow arcs over the person’s head and connects them."
avpd flareup crows 1.png,Crows,AVPD flare-up,Two arrows going from a crossed out emoji-yellow person to a flame with an orange and yellow arrow next to it
/Disability/DPD.png,Blackholemojis,Dependant Personality Disorder,"an emoji of a person holding a square knot in front of them. They hold the bottom sections of the rope, and two other people hold the top sections. They have a calm expression. A river flows behind them, positioned behind their head."
/Disability/s/chosen person 1.png,Petri,chosen person,"a drawing of two people, with the one on the left having their arm around the other's shoulder. the person on the right is emoji yellow, and the person on the left has the NPD flag coloured on them."
avpd flareup crows 4.png,Crows,AVPD flare-up,Two arrows going from an AVPD flag with a triangle-shaped void in the middle to a flame with an orange and yellow arrow next to it
equal person evan.png,Evan,equal person,A yellow figure with a blue equals sign over their face
/Disability/s/chosen person 2.png,Petri,chosen person,"a drawing of two people, with the one on the left having their arm around the other's shoulder. the person on the right is emoji yellow, and the person on the left has the NPD flag coloured on them and is wearing a crown."
black split meabh.png,Méabh,black split,"A drawing of a ms paint style polaroid photo. In the photo there is on purple person whos doing a peace sign and one grey person holding onto purple persons right arm. The purple persons face is crossed out and scribbled over with black marker, there is carton devil horns scribbled on them and cartoon style blood on their chest"
/People/favorite person meabh.png,Méabh,favorite person,A drawing of a ms paint style polaroid photo. In the photo there is on purple person whos doing a peace sign and one grey person holding onto purple persons right arm. The purple person has a half white half black heart replacing their face.
chosen person evan.png,Evan,chosen person,a smiling yellow figure cirled in red with four red arrows pointing to them
cluster c vixen 2.png,Vixen,cluster C personality disorder,A pale red circle with a C. underneath the C is a symbol of an hourglass usually associated with OCD.
favorite person evan.png,Evan,favorite person,a yellow figure with a pink heart over their face
