Image URL,Credit,Caption,Alt text
/Disability/s/phobia.png,Vixen,phobia,"a stylized, abstract white thought bubble containing a question mark, exclamation point, periods, scribbles and is outlined in red, The image is set against a clear background, and the lines and shapes are drawn in a rough, crayon textured style"
/Disability/s/phobias/phobia m.png,M,phobia,a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline.
/Disability/s/phobias/phobia bh.png,Blackholemojis,phobia,"a person turning away and hiding their face from a thought bubble with a blue hexagon in it. The thought bubble has red X’s, yellow lightning bolts, and a yellow caution triangle around it. The person also has two sweat marks near them"
/Disability/s/phobias/agoraphobia.png,M,agoraphobia,"a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. inside the bubble is a house with a yellow arrow going out from the door, and another arrow from the window."
/Disability/s/phobias/arachnophobia 1.png,Vixen,arachnophobia,"a cartoon-style black widow spider. The spider's body is mainly black with a bright red hourglass shape on its underside. It has eight long, spindly legs, and its eyes are small and pastel red. The spider is positioned against a clear background, and there is a red squiggle above its head,  indicating a warning signal"
/Disability/s/phobias/achluophobia budget.png,Bear,achluophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a drawing of a blob of black which gets lighter towards the middle"
/Disability/s/phobias/arachnophobia web variant ot.png,Ottertime,arachnophobia (web variant),"a blue bunny looking terrified. Behind it is a light blue thought bubble with a grey web inside. Surrounding the web and thought bubble are red squiggly lines, and next to the web is a red and white caution sign"
/Disability/s/phobias/hypochondria budget.png,Bear,hypochondria,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a lineless drawing of a lighter yellow person with green swirls around them and a sick like look"
/Disability/s/phobias/acrophobia.png,M,acrophobia,a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. in the thought bubble is a long up arrow.
/Disability/s/phobias/arachnophobia 2.png,Rae,arachnophobia (no spider version),a big black circle with eight black dots on the sides. There’s a red spiral with two exclamation points above the symbol.
/Disability/s/phobias/masklophobia ot.png,Ottertime,masklophobia (phobia of masks and costumes),"a blue bunny looking terrified. Behind it is a light blue thought bubble with a white comedy mask with dark magenta ribbons inside. Surrounding the mask and thought bubble are red squiggly lines, and next to the web is a red and white caution sign"
/Disability/s/phobias/bdellophobia.png,M & Vixen,bdellophobia,"A blue, cartoonish character with large, expressive eyes and a worried expression is depicted. The character has sweat droplets on its forehead and is covering its face with its hands. Above the character, a thought bubble containing a red blood droplet surrounded by a swirling, dark black aura with spikes is visible."
/Disability/s/phobias/cynophobia.png,M,cynophobia,a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. inside the bubble are a bone and a pawprint.
/Disability/s/phobias/megalohydrothalassphobia budget.png,Bear,megalohydrothalassophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a lineless ocean is drawn with a boat on the top layer , the further down it goes the blue gets darker . There is a large darker blue box in the water next to a small figure , a red height scale is between them to emphasize the size"
/Disability/s/phobias/claustrophobia.png,M,claustrophobia,"a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. in the thought bubble are two triangles pointing at each other with a line squeezing in between, and light brown in most of the other bits of the bubble."
/Disability/s/phobias/emetophobia.png,M,emetophobia,"a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. inside the bubble are a thermometer showing a high temperature, a green spiral, and a grey bag or trashcan."
/Disability/s/phobias/severe cynophobia.png,M,severe cynophobia,a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red and yellow outline. inside the bubble are a bone and a pawprint.
/Disability/s/phobias/hemophobia budget.png,Bear,hemophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a sketch like drawing of three blood drops"
/Disability/s/phobias/megalophobia budget 1.png,Bear,megalophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a lineless mouse drawn to be unreasonably larger than a small figure , a red height scale emphasizes the height"
/Disability/s/phobias/thalassophobia.png,M,thalassophobia,"a blue figure with a frightened expression and sweatdrops covering their ears and hiding from a big thought bubble with a red outline. in the thought bubble are a blue droplet, wave shape, and down arrow."
/Disability/s/phobias/thallassophobia budget 1.png,Bear,thalassophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a lineless ocean is drawn with a boat on the top layer , the further down it goes the blue gets darker . There is a red arrow pointing down to emphasize the deep water"
/Disability/s/phobias/megalophobia budget 2.png,Bear,megalophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a dark blue rectangle drawn to be unreasonably larger than a small figure , a red height scale emphasizes the height"
/Disability/s/phobias/thallassophobia budget 2.png,Bear,thalassophobia,"A simple yellow person with a worried/scared expression. A wobbly speech bubble is coming from them, there is a lineless ocean is drawn with a boat on the top layer , the further down it goes the blue gets darker . There is a red arrow pointing down at a darker blue square in the water"
