Image URL,Credit,Caption,Alt text
/Actions/complex vocal tic dusty.png,Dusty,complex vocal tic,A speech bubble coming from a yellow lightning bolt with a scribble and an excalamation point in it.
chest beat tic dusty 2.png,Dusty,chest beat (tic),"A teal person with a blank face beating their chest with one arm. A zig zag arrow follows the curve of their arm, pointing to their chest, and two small lightning bolts come off of the impact."
/Actions/complex motor tic dusty.png,Dusty,complex motor tic,"A teal person with a lightning bolt on their chest looking down with scrunched eyes and lifting their arm, with a yellow lightning arrow next to their face pointing down, and one above their arm pointing up."
/Actions/coprolalia tic dusty.png,Dusty,coprolalia (tic),"A speech bubble coming from a yellow lightning bolt with a dollar sign, pound sign, star, and percent sign in it."
/Actions/head jerk tic.png,Vixen,head jerk tic,"A small, yellow, cartoonish creature with a head jerk tic. It has squint deyes,  and its head is rapidly jerking forward. There are red exclamation lines above its head, and its mouth is squiggled."
complex motor tic dusty 2.png,Dusty,complex motor tic,"A teal person looking down and raising their arm. There are yellow zig zag arrows next to their face and next to their arm, which point in the direction of the motion."
/Actions/hand hit tic.png,Vixen,hand / hit tic,"a yellow figure with a distressed expression experiencing a myoclonic jerk. Their whole torso is curved to one side, and one arm is up and the other is down. There are orange lines showing that their head and hip are moving involuntarily."
/Actions/myoclonic jerk.png,M,myoclonic jerk,"A small, yellow, cartoonish creature with a head jerk tic. It has squint deyes,  and its head is rapidly jerking forward. There are red exclamation lines above its head, and its mouth is squiggled."
/Actions/coprolalia.png,Ottertime,coprolalia (tic),emoji yellow person swearing (represented by a speech bubble full of symbols) and giving the middle finger. they have one eye closed and look disoriented. jagged red emphasis lines represent that they are ticcing
/Actions/simple motor tic dusty.png,Dusty,simple motor tic,A teal person with a lightning bolt on their chest looking down next to a yellow lightning arrow pointing down.
/Actions/simple vocal tic dusty.png,Dusty,simple vocal tic,A speech bubble coming from a yellow lightning bolt with an asterix in brackets in it.
/Actions/echolalia tic dusty.png,Dusty,echolalia (tic),"A black and white speech bubble with a pentagon in it, and a speech bubble in the opposite corner coming from a lightning bolt with yellow lines around a deal pentagon."
tense tic dusty.png,Dusty,tense (tic),"A minimalist teal person with two zig zag yellow arrows on either side of them, pointing downwards. The person's body matches the zig zags."
/Actions/whistling tic dusty.png,Dusty,whistling (tic),A speech bubble coming from a yellow lightning bolt with a musical note in it.
/Actions/vocal tic vixen.png,Vixen,vocal tic,"A small, yellow, cartoonish person is depicted. One of its eyes is closed, while the other has a swirling spiral pattern. The creature's mouth is open in a squiggle. There are red exclamation lines above its head, and a white speech bubble with a red exclamation mark inside it."
/Actions/tic attack tonto.png,Tonto,tic attack,"A yellow person ticcing, with one eye squinting. There is purple explosion effect behind their head, a green one next to their right shoulder, a blue one near their left elbow, and a red one behind their fist."
