Image URL,Credit,Caption,Alt text
math koda.png,Koda,math,"4 green math signs (plus, division, multiplication and subtraction) outlined in a darker green."
average stellar.png,StellarSymbols,average,a small red square and yellow circle with a plus sign between them. below them is an orange shaped with four equal sides and rounded corners.
bimodal distribution m 1.png,M,bimodal distribution,a simplified depiction of a histogram with two equally tall blue curves.
add levi.PNG,Levi,add,a drawing of a yellow plus sign.
count levi.PNG,Levi,count,"a drawing of three red squares, above each square is a number (1, 2, and 3)."
bimodal distribution m 2.png,M,bimodal distribution,a simplified depiction of a histogram with two equally tall purple curves that overlap at the centre.
add plus koda.png,Koda,add / plus,a green square cross
exponential function.png,Esrah,exponential function,"a graph with a curved green line on it, and arrows on either side of the line."
brackets koda.png,Koda,brackets,two pale teal square looking Cs facing inward
bar graph rae.png,Rae,bar graph,a colorful bar graph with three bars
hypotenuse.png,Esrah,hypotenuse,"a green triangle with an arrow inside it, pointing from the right angle of the triangle to the opposite side of the triangle. Three green marks highlight that side."
isoceles.png,Esrah,isosceles,"a yellow triangle with two sides that are the same length, and a third side that's shorter. Two of the sides have green equals signs by them, but the third has a red not equal sign. There are arcs in each angle of the triangle, two matching and one not."
equilateral.png,Esrah,equilateral,a green triangle with sides that are the same length. It has green equals signs by each side. There are arcs in each angle of the triangle.
percent koda.png,Koda,percent,a pink diagonal line with a circle above and below it
logarithmic function.png,Esrah,logarithmic function,"a graph with a curved teal line that goes upwards until a point, then swerves to the right. There are arrows on either end of the line."
linear function.png,Esrah,linear function,"a graph with an orange diagonal line in the middle, and arrows on either end."
quadratic function.png,Esrah,quadratic function,a graph with a red U-shaped line with arrows at the top of each side.
multiply times koda.png,Koda,multiply / times,a blue X
pi.png,Esrah,pi,"a blue circle with the Greek letter pi in the middle, and a blue arrow around the outside of the circle."
scalene.png,Esrah,scalene,"a red triangle with sides that are all different lengths. There are red not equal signs by each side. There are arcs in each angle of the triangle, none of them matching."
radical koda.png,Koda,radical,"a purple radical/root symbol, with a purple X in it. The X is a variable."
square ottertime.png,Ottertime,square,"a purple X representing a variable. Next to it, in the top right corner, is a bright purple two."
subtract minus koda.png,Koda,subtract / minus,a red horizontal rectangle
rational function.png,Esrah,rational function,"a graph with two identical, mirrored lines, on opposite sides of the center of the graph. They are both curved, yellow, and there are arrows on either end of both lines."
square root koda.png,Koda,square root,a blue check mark that extends at the top
to the power of exponent ot.png,Ottertime,to the power of / exponent,"a purple X representing a variable. Next to it, in a top right corner, is a pale purple box representing an exponent"
