Image URL,Credit,Caption,Alt text
/Objects/religion/j/Am Yisrael Chai English Ani.png,Ani,Am Yisrael Chai (English),Am Yisrael Chai written in blue
/Objects/religion/j/am yisrael chai Hebrew Ani.png,Ani,Am Yisrael Chai (Hebrew),the phrase Am Yisrael Chai written in hebrew. The text is written in blue. The hebrew is עַם יִשְׂרָאֵל חַי
antizionism.png,Ani,anti-Zionism,An approximate map of the state of Israel with a bunch of arrows pointing inside of it and a red X over the whole thing. The arrows all originate from outside of Israel.
antizionism comet.png,comet,Antizionism,a green shape of the country of israel with a red X next to it
antizionism is antisemitism ani.png,Ani,antizionism is antisemitism,A drawing of Israel with arrows pointing inside of it and a large red ‘X’ over it and a Magen David with a large red ‘X’ over it. There is an equal sign in between the two drawings
Bring Them Home 1 Ani.png,Ani,Bring Them Home.,"A drawing of a yellow ribbon on the ribbon is grey text that reads ""Bring them home"""
Anti Zionist Jew Ani.png,Ani,Antizionist Jew,A drawing od a simplistic red person. The person has a Magen David on their chest and a speech bubble next to them. The speech bubble has a rough simple map of Israel in it. There are arrows inside to speech bubble pointing inside of Israel and a large red X over the map of Israel and arrows
Are You Zionist Ani.png,Ani,Are you a Zionist?,A drawing of a speech bubble with two things inside of it. On the left of the speech bubble is a simplistic drawing of Israel with arrows point inside of it. On the right side is a large blue speech bubble.
Dont ask if Zionist Ani.png,Ani,Do not ask if I am a Zionist,A drawing of a speech bubble with two things inside of it. In the speech bubble on the left is a rough outline of Israel and on the right is a large blue question mark. On top of the whole image is a large red X.
antizionism is not antisemitism ani.png,Ani,antizionism is not antisemitism,A drawing of Israel on one side of a not equal sign and a Magen David on the other side. The Magen David has a large red ‘X’ over it and the drawing of Israel has arrows pointing inside of Israel with a large red ‘X’ over it.
Dont talk about Palestine Ani.png,Ani,Do not talk about Palestine with me,A drawing of a speech bubble wih the Palestinian flag in it. Over the speech bubble is a large red X.
Dont talk about Palestine Israel Ani.png,Ani,Do not talk to me about Palestine and Israel,A drawing of a speech bubble with both the Israeli flag in it as well as the Palestinian flag. Over the speech bubble is a large red X.
Bring Them Home 2 Ani.png,Ani,Bring Them Home (Variant),"A drawing of a yellow ribbon on the ribbon is grey text that says ""Bring Them Home"" and ""7th Oct"""
holding palestinian flag angry tonto.png,Tonto,holding Palestinian flag,A person holding a big Palestinian flag in front of them. their face is angry
from the river to the sea.png,Petri,from the river to the sea [Palestine will be free],A digitally drawn image of a river turning into a sea. Above it is a bird coloured like the Palestine flag flying.
Dont Talk About Israel Ani.png,Ani,Do not talk about Israel to me.,A drawing of a speech bubble with an Israeli flag inside of it. Over the speech bubble is a large red x.
israeli flag.png,Ani,Israeli flag,A drawing of the flag of Israel outlined in black.
from the river to the sea kit.png,Kit,from the river to the sea,"a patch of grass with a river at the top and the sea at the bottom, a red arrow going from the river to the sea."
fatah aok aac.png,Aok AAC,Fatah,a yellow flag with a black flag pole outlined in black and white. the logo for fatah is emblazoned on the flag.
israeli nationalist extremist ot.png,Ottertime,israeli nationalist/extremist,a yellow person holding the israeli flag. there is a speech bubble coming out of them that has the palestinian flag crossed out in red.
holding palestinian flag smile tonto.png,Tonto,holding Palestinian flag,A person holding a big Palestinian flag in front of them. their face has a smile
free palestine kit.png,Kit,Free Palestine,"Digital, stylized emoji with yellow skin and no face holding up a Palestine flag, against a transparent background."
palestinian flag tonto.png,Tonto,Palestinian flag,a Palestinian flag on a flagpole.
Im an Anti Zionist Ani.png,Ani,I am an Antizionist,A drawing of a speech bubble inside of the speech bubble is a rough outline of Israel with arrows pointing inside of it. There is a large red X over the speech bubble
Im A Zionist Ani.png,Ani,I am a Zionist.,A drawing of a speech bubble and inside of the speech bubble is a rouch outline of Israel. There are small arrows pointing inside of Israel
palestinian flag.png,Rae,Palestinian flag,"the flag of Palestine, drawn with thick black outlines."
zionism.png,Ani,Zionism,An approximate map of the state of Israel with a bunch of arrows pointing inside of it. The arrows originate from different spots outside of Israel.
two state solution.png,Rae and Ani,two state solution,A drawing of the Palestinian flag and the Israeli flag. In between the is a plus sign and each flag has a number on it. The Palestinian flag has a 1 on it and the Israeli flag has a 2 on it.
shouting with palestinian flag tonto.png,Tonto,shouting with Palestinian flag,a person holding a Palestinian flag on up in the air and shouting.
Zionist Jew Ani.png,Ani,Zionist Jew,A drawing of a red person with a black Magen David on their chest. The person has a speech bubble next to them and inside of the speech bubble is a rough outline of Israel with arrows pointing inside of it.
Zionism Means Supporting Israel Ani.png,Ani,Zionism means supporting Israel,Two rough outlines of Israel on each sides of an equal sign. On the left side the outline of Israel has arrows pointing from the outside towards the inside of Israel and on the right side the outline od Israel has a large green checkmark on it
zionism comet.png,comet,Zionism,a green shape of the country of israel with a red heart next to it
Zionism Does Not Mean Supporting Israel Ani.png,Ani,Zionism Does Not Mean Supporting Israel,Two rough outlines of Israel on each side of a does not equal sign. On the left side is a rough outline with arrows pointing inside of Israel to reoresent Zionism and on the right side is a rough outline wiht a green checkmark on it.
