Image URL,Credit,Caption,Alt text
acadian french.png,froggygolem,Acadian French,The Acadian flag inside a speech bubble
acadian.png,froggygolem,Acadian,The Acadian flag over a dark green filled outline of the general area of Acadie/Acadia.
acadian flag.png,froggygolem,Acadian flag,A flag with blue white and red vertical stripes left to right and the yellow stella maris five pointed star on the top of the blue stripe.
anti racist.png,Esran,anti-racist,"a yellow fist punching down at a blob with various human skin tones. A red X is between the fist and the blob, and a red arrow points to the X."
alt right vixen.png,Vixen,Alt-Right,"a yellow cat like creature with a red 'MAGA' has, they look disgruntled and have a spiky speech bubble on the left with a Confederate flag on the inside. above them there is a red arrow pointing to the right."
anarchist.png,M,anarchist,"A red anarchist symbol with black outline, drawn a little messily like somebody has painted it"
carceral chrome.png,Cytochrome-sea,carceral,image of a gray prison with a yellow outline next to a tilde with a yellow outline
border m.png,M,border,"a thick, curving brown line divides a green area and a blue area. an arrow points to the brown line."
anti racism.png,Esran,anti-racism,a yellow fist punching down at a blob with various human skin tones. The fist is crossed out with a red X.
casus belli m.png,M,casus belli / justification for war,"a spiky orange impact shape, with a red arrow pointing from it to a thought bubble. from the thought bubble points another red arrow, to a yellow hand holding a cyan lightning bolt and a bright red lightning bolt."
ceasefire.png,Kit,ceasefire,a missile with a red cancel symbol over it.
ceasefire now.png,Kit,ceasefire now,"a missile with a red cancel symbol over it. there is a clock above it, with a blue arrow pointing to the clock."
colonization.png,M,colonization,"the edge of a landmass, with red dots outside of it. the landmass is green in the centre but red at the edges, and a big yellow arrow shows that the red is moving forward into the green areas."
civilian m.png,M,civilian,"two abstract blue figures, based on the United Nations humanitarian icon figures for 'military' and 'civil'. The figure on the left wears an abstract uniform. The figure on the right, a civilian, does not wear a uniform. The figure on the right is inside a yellow rectangle."
Congo flag tonto.png,Tonto,Congo flag,"the flag of the DR Congo, on a flagpole."
communication bill of rights ot.png,Ottertime,communication bill of rights,"an orange aac tablet with yellow, green, and blue buttons next to a white paper with squiggly lines representing words and the blue humans rights symbol on its. Above the aac tablet is a speech bubble with a orange square and green triangle inside."
decolonization.png,M,decolonization,"the edge of a landmass, with red dots outside of it. the landmass is green in the centre but red at the edges, and a big yellow arrow shows that the red is moving back out away from the green areas."
colonial esrah.png,Esrah,colonial,"an emoji yellow person standing on ground that’s split into red and green. They stand on the green side, and have planted a red flag into the ground. A red arrow points to them."
eurocentric chrome.png,Cytochrome-sea,eurocentric,image of a green simplified continent of europe surrounded by a yellow circle with four red arrows pointing to it
crpd.png,M,Convention on the Rights of Persons with Disabilities,The United Nations logo above a raised grey fist and the international disability sfymbol.
freedom of religion creature's creations.png,Creature's creations,freedom of religion,"A sheet of paper that says U.S , to the right is a cross, a crescent moon next to a star, and to the right is the star of David"
human right to communication m.png,M,human right to communication,the human rights emblem (a blue handprint shaped like a dove) with a white speech bubble below it.
everyone means everyone petri.png,Petri,everyone means everyone,"Two groups of three yellow circles, one at the top of the image and one at the bottom. Each group is surrounded by a large black oval. Between the two groups is a large black equal sign, which has three green emphasis lines to either side of it."
freedom of speech creature's creations.png,Creature's creations,freedom of speech,A sheet of paper that says U.S  to the right is a person speaking with a check over it and a bird above
human rights shouldn't be political ot.png,Ottertime,human rights shouldn't be political,"a dark blue arrow leading from the human rights logo, a blue bird that looks like a human hand, to a grey government building. On top of the arrow is a red X."
food security m.png,M,food security,A brown bowl with a stylised stalk of wheat above it.
human rights are for everyone m 1.png,M,human rights are for everyone,the human rights emblem (a blue handprint shaped like a dove) with a bracket coming down from it and encompassing a broad range of different human figures. the figures are all different shapes and sizes and different human skintones.
inclusionist petri 1.png,Petri,inclusionist,"A drawing of a plain yellow person from the shoulders up, smiling with their mouth open and gesturing with their hand. They're speaking a speech bubble that shows four green circles, three in an open group and the fourth outside of it with an arrow pointing from it towards the entrance of the group."
human rights m.png,M,human rights,"the international symbol for human rights, which is a bue glyph that looks like both a free bird and a hand, outlined in black."
human rights are for everyone m 2.png,M,human rights are for everyone,the human rights emblem (a blue handprint shaped like a dove) with a bracket coming down from it and encompassing a broad range of different human figures. the figures are all different shapes and sizes and different unrealistic skintones (like pink and green).
inclusionist petri 2.png,Petri,inclusionist,"A drawing of a hijabi with a nasal tube from the shoulders up, smiling with their mouth open and gesturing with their hand. They're speaking a speech bubble that shows four green circles, three in an open group and the fourth outside of it with an arrow pointing from it towards the entrance of the group."
human rights violation m.png,M,human rights violation,"the human rights emblem (a blue handprint shaped like a dove) with a red ttriangle, containing a yellow exclamation mark, below it. two arrows point from the triangle to the human rights emblem"
indigeneity m.png,M,indigeneity,"a dark green land shape with an area highlighted in blue. from that blue area is a broadening triangle shape leading to a circle (like a place marker symbol); the circle has three blue figures in it, the same shade of blue as the land area."
icc.png,M,International Criminal Court,"the symbol for the international criminal court. the symbol is dark blue, and it is a pair of scales in a pair of olive branches."
lemkin institute m.png,M,Lemkin Institute,"the logo of the Lemkin Institude, several pale blue leaf outlines."
indigenous m.png,M,indigenous,"a dark green land shape with an area highlighted in yellow. from that yellow area is a broadening triangle shape leading to a circle (like a place marker symbol); the circle has three yellow figures in it, the same shade of yellow as the land area."
intersectional feminism.png,M,intersectional feminism,"A pink feminism symbol, the Venus sign combined with an upraised fist. the circle of the venus symbol interlocks with two ither circles. one is dark brown, representing people of color, and the other is colored with the disability pride flag, representing disabled people."
marriage equality m.png,M,marriage equality,"two overlapping golden rings. both above and below them is an equals sign, coloured in with a rainbow gradient."
ireland 2.png,Ani,Ireland,A drawing of Ireland and Northern Ireland. Ireland is colored purple and Northern Ireland is colored blue
italian flag m.png,M,Italian flag,"the flag of Italy, drawn with a black outline around it. it's rectangular, with three vertical stripes: green, white, and red."
/Self-Advocacy/rights.png,M,rights,A grey fist raised in protest.
leftist woke vixen.png,Vixen,"leftist / ""woke""","a yellow cat like creature with floppy ears, they look disgruntled and have a spiky speech bubble on the left with a progress pride flag on the inside. above them there is a blue arrow pointing to the left."
kānaka maoli hawaii.png,Rae,Kānaka maoli Hawai'i,"a flag with nine stripes alternating between green, red, and yellow. There’s a green shield in the center, with two paddles and a puela insignia in yellow."
right to education m.png,M,right to education,the human rights emblem (a blue handprint shaped like a dove) with a curved black arrow pointing from it to a black mortarboard (graduation cap).
nepal flag.png,M,Nepalese flag,"The flag of Nepal. It is shaped like two triangles, one on top of the other. It is red with a blue outline, and in each triangle part is a white symbol."
land back.png,Petri,land back,"two emoji yellow hands holding piles of dirt, with dirt falling from the first hand to the second, which is wearing an orange wristband."
right to freedom from slavery and servitude m.png,M,right to freedom from slavery and servitude,the human rights emblem (a blue handprint shaped like a dove) with an open manacle below it. an arrow points from the human rights emblem to the manacle.
rights aren't conditional m.png,M,rights aren't conditional,"The human rights symbol, a blue handprint shaped like a dove, with a checklist. the checklist has two green boxes, one red box, and is in a crossed-out red circle."
metis.png,Petri,Métis,"the Métis flag, a blue flag with a white infinity symbol on it."
right to freedom of thought m.png,M,right to freedom  of thought,the human rights emblem (a blue handprint shaped like a dove) with a thought bubble below it. an arrow points from the human rights emblem to the thought bubble.
right to an attorney creature's creations.png,Creature's creations,right to an attorney,a scale type thing next to a person with a tie and a check above
my rights are in danger ot.png,Ottertime,my rights are in danger,"two red arrows leading from the human rights logo, a blue bird that looks like a human hand, to a white triangle with a red border and red exclamation mark inside, symbolizing danger"
