Image URL,Credit,Caption,Alt text
's.png,Frogverbal,'s,''s' in the color blue with a black outline
've.png,Frogverbal,'ve,''ve' in the color blue with a black outline
-y.png,Frogverbal,-y,'-y' in the color blue with a black outline
apostrophe d.png,Petri,'d,''d' in round blocky letters with brown outlines and light blue fills
apostrophe ll.png,Petri,'ll,''ll' in round blocky letters with brown outlines and light blue fills
apostrophe ll r.png,Rayin,'ll,''ll' in round blocky blue letters
as.png,Petri,as,'as' in round blocky letters with brown outlines and light blue fills
al koda.png,Koda,-al,'-al' in pink letters with a darker pink outline.
able koda.png,Koda,"-able",'-able' in pink letters with a darker pink outline.
apostrophe ve r.png,Rayin,'ve,''ve' in round blocky blue letters
dash ed.png,Petri,-ed,'-ed' in round blocky letters with brown outlines and light blue fills
dash ed r.png,Rayin,-ed,'-ed' in round blocky blue letters
ance koda.png,Koda,-ance,'-ance' in pink letters with a darker pink outline.
er koda.png,Koda,-er,'-er' in blocky letters with dark pink outlines and pink fills
ed koda.png,Koda,-ed,'-ed' in blocky letters with dark pink outlines and pink fills
ation koda.png,Koda,-ation,'-ation' in blocky letters with dark pink outlines and pink fills
dash es 2.png,Petri,-es,'-es' in round blocky letters with brown outlines and light blue fills
dash est r.png,Rayin,-est,'-est' in green letters
dash est.png,Petri,-est,'-est' in round blocky letters with brown outlines and light blue fills
est koda.png,Koda,-est,'-est' in pink letters with a darker pink outline.
apostrophe ve.png,Petri,'ve,''ve' in round blocky letters with brown outlines and light blue fills
dash ful.png,Petri,-ful,'-ful' in round blocky letters with brown outlines and light blue fills
ible koda.png,Koda,-ible,'-ible' in pink letters with a darker pink outline.
dash er.png,Petri,-er,'-er' in round blocky letters with brown outlines and light blue fills
ful koda.png,Koda,-ful,'-ful' in pink letters with a darker pink outline.
dash ing.png,Petri,-ing,'-ing' in round blocky letters with brown outlines and light blue fills
ing koda.png,Koda,-ing,'-ing' in pink letters with a darker pink outline.
ish koda.png,Koda,-ish,'-ish' in pink letters with a darker pink outline.
dash r.png,Petri,-r,'-r' in round blocky letters with brown outlines and light blue fills
dash ish.png,Petri,-ish,'-ish' in round blocky letters with brown outlines and light blue fills
ive koda.png,Koda,-ive,'-ive' in pink letters with a darker pink outline.
dash ing r.png,Rayin,-ing,-ing' in round blocky blue letters
ism koda.png,Koda,-ism,'-ism' in pink letters with a darker pink outline.
dash n't.png,Petri,-n't,'-n't' in round blocky letters with brown outlines and light blue fills
ist koda.png,Koda,-ist,'-ist' in pink letters with a darker pink outline.
less koda.png,Koda,-less,'-less' in pink letters with a darker pink outline.
dash y.png,Petri,-y,'-y' in round blocky letters with brown outlines and light blue fills
dash less r.png,Rayin,-less,'-less' in round blocky blue letters
ment koda.png,Koda,-ment,'-ment' in pink letters with a darker pink outline.
anti koda.png,Koda,anti-,'anti-' in purple letters with a darker purple outline.
ness koda.png,Koda,-ness,'ness-' in pink letters with a darker pink outline.
dash s.png,Petri,-s,'-s' in round blocky letters with brown outlines and light blue fills
de koda.png,Koda,de-,'de-' in purple letters with a darker purple outline.
ship koda.png,Koda,-ship,'anti-' in pink letters with a darker pink outline.
bi koda.png,Koda,bi-,'bi-' in purple letters with a darker purple outline.
dis koda.png,Koda,dis-,'dis-' in purple letters with a darker purple outline.
ty r.png,Rayin,-ty,'-ty' in pink bubble letters.
mis koda.png,Koda,mis-,'mis-' in purple letters with a darker purple outline.
en koda.png,Koda,en-,'en-' in purple letters with a darker purple outline.
co koda.png,Koda,co-,'co-' in purple letters with a darker purple outline.
mis- prefix.png,Rayin,mis-,'mis-' in yellow bubble letters.
hyper neon.png,Neon,hyper-,"an arrow pointing upwards which is red at the top and fades to orange then yellow near the bottom, to the right of the arrow is 3 lightning bolts, a big one centered, medium one below it to the right, and small one above it to the right. they’re also fading from red to yellow. there’s 4 other smaller triangular shapes scattered around"
non koda.png,Koda,non-,'non-' in purple letters with a darker purple outline.
un koda.png,Koda,un-,'un-' in purple letters with a darker purple outline.
hypo neon.png,Neon,hypo-,"an arrow pointing downwards which is blue at the bottom and fades to lighter blue near the top, to the right of the arrow is 5 squiggly lines, 2 large ones, one medium one and two small ones. they’re also fading from light blue to dark blue."
over koda.png,Koda,over-,'over-' in purple letters with a darker purple outline.
ay koda.png,CC,at you,“/ay” in blue and outlined in darker blue
pre koda.png,Koda,pre-,'pre-' in purple letters with a darker purple outline.
under koda.png,Koda,under-,'under-' in purple letters with a darker purple outline.
nay koda.png,CC,not at you,“/nay” in light blue and outlined in darker blue
re koda.png,Koda,re-,'re-' in purple letters with a darker purple outline.
genuine koda.png,Koda,genuine,“/gen” in yellow and outlined in darker yellow
tone_-_lighthearted.png,CC,tone: lighthearted,a pink heart-shaped balloon with the text '/lighthearted'. the letters 'l'  and 'h' are in a lighter blue than the others.
under r.png,Rayin,under-,'under-' in cyan bubble letters.
genuine question koda.png,Koda,genuine question,“/gq” in purple and outlined in darker purple
tone_-_not_mad.png,CC,tone: not mad,"a red frowning face and a red 'x', with the text '/not mad'. the letters 'n' and 'm' are in a lighter blue than the others."
tone_-_genuine.png,CC,tone: genuine,"an emoji yellow face smiling, with the text '/genuine'. the letters 'gen' are in a lighter blue than the others."
sarcasm koda.png,Koda,sarcasm,“/s” in orange and outlined in darker orange
tone_-_roleplay.png,CC,tone: roleplay,"two theatre masks, with the text '/roleplay'. the letters 'r' and 'p' are in a lighter blue than the others."
tone_-_negative.png,CC,tone: negative,"a red circle with a line through it, with the text '/negative'. the letters 'neg' are in a lighter blue than the others."
tone_-_joking.png,CC,tone: joking,"an emoji yellow face winking and poking their tongue out, with the text '/joking'. the letter 'j' is in a lighter blue than the others."
your mom joke.png,Petri,your mom (joke context),"a drawing of a yellow hand pointing at a plain person, standing next to another person with a female symbol on them. there are laughing faces around the hand."
tone_-_platonic.png,CC,tone: platonic,"a purple heart and a blue heart, with the text '/platonic'. the letters 'pl' are in a lighter blue than the others."
tone_-_neutral.png,CC,tone: neutral,"a yellow circle with a dot in it, with the text '/neutral'. the letters 'neu' are in a lighter blue than the others."
tone_-_positive.png,CC,tone: positive,"a green circle with a plus sign in it, with the text '/positive'. the letters 'pos' are in a lighter blue than the others."
