Image URL,Credit,Caption,Alt text
abinary.png,Ani,abinary,the abinary flag
agender.png,Tonto,agender,the agender flag
aromantic.png,Tonto,aromantic,the aromantic flag
abrosexual.png,Tonto,abrosexual,the abrosexual flag
autosexual.png,Tonto,autosexual,the autosexual flag
autosexual a.png,Ani,autosexual,A drawing of the autosexual flag outlined in black. The flags top half is light grey blue and the bottom is grey
asexual.png,Tonto,asexual,the asexual flag
binder 2.png,M,binder,a brown binder viewed from a 3/4 angle
bear.png,Tonto,bear,the bear flag
binder 1.png,M,binder,a white binder viewed from a 3/4 angle
Bottom_surgery_1b.png,Petri,botttom surgery,A drawing of a pair of boxers across from a pair of panties. An arrow points from the boxers to the panties and another arrow points from the panties to the boxers.
bigender.png,Tonto,bigender,the bigender flag
bisexual.png,Tonto,bisexual,the bisexual flag
butch.png,Tonto,butch,the butch flag
binder 3.png,M,binder,a binder coloured with the trans flag and viewed from a 3/4 angle
Bottom_surgery_1a.png,Petri,botttom surgery,A drawing of a pink pair of boxers across from a light blue pair of panties. A pink arrow points from the boxers to the panties and a blue arrow points from the panties to the boxers.
demisexual.png,Tonto,demisexual,the demisexual flag
demiromantic love.png,Rayin,demiromantic love,A heart with the colours of the demiromantic pride flag with a slightly darkened outline
active wheelchair rainbow.png,Blackholemojis,disabled gay pride,"the active wheelchair symbol for disability, with the rainbow flag colors superimposed."
active wheelchair trans.png,Blackholemojis,disabled trans pride,"the active wheelchair symbol for disability, with the transgender flag colors superimposed."
i'm gay.png,Petri,I'm gay,a speech bubble with a rainbow in it.
Detransition_2.png,Petri,detransition,"A drawing of a pink square, light blue circle, and light green triangle in a diagonal line. A blue arrow points from the square to the circle, and a green arrow points from the circle to the triangle."
/Objects/deadname.png,M,deadname,A stylized skull next to a label with a scribble on it.
Detransition_1.png,Petri,detransition,"A drawing of a light blue circle to the left of a pink square. A pink arrow between them points from the circle to the square, and a blue arrow above them points from the square to the circle."
conceptum.png,Petri,conceptum,a drawing of a person hugging a thought bubble with a pink heart above them.
futch.png,Tonto,futch,the futch flag
estrogen patch.png,Rover,estrogen patch,a diamond-shaped light brown patch with a pink venus symbol on it.
fictional other.png,M,fictional other,"an open book with red covers, a red figure emerging from it, and a red heart next to the figure."
gender non conforming.png,Tonto,gender non-conforming,the gender non-conforming flag
femme.png,Tonto,femme,the femme flag
gender dysphoria 1.png,Smolmoss,gender dysphoria,"an emoji yellow figure with arms help up, crying."
gender dysphoria 2.png,Smolmoss,gender dysphoria,"an emoji yellow figure with one arm over the other, crying."
gay.png,Tonto,gay,the gay (men loving men) flag
gender euphoria 2.png,Smolmoss,gender euphoria,an emoji yellow figure cheering with their arms up. they have a flat chest
gender euphoria 3.png,Smolmoss,gender euphoria,an emoji yellow figure cheering with their arms up. they have top surgery scars
genderfluid.png,Tonto,genderfluid,the genderfluid flag
genderqueer.png,Tonto,genderqueer,the genderqueer flag
greysexual.png,Tonto,greysexual,the greysexual flag
gender euphoria 1.png,Smolmoss,gender euphoria,an emoji yellow figure cheering with their arms up. they have breasts
greyromantic love.png,Rayin,grey romantic love,A heart with the colours of the grey romantic pride flag with a slightly darkened outline
intersex ani.png,Ani,intersex,A drawing of the intersex flag which is yellow with a purple circle in the middle the flag is outlined in black
genderflux heart.png,Rayin,genderflux love,A heart with the colours of the genderflux pride flag with a slightly darkened outline
intergender.png,Ani,intergender,A drawing of the intergender pride flag outlined in black. The flag has two purple stripes on the top and bottom the middle stripe is yellow. In the middle of the flag is a white circle
lesbian.png,Tonto,lesbian,the lesbian flag
greygender.png,Ani,greygender,"a drawing of the greygender flag outlined in black The flag stripe colors form top to bottom are light grey, white, dark blue, white again, and dark grey"
happy pride month.png,Tonto,happy pride month,"A happy yellow face with stars around it, holding a progress pride flag and waving it."
Name_change_1.png,Petri,name change,"A drawing of two nametags, each with different symbols representing different names. There are two red arrows pointing from the first to the second."
intersex.png,Tonto,intersex,the intersex flag
medical transition.png,Petri,medical transition,A drawing of a light blue circle with a white cross on it across from a pink square with a white cross on it. A pink arrow points from the circle to the square and a blue arrow points from the square to the circle.
pangender.png,Tonto,pangender,the pangender flag
Name_change_2.png,Petri,name change,"A drawing of two nametags, each with different symbols representing different names. There are two black arrows pointing from the first to the second."
omnisexual.png,Tonto,omnisexual,the omnisexual flag
polyamorous.png,Tonto,polyamorous,the polyamorous flag
nonbinary.png,Tonto,nonbinary,the nonbinary flag
otter.png,Tonto,otter,the otter flag
spectrasexual.png,Ani,spectrasexual,"A drawing of the Spectrasexual The flags stripes are colors from top to bottom are pink, purple, white, bright blue-green and light blue. The flag is outlined in black"
polysexual.png,Tonto,polysexual,the polysexual flag
pansexual.png,Tonto,pansexual,the pansexual flag
top surgery 3.png,M,top surgery,"a beige circle, with a light blue arrow pointing to a pink, thick, slightly uneven line."
top surgery 2.png,M,top surgery,"a medium brown circle, with a light blue arrow pointing to a medium brown, thick, slightly uneven line."
progress pride.png,Tonto,progress pride,the rainbow flag with a triangle that has black and brown stripes and the trangender flag colors
Transition_1.png,Petri,transition,"A drawing of a light blue circle turning into a pink square. An arrow points towards a shape that's a mixture of a circle and a square with colours mixed between light blue and pink, and an arrow points from that to a pink square."
Transition_2.png,Petri,transition,"A drawing of a circle turning into a square. An arrow points from the circle towards a shape that's a mixture of a circle and a square, and a second arrow points from that shape to the square."
transfem love.png,Rayin,transfem love,A heart with the colours of the transfem pride flag with a slightly darkened outline
trans joy 1.png,Tonto,trans joy,"A beaming emoji yellow person with top surgery scars, holding up one arm. there are sparkle symbols around them to show their happiness."
transfem.png,Neon,transfem,"a rectangular flag with four horizontal stripes, in order it goes: white, light pink, hot pink, black. The flag is surrounded by a black outline."
queer.png,Tonto,queer,the rainbow flag
transmasc joy f.png,Tonto,trans joy,"A beaming emoji yellow fat person with top surgery scars, holding up one arm. there are sparkle symbols around them to show their happiness."
transmasc love.png,Rayin,transmasc love,A heart with the colours of the transmasc pride flag with a slightly darkened outline
transgender.png,Tonto,transgender,the trangsgender flag
transmasc.png,Neon,transmasc,"a rectangular flag with four horizontal stripes, in order it goes: white, light blue, dark blue, black. The flag is surrounded by a black outline."
trans pi.png,Pi,trans,"An illustration of the transgender symbol in light pink, in the middle of the circle there's a star connecting each line, behind it is a drawing of the sun."
transfem joy f.png,Tonto,transfem joy,a beaming emoji yellow person in a pink dress in front of the transfeminine flag. there are sparkle symbols around them to show their happiness. they are fat
social transition.png,Petri,social transition,"A drawing of a light blue circle next to a pink square, both in a speech bubble. A pink arrow points from the circle to the square and a blue arrow points from the square to the circle."
testosterone gel.png,Ani,testosterone gel,A white container that is cylinder-shaped. The container has a see-through lid covering a pump. There is a big dark blue T with a big dark blue G below it and next to each letter is a smaller dark blue squiggle.
top surgery 1.png,M,top surgery,"a dark brown circle, with a light blue arrow pointing to a dark brown, thick, slightly uneven line."
twink.png,Tonto,twink,the twink flag
testosterone vial.png,Neon,testosterone vial,"A small blue / grey capped vial with a white label that reads 'Testosterone, Sterile Multiple Dose Vial, 200mg/ml'"
trans joy 2.png,Tonto,trans joy,a beaming emoji yellow person in a pink dress in front of the transfeminine flag. there are sparkle symbols around them to show their happiness.
xenogender m.png,M,xenogender,"the star and rainbw design from the xenogender flag, colored in the stripes of the xenogender flag."
xenogender.png,Tonto,xenogender,"the xenogender flag, a pastel rainbow flag with a white rainbow and star on it."
