Image URL,Credit,Caption,Alt text
afab and intersex m.png,M,AFAB and intersex,a yellow baby swaddled in purple has a card in front of them with a pink venus ('female') sign and a blue mars ('male') sign separated by a long diagonal line.  the pink venus section is highlighted in red. a yellow arrow points from the baby down to an intersex pride flag
/description/aiab vixen.png,Vixen,AIAB,"diamond outline with a line on top with a gradient transitioning from white at the top to light yellow at the bottom. Inside the diamond, a heart shaped nonbinary gender symbol is drawn in the center."
assigned binary ab and intersex m.png,M,assigned binary GAB and intersex,a yellow baby swaddled in purple has a card in front of them with a pink venus ('female') sign and a blue mars ('male') sign separated by a long diagonal line. a yellow arrow points from the baby down to an intersex pride flag
genital variation petri 1.png,Petri,genital variation,"A drawing of a plain emoji yellow person. There is a red circle around their pelvis area with a line leading from the circle to an intersex flag next to them, which is yellow with a purple ring in the centre"
amab and intersex m.png,M,AMAB and intersex,a yellow baby swaddled in purple has a card in front of them with a pink venus ('female') sign and a blue mars ('male') sign separated by a long diagonal line.  the blue mars section is highlighted in red. a yellow arrow points from the baby down to an intersex pride flag
disabling intersex variant m.png,M,disabling intersex variant,purple disablility sun symbol with yellow interior of big circle.
/Disability/s/hyperandrogenism 1.png,Dusty,hyperandrogenism,"a person with light skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have light brown hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
cah m.png,M,Congenital Adrenal Hyperplasia / CAH,a purple adrenaline molecule inside a purple circle with a yellow interior.
/Disability/s/hyperandrogenism 5.png,Dusty,hyperandrogenism,"a person with light brown skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have dark brown curly hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
/Disability/s/hyperandrogenism 4.png,Dusty,hyperandrogenism,"a person with brown skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have medium brown curly hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
delayed puberty dragon.png,Dragon,delayed puberty,"a small featureless person with a green arrow pointing from them up to an adult person lifting one arm above their head, the adult has brown axillary and pubic hair. Above them both is a clock with an orange arrow above it pointing to the right to convey lateness."
i'm perceived as male petri 1.png,Petri,I'm perceived as male,"A drawing of a plain emoji yellow person on the left. To their right is a large green eye looking at them, with an arrow pointing from the eye to the person. A thought bubble containing a dark blue male symbol comes from the eye."
/Disability/s/hyperandrogenism 2.png,Dusty,hyperandrogenism,"a person with light skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have blonde hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
dionyfluid.png,Ottertime,dionyfluid,"a flag outlined in dark purple with lavender, purple, dark blue, sky blue, and mint horizontal stripes as well as a white circle with a dark blue outline"
incomplete puberty dragon.png,Dragon,incomplete puberty,"a small featureless person with a green arrow pointing from them up to an adult person lifting one arm above their head, the adult has brown axillary and pubic hair. There is a red slash through the arrow to convey that the transition was incomplete."
/Phrases/i'm intersex petri.png,Petri,I'm intersex,"a drawing of a plain yellow person, with the intersex flag next to them and a purple arrow pointing from it to them."
genital variation petri 2.png,Petri,genital variation,"A drawing of a plain emoji yellow person. There is a red circle around their pelvis area with a line leading from the circle to a genitally intersex flag next to them, which is yellow with a symbol inside a purple ring. The symbol is vaguely moth-shaped and resembles the human genital tubercle in early development. It has two pink blobs, a green blob at the top, a purple middle, and a red exclamation point-like shape inside the purple."
intersex trans man ot.png,Ottertime,intersex trans man,"a person who is the colors of the intersex flag. From the top right corner is the transgender man flag, with a red arrow pointing to the person from the flag"
/Phrases/i'm not intersex petri.png,Petri,I'm not intersex / I'm perisex,"a drawing of a plain yellow person, with a crossed out intersex flag next to them and a purple arrow pointing from it to them"
/Disability/s/hyperandrogenism 3.png,Dusty,hyperandrogenism,"a person with light skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have medium brown hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
intersex transmasc ot.png,Ottertime,intersex transmasc,"a person who is the colors of the intersex flag. From the top right corner is the four striped transmasc flag, with a red arrow pointing to the person from the flag"
i'm perceived as female petri 1.png,Petri,I'm perceived as female,"A drawing of a plain emoji yellow person on the left, with a purple ring on their torso. To their right is a large green eye looking at them, with an arrow pointing from the eye to the person. A thought bubble containing a pink female symbol comes from the eye."
/Disability/s/hyperandrogenism 6.png,Dusty,hyperandrogenism,"a person with brown skin tone. They have acne, facial hair, and a bald spot on the top of their head. They have dark brown curly hair. In the upper left of the image is an orange up arrow next to the letter T. In the bottom left is a female symbol."
intersex trans woman ot.png,Ottertime,intersex trans woman,"a person who is the colors of the intersex flag. From the top right corner is the transgender woman flag, with a red arrow pointing to the person from the flag"
/LBGT+/intergender.png,Ani,intergender flag,A drawing of the intergender pride flag outlined in black. The flag has two purple stripes on the top and bottom the middle stripe is yellow. In the middle of the flag is a white circle
intersex transfem ot.png,Ottertime,intersex transfem,"a person who is the colors of the intersex flag. From the top right corner is the four striped transfem flag, with a red arrow pointing to the person from the flag"
/LBGT+/intersex.png,Tonto,intersex,the intersex flag
interfluid.png,Ottertime,interfluid,"a flag outlined in dark purple with yellow, light orange, orange, red, purple, indigo, light indigo, and light blue horizontal stripes as well as a white circle with a dark purple outline"
/LBGT+/intersex ani.png,Ani,intersex flag,A drawing of the intersex flag which is yellow with a purple circle in the middle the flag is outlined in black
intersex 2 koda.png,Koda,intersex,"a yellow person with a darker yellow outline, on their tummy is a purple ring / circle."
internon m.png,M,internon,"A drawing of an internon pride flag outlined in black. Internon is an intersex identity where an intersex person is also not in the gender binary. The flag has four horizontal stripes: yellow, white, light purple, dark grey there is a circle outline over the centre of the flag, like in the intersex flag. the circle is purple on the top half and yellow on the bottom half"
intersex chimerism ot 2.png,Ottertime,intersex chimerism,an abstract chimera with its front part with the lion yellow and its back part with the snake tail purple. There are red parts in between to show the colors are mixing
intersex chimerism ot 1.png,Ottertime,intersex chimerism,an abstract chimera with its front part with the lion pastel yellow and its back part with the snake tail pastel purple. There are tan parts in between to show the colors are mixing
intersex 4 intersex m.png,M,intersex4intersex / i4i,two interlocking yellow hearts with thick purple outlines.
klinefelter 2.png,Ottertime,klinefelter syndrome / trisomy xxy,"a calico cat; it has white fur along with purple and yellow spots. On some patches of yellow fur are purple rings, resembling the intersex flag. on the top left corneris a purple x, a purple and yellow x, and a yellow y"
klinefelter 1.png,Ottertime,klinefelter syndrome / trisomy xxy,"a calico cat; it has white fur along with purple and yellow spots. On some patches of yellow fur are purple rings, resembling the intersex flag."
intersex hearthands bh.png,Blackholemojis,intersex hearthands,"heart with intersex flag on it, in the empty space between two hands making a heart shape."
/Nature/animals/male calico intersex m.png,M,male calico cats are intersex,"an intersex flag with the head of a calico cat, wearing a blue collar, in the centre."
ncah m.png,M,Non-Classical Congenital Adrenal Hyperplasia / NCAH,"a purple adrenaline molecule inside a purple circle with a yellow interior. above this, in the centre, is a green sprout symbolising the onset of puberty. a purple arrow points from the sprout tot he right, indicating visible onset."
/Disability/s/pcos koda 3.png,Koda,PCOS,"a pink uterus with upset eyes, there’s 4 white cysts on each ovary, above the uterus’ eyes is the letters “PCOS” in red bubble letters"
/Disability/s/pcos koda 2.png,Koda,PCOS,"a pink uterus with upset eyes, there’s 4 white cysts on each ovary and red squiggles and lines around the uterus to indicate pain"
/Disability/s/pcos koda 1.png,Koda,PCOS,"a pink uterus with upset eyes, there’s 4 white cysts on each ovary"
precocious puberty dragon.png,Dragon,precocious puberty,"a small featureless person with a green arrow pointing from them up to an adult person lifting one arm above their head, the adult has brown axillary and pubic hair. Above them both is a clock with a blue arrow above it pointing to the left to convey earliness"
sex chromosome mosaicism m gd.png,M,sex chromosome mosaicism,"a black-outlined version of sex chromosome mosaicism symbol designed by Tumblr user gonyadaldysgenesis. it a circle made of a 'mosaic' of colors from common stains used to create karyotypes, primarily giemsa dye, which is primarily indigo, blue, and purple, with hints of magenta."
/Disability/s/PCOS.png,Dusty,PCOS / polycystic ovary syndrome,"A drawing of an ovary and fallopian tube. The ovary has many darker pink spots on it, representing cysts."
turner syndrome m 2.png,M,Turner syndrome,"a square variation of the intersex pride flag, with a purple 'X' in the purple circle, so that it looks like a purple 'XO' on a yellow field. the field has a black outline."
turner syndrome m 1.png,M,Turner syndrome,"a square variation of the intersex pride flag, with a purple 'X' in the purple circle, so that it looks like a purple 'XO' on a yellow field."
----------,,,
compulsory dyadism m.png,M,compulsory dyadism,a yellow figure chaiend to a blue circle and a purple figure chained to a pink circle. both have sad faces and are reaching for the other circle.
/Self-Advocacy/bigotry/intersexism.png,Petri & M,intersexism,A drawing of a thought bubble containing an intersex flag with a large X drawn over it
/Self-Advocacy/bigotry/dsd m.png,M,DSD (Disorder of Sexual Development),"shapes resembling the letters 'D S D,' each 'letter' broken into two pieces.  For each 'letter,' one piece is blue and one is pink. This represents 'broken' binary sexual chromosomes and presentation."
/Trauma-abuse/igm m 1.png,M,IGM / Intersex Genital Mutilation,"a bloody scalpel separates a bright blue mars sign and a pink venus sign. a brightly colored intersex flag is in the top left corner of the image, showing that the rest of the symbol has an intersex context."
/Self-Advocacy/bigotry/intersexist1.png,Petri,intersexist,a drawing of a person angrily sticking their tongue out. in their head is the intersex flag with an X over it.
/Self-Advocacy/bigotry/dsd quotes m.png,M,"""DSD"" (""Disorder of Sexual Development"")","shapes resembling the letters 'D S D,' each 'letter' broken into two pieces.  For each 'letter,' one piece is blue and one is pink. This represents 'broken' binary sexual chromosomes and presentation. there are black quote marks in the top left and bottom right corners."
/Trauma-abuse/igm m 2.png,M,IGM / Intersex Genital Mutilation,"a bloody scalpel separates a blue mars sign and a pink venus sign. an intersex flag is in the top left corner of the image, showing that the rest of the symbol has an intersex context."
/Self-Advocacy/bigotry/intersexism1.png,Petri,intersexism,a drawing of a thought bubble with the intersex flag with an X over it
/Self-Advocacy/bigotry/h slur m.png,M,h slur,A spiky red speech bubble with a statue of Hermaphroditus inside it.
/Trauma-abuse/igm m 3.png,M,IGM / Intersex Genital Mutilation,"a scalpel separates a blue mars sign and a pink venus sign. an intersex flag is in the top left corner of the image, showing that the rest of the symbol has an intersex context."
