Image URL,Credit,Caption,Alt text
achilleean legless rat.png,Legless Rat,Achillean,the achillean flag from top to bottom light blue white light blue with a green rose in the middle
agender.png,Tonto,agender,the agender flag
agender pride circle ee.png,Eldritch-Emojis,agender pride circle,"a circle with the stripes of the agender pride flag - black, silver, white, green, white, silver, black - on it."
Agender .png,kodabearsaac,agender,a person with the colors of the agender flag for their skin
aspec rayin.png,Rayin,aspec,The aspec flag in a rust-coloured border
aromantic.png,Tonto,aromantic,the aromantic flag
abrosexual.png,Tonto,abrosexual,the abrosexual flag
autosexual.png,Tonto,autosexual,the autosexual flag
autosexual a.png,Ani,autosexual flag,A drawing of the autosexual flag outlined in black. The flags top half is light grey blue and the bottom is grey
aroace rayin.png,Rayin,aroace,The aroace flag in a rust-coloured border
Asexual .png,kodabearsaac,asexual,a person with the colors of the asexual flag for their skin
bear.png,Tonto,bear,the bear flag
asexual.png,Tonto,asexual,the asexual flag
binder 2.png,M,binder,a brown binder viewed from a 3/4 angle
bigender.png,Tonto,bigender,the bigender flag
Bear kodabearsaac.png,kodabearsaac,Bear,a person with the colors of the bear flag for their skin and the bear paw on their tummy
Bottom_surgery_1b.png,Petri,bottom surgery,A drawing of a pair of boxers across from a pair of panties. An arrow points from the boxers to the panties and another arrow points from the panties to the boxers.
binder 3.png,M,binder,a binder coloured with the trans flag and viewed from a 3/4 angle
binder 1.png,M,binder,a white binder viewed from a 3/4 angle
boygirl flag meabh.png,Méabh,boygirl flag,"A drawing of a yellow person with blue eyes smiling and holding up a flag with purple, blue, white and pink stripes."
boygirl gillipop 2.png,Plum & Gillipop,boygirl,"a drawing of a cartoony generic yellow human happily standing with their arms outstretched and holding up two small handheld flags, one in each hand. The lines are a very dark purple, except for the white stitches on the clothes. The person is wearing a 7 stripe pink, blue and purple boygirl flag sweater with a heart stitched onto the front, and purple leggings with heart-shaped patches on the knees. Their feet appear to be like paws, their head is very round - almost a circle - and bald, and they only have four fingers. Their eyes are squinted shut, and their eyebrows are raised high in an excited expression. They have no visible mouth and a nose is only loosely implied. the left flag and hearts are the male flag, while the right are the female flag."
bisexual.png,Tonto,bisexual,the bisexual flag
butch.png,Tonto,butch,the butch flag
cistrans.png,Ottertime,cistrans,"the cistrans flag. it has 7 horizontal stripes. the middle white stipe is the widest. the three stripes on top are purple, magenta, and pink. the three bottom stripes are cyan, blue, and indigo."
Bottom_surgery_1a.png,Petri,bottom surgery,A drawing of a pink pair of boxers across from a light blue pair of panties. A pink arrow points from the boxers to the panties and a blue arrow points from the panties to the boxers.
butch4butch ottertime 1.png,Ottertime,butch4butch,"a cat and a wolf holding hands. Their fur is the colors of the butch flag, which are dark orange, medium orange, light orange, white, light yellow, medium yellow, and dark yellow. There is a pink heart between the two."
diamoric legless rat.png,Legless Rat,diamoric,the diamoric flag froim to top bottom light green white light green with a maroon flower in the middle
boygirl gillipop 1.png,Plum & Gillipop,boygirl,"a drawing of a cartoony generic yellow human happily standing with their arms outstretched and holding up two small handheld flags, one in each hand. The lines are a very dark purple, except for the white stitches on the clothes. The person is wearing a 5 stripe pink and blue male-female flag sweater with a heart stitched onto the front, and purple leggings with heart-shaped patches on the knees. Their feet appear to be like paws, their head is very round - almost a circle - and bald, and they only have four fingers. Their eyes are squinted shut, and their eyebrows are raised high in an excited expression. They have no visible mouth and a nose is only loosely implied. the left flag and hearts are the male flag, while the right are the female flag.."
butch4butch ottertime 2.png,Ottertime,butch4butch,"a cat and wolf holding hands. Their fur is the colors of the spade butch flag, which is orange, pale yellow, white, pinkish purple, and purple. There is a pink heart between the two"
demiromantic love.png,Rayin,demiromantic love,A heart with the colours of the demiromantic pride flag with a slightly darkened outline
cat with gender fluid flag smolmoss.png,Smolmoss,cat with gender fluid flag,"a cream and light auburn cat, a gender fluid flag on a stick tucked behind its front paw."
coffeebean transmasc ottertime.png,Ottertime,coffeebean transmasc,"the coffeebean transmasc flag, which is dark brown, pastel blue, light blue, navy blue, light blue, pastel blue, and brown. It's surrounded by a darker brown border"
enby crows.png,Crows,enby,"A cartoon style drawing of a bee that’s the non-binary flag colours — yellow, white, purple, and black."
cat with lesbian flag smolmoss.png,Smolmoss,cat with lesbian flag,"a cream and light auburn cat, a lesbian flag on a stick tucked behind its front paw."
