Image URL,Credit,Caption,Alt text
law m.png,M,law,a gavel resting on its sound block.
politics koda 1.png,Koda,politics,"a grey building to represent the government. the roof is pointed, there’s 3 pillar and then a rectangle at the bottom. the left pillar is blue to represent the blue / democratic party, the middle pillar is green to represent third parties, and the right pillar is red to represent the red / republican party"
politics koda 2.png,Koda,politics,"a grey building to represent the government. the roof is pointed, there’s 3 pillar and then a rectangle at the bottom."
allegation.png,M,allegation,"white quotation marks with desaturated orange circles behind them around a thick, uneven red line with a black outline. around it all, behind the quotation marks, is a dark blue outline"
allege.png,M,allege,"white quotation marks with green circles behind them around a thick, uneven red line with a black outline"
allegedly.png,M,allegedly,"white quotation marks with desaturated orange circles behind them around a thick, uneven red line with a black outline."
bar certified.png,M,bar certified,a briefcase and a pair of scales above a red bar.
bar exam.png,M,bar exam,many sheets of lined paper below a red bar. above the bar is a shining briefcase.
anarchy melody.png,Melody,anarchy,a red anarchy symbol.
call your representatives fg.png,froggygolem,call your representatives,a gray phone with a green call symbol on it next to a green arrow pointing to a diagram of a blue person with a voting box next to them that has a bracket beneath above five other blue people.
child custody asher.png,Asher,child custody,"a small kid with brown hair in pigtails with a light blue airplane shirt standing next to a taller, faceless adult in a red flannel and olive pants who has their hand on the kid's shoulder"
census 1.png,Nubs,census,"Orange paper with a curled over top and curled up bottom that reads 'Census' in black at top. Brown squiggles are below,on the body of the paper, to represent writing."
census 2.png,Nubs,census,Orange paper with a curled over top and curled up bottom that reads 'Census' in black at top
communism koda.png,Koda,communism,a yellow silhouette of a hammer and sickle crossed ontop of each other and outlined in darker yellow
civil law.png,M,civil law,"a large book with a dark blue cover, and a blue arrow from it to a gavel."
closed single child custody asher.png,Asher,closed / single child custody,"a small kid with brown hair in pigtails with a light blue airplane shirt standing next to a taller, faceless adult in a red flannel and olive pants who has their hand on the kid's shoulder. a golden, closed lock is in the backgroundf="
communist koda.png,Koda,communist,a red person with darker red outline & facial features with a yellow hammer & sickle outlined in darker yellow on their tummy
depose m.png,M,depose,a red motion line showing a crown being knocked off a dark blue column
common law.png,M,common law,"a large book with a dark blue cover; beside it is a clock with a green anticlockwise arrow that has a gavel with it, representing precedent. from both the book and the clock and gavel is a red arrow pointing down to a larger gavel."
communist party koda.png,Koda,communist party,"3 red balloons with the communism symbol on each of them in yellow, there’s yellow, blue, and green confetti around the balloons"
fascism koda.png,Koda,fascism,a brown rectangle that’s bound / wrapped in red zigzags with a smaller tan rectangle at the bottom and a grey blade at the top coming off the right
fascism.png,M,fascism,"A fasces, an ancient Italian symbol of power, surrounded with a thick, coarse black outline"
cui bono.png,M,cui bono (who benefits?),a grey figure with a magnifying glass over them. to the right are three gold coins
fascist koda.png,Koda,fascist,"a dark red / maroon person with a darker outline & facial features, on their tummy is the fascism symbol - a brown rectangle that’s bound / wrapped in red zigzags with a smaller tan rectangle at the bottom and a grey blade at the top coming off the right"
king.png,Ani,king,A very simple drawing of a person wearing a crown. They are red-brown and have a gold K on their chest.
government minister.png,M,government minister,"a figure standing at a wooden lectern with a silver seal on it. from a silver chevron resting on top of the lectern, like an open book, a grey circle surrounds the figure's head."
greens party aust.png,M,greens party (Australia),a green triangle with a white outline
labor party aust.png,M,labor party (Australia),a red rectangle with a smaller blue rectangle to its right
horseshoe theory aok.png,aok-aac,horseshoe theory,"a gray horseshoe outlined in white and then black. inside are colors ranging from red to green and then back to red, around the horseshoe. there are arrows to show movement from the middle towards the ends"
heir throne.png,Ani,heir to the throne,Three people all wearing crowns. Two of the people are placed above the third. There are two arrows pointing from the top two people towards the one on the bottom. All the people are colored various shades of purple
political discourse.png,CC,political discourse,Three yellow speech bubbles in a larger off-white cloud bubble. The first bubble has a blue square and an orange exclamation mark. The second bubble has a red circle and two orange exclamation marks. The third bubble has a green triangle and a purple question mark.
illegal m.png,M,illegal,"a gavel resting on its sound block, with a red diagonal line struck over them."
legal m.png,M,legal,"a gavel resting on its sound block, with a green checkmark or tick over it."
presumption of innocence m.png,M,presumption of innocence,"A yellow figure, a hand on their chest, with a green circle behind them and a white shield in front of and below them. a purple arrow goes from the green circle to the right."
king of england.png,Ani,King of England,A drawing of England with a simply drawn person next to it. The person is red-brown with a gold crown on their head. They also have a gold K on their chest. England is colored bright blue
legal advice.png,M,legal advice,"a pair of bronze scales on top of a book, with a speech bubble above them."
pretender m.png,M,pretender,a yellow figure pointing to themself and speaking a light purple speech bubble that depicts the same figure with a golden crown on their head.
liberal vixen.png,Vixen,liberal,"A blue cartoon donkey with red eyes, they have a light grey speech bubble with a blue arrow pointing left."
monarchs.png,Ani,monarchs,drawing of two very simple people wearing crowns on their heads. One person is red-brown and one is purple
prime minister.png,M,prime minister,"a figure standing at a wooden lectern with a silver seal on it. from a silver chevron resting on top of the lectern, like an open book, a grey circle surrounds the figure's head. behind them at head height is a green line, with green arrows pointing up to it."
libnat aust.png,M,liberal national party (Australia),a blue squiggle with a yellow and blue swish and star behind it.
not legal advice.png,M,not legal advice,"a pair of bronze scales on top of a book, with a speech bubble above them. the speech bubble is crossed out in red"
prince of wales.png,Ani,prince of wales,A drawing of Wales with a very simple orange person next to it. They have a crown on their head and a gold P on their chest. Wales is colored in bright red.
minister for women.png,M,Minister for Women,"a figure standing at a wooden lectern with a pink seal with a purple venus symbol on it. from a silver chevron resting on top of the lectern, like an open book, a magenta circle surrounds the figure's head."
open shared child custody asher.png,Asher,open / shared child custody,"a small kid with brown hair in pigtails with a light blue airplane shirt standing next to a taller, faceless adult in a red flannel and olive pants who has their hand on the kid's shoulder. a golden, open lock is in the backgroundf="
punch fascists koda.png,Koda,punch fascists,"a person with maroon skin, the fasces symbol is on their tummy, and there’s a a fist near their face with 3 yellow triangles"
ndis m.png,M,NDIS,"the NDIS logo, drawn with black outlines."
political call script fg.png,froggygolem,political call script,a gray phone with a green call symbol on it next to a green arrow pointing to a diagram of a blue person with a voting box next to them that has a bracket beneath above five other blue people. top right has a white speech bubble with fake cursive in it.
representative rg.png,froggygolem,representative,a diagram that shows one person with a bracket beneath them that has five more blue people under it. next to the person on top is a brown box with a white rectangle partially put into it representing a voting box.
power of attorney chrome.png,cytochrome-sea,power of attorney,a fox dressed up as a lawyer emanates lightning bolts.
princess.png,Ani,princess,A drawing of a very simple purple person They have a crown on their head and a gold P on their chest
split the vote m.png,M,split the vote,"two ballot boxes, a dramatic cream line splitting between them. in each ballot box a yellow hand places one half of a piece of paper that has been ripped in half."
prince.png,Ani,prince,A drawing of a very simple orange person They have a crown on their head and a gold P on their chest
queen.png,Ani,queen,A very simple drawing of a person wearing a crown. They are purple and have a gold Q on their chest.
