Image URL,Credit,Caption,Alt text
aurek.png,M,aurek,The aurebesh letter 'aurek' in very dark blue.
besh.png,M,besh,The aurebesh letter 'besh' in very dark blue.
cherek.png,M,cherek,The aurebesh letter 'cherek' in very dark blue.
cresh.png,M,cresh,The aurebesh letter 'cresh' in very dark blue.
dorn.png,M,dorn,The aurebesh letter 'dorn' in very dark blue.
enth.png,M,enth,The aurebesh letter 'enth' in very dark blue.
esk.png,M,esk,The aurebesh letter 'esk' in very dark blue.
forn.png,M,forn,The aurebesh letter 'forn' in very dark blue.
grek.png,M,grek,The aurebesh letter 'grek' in very dark blue.
herf.png,M,herf,The aurebesh letter 'herf' in very dark blue.
isk.png,M,isk,The aurebesh letter 'isk' in very dark blue.
jenth.png,M,jenth,The aurebesh letter 'jenth' in very dark blue.
krenth.png,M,krenth,The aurebesh letter 'krenth' in very dark blue.
krill.png,M,krill,The aurebesh letter 'krill' in very dark blue.
leth.png,M,leth,The aurebesh letter 'leth' in very dark blue.
mern.png,M,mern,The aurebesh letter 'mern' in very dark blue.
nen.png,M,nen,The aurebesh letter 'nen' in very dark blue.
nern.png,M,nern,The aurebesh letter 'nern' in very dark blue.
onith.png,M,onith,The aurebesh letter 'onith' in very dark blue.
orenth.png,M,orenth,The aurebesh letter 'orenth' in very dark blue.
osk.png,M,osk,The aurebesh letter 'osk' in very dark blue.
peth.png,M,peth,The aurebesh letter 'peth' in very dark blue.
qek.png,M,qek,The aurebesh letter 'qek' in very dark blue.
resh.png,M,resh,The aurebesh letter 'resh' in very dark blue.
senth.png,M,senth,The aurebesh letter 'senth' in very dark blue.
shen.png,M,shen,The aurebesh letter 'shen' in very dark blue.
thesh.png,M,thesh,The aurebesh letter 'thesh' in very dark blue.
trill letter.png,M,trill,The aurebesh letter 'trill' in very dark blue.
usk.png,M,usk,The aurebesh letter 'usk' in very dark blue.
vev.png,M,vev,The aurebesh letter 'vev' in very dark blue.
wesk.png,M,wesk,The aurebesh letter 'wesk' in very dark blue.
xesh.png,M,xesh,The aurebesh letter 'xesh' in very dark blue.
yirt.png,M,yirt,The aurebesh letter 'yirt' in very dark blue.
zerek.png,M,zerek,The aurebesh letter 'zerek' in very dark blue.
