Image URL,Credit,Caption,Alt text
ender a.png,Esrah,Enderman glyph A,a glyph for the letter A in two toned magenta. It is a triangle with a line drawn through it vertically.
ender b.png,Esrah,Enderman glyph B,"a glyph for the letter B in two toned magenta. It is an upside-down T shape, with smaller horizontal lines below it."
ender c.png,Esrah,Enderman glyph C,a glyph for the letter C in two toned magenta. It is two circles connected by an arc that opens downwards.
ender d.png,Esrah,Enderman glyph D,a glyph for the letter D in two toned magenta. It is a rectangle with a line drawn through it vertically.
ender e.png,Esrah,Enderman glyph E,a U shape with a vertical line coming from the base.
ender f.png,Esrah,Enderman glyph F,a glyph for the letter F in two toned magenta. It is a circle with a line pointing towards the upper right.
ender g.png,Esrah,Enderman glyph G,a glyph for the letter G in two toned magenta. It is a blocky C shape with a line underneath it.
ender h.png,Esrah,Enderman glyph H,"a glyph for the letter H in two toned magenta. It is a a vertical line with a horizontal one connected to the bottom, and a circle connected to the top."
ender i.png,Esrah,Enderman glyph I,"a glyph for the letter I in two toned magenta. It is two intersecting lines, similar to a T shape."
ender j.png,Esrah,Enderman glyph J,a glyph for the letter J in two toned magenta. It is two circles connected by a diagonal line.
ender k.png,Esrah,Enderman glyph K,"a glyph for the letter K in two toned magenta. It is two arrows pointing up and to the right diagonally, connected at the base by a line."
ender l.png,Esrah,Enderman glyph L,a glyph for the letter L in two toned magenta. It is an arch with a vertical line drawn through it
ender m.png,Esrah,Enderman glyph M,a glyph for the letter M in two toned magenta. It is a slightly curved mountain shape.
ender n.png,Esrah,Enderman glyph N,a glyph for the letter N in two toned magenta.  It is a circle with a line beneath it.
ender o.png,Esrah,Enderman glyph O,a glyph for the letter O in two toned magenta.  It is a horizontal line with a diagonal line going through it.
ender p.png,Esrah,Enderman glyph P,"a horizontal line with a diagonal one passing through it, from the bottom left to the upper right."
ender q.png,Esrah,Enderman glyph Q,"a glyph for the letter Q in two toned magenta. It is a rotated D shape with the flat side down, with two legs below it."
ender r.png,Esrah,Enderman glyph R,"a glyph for the letter R in two toned magenta.  It is a horizontal line with a diagonal line going through it, top left to bottom right."
ender s.png,Esrah,Enderman glyph S,a glyph for the letter S in two toned magenta. It is a vertical zigzag shape.
ender t.png,Esrah,Enderman glyph T,a glyph for the letter T in two toned magenta. It is a capital T shape with a circle drawn through it.
ender y.png,Esrah,Enderman glyph Y,a glyph for the letter Y in two toned magenta. It is a sideways T shape with a diagonal line crossing through it
ender z.png,Esrah,Enderman glyph Z,a glyph for the letter Z in two toned magenta.  It is an X shape with the two lines connected on the left side.
ender x.png,Esrah,Enderman glyph X,"a glyph for the letter X in two toned magenta.  It is a circle with a cross through it, similar to a scope."
