Image URL,Credit,Caption,Alt text
algiz 1.png,Nubs,ᛉ / algiz,"The Elder Furthark rune ᛉ or algiz, in green with a lime green outline"
algiz 2.png,Nubs,ᛉ / algiz,"The Elder Furthark rune ᛉ or algiz, in green"
ansuz 1.png,Nubs,ᚨ / ansuz,"The Elder Furthark rune ᚨ or ansuz, in green with a lime green outline"
ansuz 2.png,Nubs,ᚨ / ansuz,"The Elder Furthark rune ᚨ or ansuz, in green"
berkana 1.png,Nubs,ᛒ / berkanan,"The Elder Furthark rune ᛒ or berkanan, in green with a lime green outline"
berkana 2.png,Nubs,ᛒ / berkanan,"The Elder Furthark rune ᛒ or berkanan, in green"
dagaz 1.png,Nubs,ᛞ / dagaz,"The Elder Furthark rune ᛞ or dagaz, in green with a lime green outline"
dagaz 2.png,Nubs,ᛞ / dagaz,"The Elder Furthark rune ᛞ or dagaz, in green"
ehwaz 1.png,Nubs,ᛖ / ehwaz,"The Elder Furthark rune ᛖ or ehwaz, in green with a lime green outline"
ehwaz 2.png,Nubs,ᛖ / ehwaz,"The Elder Furthark rune ᛖ or ehwaz, in green"
eihwaz 1.png,Nubs,ᛇ / eihwaz,"The Elder Furthark rune ᛇ or eihwaz, in green with a lime green outline"
eihwaz 2.png,Nubs,ᛇ / eihwaz,"The Elder Furthark rune ᛇ or eihwaz, in green"
fehu 1.png,Nubs,ᚠ / fehu,"The Elder Furthark rune ᚠ or fehu, in green with a lime green outline"
fehu 2.png,Nubs,ᚠ / fehu,"The Elder Furthark rune ᚠ or fehu, in green"
gebo 1.png,Nubs,ᚷ / gebô / gẏfu,"The Elder Furthark rune ᚷ or gebô or gẏfu, in green with a lime green outline"
gebo 2.png,Nubs,ᚷ / gebô / gẏfu,"The Elder Furthark rune ᚷ or gebô or gẏfu, in green"
hagalaz 1.png,Nubs,ᚺ / ᚻ / hagalaz,"The Elder Furthark rune ᚺ or hagalaz, in green with a lime green outline"
hagalaz 2.png,Nubs,ᚺ / ᚻ / hagalaz,"The Elder Furthark rune ᚺ or hagalaz, in green"
inguz 1.png,Nubs,ᛜ / ingwaz,"The Elder Furthark rune ᛜ or ingwaz, in green with a lime green outline"
inguz 2.png,Nubs,ᛜ / ingwaz,"The Elder Furthark rune ᛜ or ingwaz, in green"
isa 1.png,Nubs,ᛁ / isaz,"The Elder Furthark rune ᛁ or isaz, in green with a lime green outline"
isa 2.png,Nubs,ᛁ / isaz,"The Elder Furthark rune ᛁ or isaz, in green"
jera 1.png,Nubs,ᛃ / jera,"The Elder Furthark rune ᛃ or jera, in green with a lime green outline"
jera 2.png,Nubs,ᛃ / jera,"The Elder Furthark rune ᛃ or jera, in green"
kennaz 1.png,Nubs,ᚲ / kaunan / kenaz,"The Elder Furthark rune ᚲ or kaunan or kenaz, in gree nwith a lime green outline"
kennaz 2.png,Nubs,ᚲ / kaunan / kenaz,"The Elder Furthark rune ᚲ or kaunan or kenaz, in green"
laguz 1.png,Nubs,ᛚ / laguz,"The Elder Furthark rune ᛚ or laguz, in green with a lime green outline"
laguz 2.png,Nubs,ᛚ / laguz,"The Elder Furthark rune ᛚ or laguz, in green"
mannaz 1.png,Nubs,ᛗ / mannaz,"The Elder Furthark rune ᛗ or mannaz, in green with a lime green outline"
mannaz 2.png,Nubs,ᛗ / mannaz,"The Elder Furthark rune ᛗ or mannaz, in green"
nauthiz 1.png,Nubs,ᚾ / naudiz,"The Elder Furthark rune ᚾ or naudiz, in green with a lime green outline"
nauthiz 2.png,Nubs,ᚾ / naudiz,"The Elder Furthark rune ᚾ or naudiz, in green"
olthala 1.png,Nubs,ᛟ / olthala / ēðel,"The Elder Furthark rune ᛟ or olthala or ēðel, in green with a lime green outline"
olthala 2.png,Nubs,ᛟ / olthala / ēðel,"The Elder Furthark rune ᛟ or olthala or ēðel, in green"
perthro 1.png,Nubs,ᛈ / peorð / perthro,"The Elder Furthark rune ᛈ or peorð or perthro, in green with a lime green outline"
perthro 2.png,Nubs,ᛈ / peorð / perthro,"The Elder Furthark rune ᛈ or peorð or perthro, in green"
raidho 1.png,Nubs,ᚱ / raidō / raido,"The Elder Furthark rune ᚱ or raidō or raido, in green with a lime green outline"
raidho 2.png,Nubs,ᚱ / raidō / raido,"The Elder Furthark rune ᚱ or raidō or raido, in green"
sowilo 1.png,Nubs,ᛊ / sowilo,"The Elder Furthark rune ᛊ or sowilo, in green with a lime green outline"
sowilo 2.png,Nubs,ᛊ / sowilo,"The Elder Furthark rune ᛊ or sowilo, in green"
thurisaz 1.png,Nubs,ᚦ / thurisaz,"The Elder Furthark rune ᚦ or thurisaz, in green with a lime green outline"
thurisaz 2.png,Nubs,ᚦ / thurisaz,"The Elder Furthark rune ᚦ or thurisaz, in green"
tiwaz 1.png,Nubs,ᛏ / tiwaz,"The Elder Furthark rune ᛏ or tiwaz, in green with a lime green outline"
tiwaz 2.png,Nubs,ᛏ / tiwaz,"The Elder Furthark rune ᛏ or tiwaz, in green"
uruz 1.png,Nubs,ᚢ / uruz,"The Elder Furthark rune ᚢ or uruz, in green with a lime green outline"
uruz 2.png,Nubs,ᚢ / uruz,"The Elder Furthark rune ᚢ or uruz, in green"
wunjo 1.png,Nubs,ᚹ / wunjo,"The Elder Furthark rune ᚹ or wunjo, in green with a lime green outline"
wunjo 2.png,Nubs,ᚹ / wunjo,"The Elder Furthark rune ᚹ or wunjo, in green"
