Image URL,Credit,Caption,Alt text
alpha.png,M,alpha,"The ancient Greek letter 'alpha' in both upper and lower case, coloured yellow."
beta.png,M,beta,"The ancient Greek letter 'beta' in both upper and lower case, coloured light blue."
gamma.png,M,gamma,"The ancient Greek letter 'gamma' in both upper and lower case, coloured red."
delta.png,M,delta,"The ancient Greek letter 'delta' in both upper and lower case, coloured green."
epsilon.png,M,epsilon,"The ancient Greek letter 'epsilon' in both upper and lower case, coloured yellow."
zeta.png,M,zeta,"The ancient Greek letter 'zeta' in both upper and lower case, coloured orange."
eta.png,M,eta,"The ancient Greek letter 'eta' in both upper and lower case, coloured lime green."
theta.png,M,theta,"The ancient Greek letter 'theta' in both upper and lower case, coloured bright green."
iota.png,M,iota,"The ancient Greek letter 'iota' in both upper and lower case, coloured blue."
kappa m.png,M,kappa,"The ancient Greek letter 'kappa' in both upper and lower case, coloured pink."
