Image URL,Credit,Caption,Alt text
a red 1.png,TakaraMoon,A,"Font: Times New Roman
Colour: Red
Colour Code: 255, 0, 0"
b gothic black.png,M,B,A black capital 'B' in a Gothic font
d_uc gothic black.png,M,D,A black capital 'D' in a Gothic font
a_uc gothic black.png,M,A,A black capital 'A' in a Gothic font
c_uc gothic black.png,M,C,A black capital 'C' in a Gothic font
g gothic black.png,M,G,A black capital 'G' in a Gothic font
G yellow tnr.png,TakaraMoon,G,"Font: Times New Roman
Colour: yellow
RGB colour code 255, 215, 0"
G black tnr.png,TakaraMoon,G,"Font: Times New Roman
Colour: black
RGB colour code 0, 0, 0"
j rae.png,Rae,J,A handdrawn bright orange capital letter J
k rae.png,Rae,K,hand-drawn lemon yellow capital K
h_uc gothic black.png,M,H,A black capital 'H' in a Gothic font
o rae.png,Rae,O,A handdrawn light orange capital letter O
m rae.png,Rae,M,hand-drawn mustard yellow capital M
l rae.png,Rae,L,hand-drawn lemon yellow capital L
p rae.png,Rae,P,A handdrawn light pink capital letter P
capital s green.png,TakaraMoon,S,"Font: Times New Roman
Colour: green
RGB colour code 0, 128, 0"
n rae.png,Rae,N,hand-drawn very dark blue capital N
t_uc gothic black.png,M,T,A black capital 'T' in a Gothic font
s_uc gothic black.png,M,S,A black capital 'S' in a Gothic font
black s tnr.png,TakaraMoon,S,A black capital 'S' in Times New Roman
v rae.png,Rae,V,A handdrawn dark blue capital letter V
q_uc gothic black.png,M,Q,A black capital 'Q' in a Gothic font
x_uc gothic black.png,M,X,A black capital 'X' in a Gothic font
z black 1.png,TakaraMoon,Z,"Font: Times New Roman
Colour: Black
Colour Code: 0, 0, 0"
z rae.png,Rae,Z,A handdrawn white capital letter Z with a black outline
