Image URL,Credit,Caption,Alt text
ac apple.png,Vixen,Animal Crossing apple,"a big red apple with yellow highlights and a brown stem, stylized from the game animal crossing"
ac cherries.png,Vixen,Animal Crossing cherries,"two plump round red cherries on a green stem, stylized from the game animal crossing"
ac fossil.png,Vixen,Animal Crossing fossil,"a deep blue purple rock with a white spiral on the center with two little stars on the bottom right, stylized from animal crossing"
ac coconut.png,Vixen,Animal Crossing coconut,"a green yellowish coconut with a brown tip, styled from animal crossing"
ac peach.png,Vixen,Animal Crossing peach,"a juicy peach with pink tones and a yellow bottom, stylized from the game animal crossing"
ac pear.png,Vixen,Animal Crossing pear,"a big green pear with yellow green tones and a brown stem, stylized from the game animal crossing"
ac orange.png,Vixen,Animal Crossing orange,"an oblong orange that is speckled, with green leaves and a green stem, stylized from the game animal crossing"
aries fragment rc.png,Bear,Aries fragment,a silver 3d-looking star fragment from animal crossing. it comes to 9 visible points
cancer fragment rc.png,Bear,Cancer fragment,a peach 3d-looking star fragment from animal crossing. it comes to 9 visible points
aquarius fragment rc.png,Bear,Aquarius fragment,a purple 3d-looking star fragment from animal crossing. it comes to 9 visible points
bell bag rc.png,Bear,bell bag,a tan colored pouch bag with a brown star and red ribbon
coconut tree rc.png,Bear,coconut tree,"a palm tree with yellow colored bark and two main green leaves, the wood is in a layered pattern"
capricorn fragment rc.png,Bear,Capricorn fragment,a red 3d-looking star fragment from animal crossing. it comes to 9 visible points
bell bag.png,Vixen,bell bag,"a rounded bag with a star on the front, it has a red ribbon tying it shut, styled from animal crossing."
critterpedia rc.png,Bear,critterpedia,a yellow butterfly and a blue fish
construction rc.png,Bear,construction,a rectangle of yellow and black striped caution tape going across two light grey poles
flowers rc.png,Bear,flowers,a pink tulip on a green stem
five bells.png,Vixen,five bells,"an assortment of five round, gold coins with stars on them, styled from animal crossing"
hardwood tree rc.png,Bear,hardwood tree,"a tree with three bright green round sections of leaves and a brown trunk, the leaves are showed in a zig-zag pattern"
gemini fragment rc.png,Bear,Gemini fragment,a blue 3d-looking star fragment from animal crossing. it comes to 9 visible points
fossil rc.png,Vixen,fossil,a purple colored rock with a off-white shell spiral in the middle and two star shapes next to it in the rock
libra fragment rc.png,Bear,Libra fragment,a cyan 3d-looking star fragment from animal crossing. it comes to 9 visible points
gyroid.png,Vixen,gyroid,"A Gyroid from animal crossing, it’s a small clay figure with round eyes and a round mouth, it’s a tan terracotta colour and has one arm facing up one arm facing down."
gyroid fragment.png,Vixen,gyroid fragment,"a gyroid fragment from animal crossing, it is a small, partially broken clay figure with round eyes and a round mouth, its tan in colour and has one arm on the right facing up."
one bell.png,Vixen,one bell,"a round, gold coin with a star on it, styled from animal crossing"
large star fragment rc.png,Bear,large star fragment,"an icy blue-white 3d-looking star fragment from animal crossing. it comes to 9 visible points, two of which are slightly longer"
leo fragment.png,Bear,Leo fragment,a green 3d-looking star fragment from animal crossing. it comes to 9 visible points
present ac rc.png,Bear,present,a white gift box with red ribbon and a bow
pisces fragment rc.png,Bear,Pisces fragment,a light blue 3d-looking star fragment from animal crossing. it comes to 9 visible points
nook's cranny rc.png,Bear,Nook's Cranny,"a simple off-white shop on a terracotta foundation with with a blue roof, two red doors, two blue windows with yellow awnings, a sign at the top of the roof with five pink dots and a red leaf symbol"
scorpius fragment rc.png,Bear,Scorpius fragment,a golden 3d-looking star fragment from animal crossing. it comes to 9 visible points
pine tree rc.png,Bear,pine tree,"a tree with a its dark green leaves going in a pointed direction and a red-brown trunk, the leaves have alternating shades of green"
reaction rc.png,Bear,reaction,"a grey cat head with a happy expression, various yellow and orange lines are around to show expression"
star fragment rc.png,Bear,star fragment,a yellow 3d-looking star fragment from animal crossing. it comes to 9 visible points
recipes rc.png,Bear,recipes,"two cards angled and overlayed. the bigger one has a pink background and a yellow and brown acorn, the smaller one has an orange background and a white and brown whisk"
sagittarius fragment rc.png,Bear,Sagittarius fragment,a teal 3d-looking star fragment from animal crossing. it comes to 9 visible points
ten bells.png,Vixen,ten bells,"an assortment of ten round, gold coins with stars on them, styled from animal crossing"
taurus fragment rc.png,Bear,Taurus fragment,an emerald 3d-looking star fragment from animal crossing. it comes to 9 visible points
virgo fragment rc.png,Bear,Virgo fragment,a violet 3d-looking star fragment from animal crossing. it comes to 9 visible points
villagers rc.png,Bear,villagers,a tan colored cat like face with a neutral expression
