Image URL,Credit,Caption,Alt text
deltarune ot.png,Ottertime,Deltarune,"black circle having a black wing like blob on each side above three black triangles, with the second triangle pointing down while the first and third triangles point up. The shapes all have white outlines."
dark world ot.png,Ottertime,Dark world,"a black background with a golden drawing of a virovirokun and a rudinn sitting around a dark fountain, a tall wavy column with stars and swirls inside"
berdly dark world ot.png,Ottertime,Berdly (Dark world),"a blue bird wearing futuristic armor and two tinted glasses, one orange and the other lime green. He is holding his hands together and has a smug grin on his face."
berdly light world ot.png,Ottertime,Berdly (Light world),a blue anthropomorphic bird with a yellow beak wearing a pair of rectangular glasses. He is wearing a green jacket with a smaller bird emblem and a black undershirt underneath the jacket. His left hand is pointing up and he has a smug expression on his face.
deltarune tomorrow ot.png,Ottertime,Deltarune tomorrow,a dark blue head and shoulders shape with a speech bubble above it that has a red crossed out circle in it sits beside a larger red crossed out circle
kris light world ot 2.png,Ottertime,Kris (Light world),"a yellow person with brown hair wearing a green shirt with a bright yellow stripe. Their face has a shadow over it and they have a blank expression. On top of their shirt is a bright red heart with curves around it, representing their soul."
kris dark world ot 1.png,Ottertime,Kris (Dark world),"A chest-up drawing of the character Kris from Deltarune as they appear in the dark worlds. Kris is an androgynous human with cyan skin and shaggy, chin-length navy blue hair with bangs that cover a large portion of their face, and a piece in the front with red “raccoon tail” stripes. Their face is downturned and partially obscured in shadow, with their only visible features being their nose and smiling mouth. They wear a suit of silver and periwinkle knight-esque armor and have a pink cape draped over their right shoulder."
kris dark world ot 2.png,Ottertime,Kris (Dark world),"A chest-up drawing of the character Kris from Deltarune as they appear in the dark worlds. Kris is an androgynous human with cyan skin and shaggy, chin-length navy blue hair with bangs that cover a large portion of their face, and a piece in the front with red “raccoon tail” stripes. Their face is downturned and partially obscured in shadow, with their only visible features being their nose and smiling mouth. They wear a suit of silver and periwinkle knight-esque armor and have a pink cape draped over their right shoulder. Over their chest is a red heart, representing their soul."
lancer ot.png,Ottertime,Lancer,a
light world ot.png,Ottertime,Light world,"a golden background which has black drawings of a human and a cat like creature outside, as seen by the sun and clouds"
kris light world ot 1.png,Ottertime,Kris (Light world),a yellow person with brown hair wearing a green shirt with a bright yellow stripe. Their face has a shadow over it and they have a blank expression.
queen deltarune plum.png,Plum,Queen (DELTARUNE),"A drawing of the head of the character Queen from Deltarune. She is a light blue, loosely humanoid android. The back of her head is elongated and has a segmented black underside. Her face consists of a blank black display shaped like conjoined eyes with eyelashes, and a white panel on the lower half of her face containing her nose and mouth. There are small red emphasis marks by her forehead for decoration"
noelle light world ot.png,Ottertime,Noelle (Light world),a brown anthropomorphic deer with her blond hair tied in pigtails. She as a red nose and a toothy smile and is wearing a red and green checkered vest over her blank sweater. She looks cheerful.
noelle dark world ot.png,Ottertime,Noelle (Dark world),a brown reindeer with blonde hair and antlers that look like wings. She is wearing a light blue robe with blue highlights on the sleeves and is waving nervously.
ralsei variant ot.png,Ottertime,Ralsei (variant),"a goat like creature wearing a green jacket with a black heart on it, a green hat, and pink scarf. He has green glasses and his fur is darker due to shadows. He has a surprised expression."
susie dark world ot.png,Ottertime,Susie (Dark world),"a pink dinosaur with magenta hair and golden eyes. She is wearing a purple shirt under a black jacket with purple  edges and gold highlights on the sleeves, as well as black arm bands with golden spikes. She has a calm expression."
ralsei ot.png,Ottertime,Ralsei,"a white anthropomorphic goat-like creature with light pink horns. He has a green shirt with long black sleeves and a black heart in the middle, a bright pink scarf, and is wearing green glasses."
susie light world ot.png,Ottertime,Susie (Light world),a magenta anthropomorphic Dinosaur with long brown-magenta hair. She wears a purple jacket over her white and blue shirt and has yellow eyes and teeth. She is looking to the side.
