Image URL,Credit,Caption,Alt text
Andorian.png,M,Andorian,"Two light blue antennae, with blond hair between them."
andorian rylan.png,Rylan,Andorian,An Andorian head with no facial features
bajoran 1.png,Rylan,Bajoran,A Bajoran head with no facial features and reddish brown hair
borg.png,Rylan,Borg,A Borg head with cybernetic implants but no facial features
Bajoran.png,Rylan,Bajoran,"a bajoran head with no facial features, wearing an earring"
Cardassian.png,Rylan,Cardassian,a cardassian head with no facial features
batleth.png,M,bat'leth,"A bat'leth, a klingon ritual weapon."
Deep Space Nine.png,M,Deep Space Nine,The space station Deep Space Nine from Star Trek.
Geordi La Forge.png,M,Geordi La Forge,"a drawing of the head of Geordi La Forge, a Black, blind man from Star Trek. He is wearing a VISOR."
fascinating m.png,M,fascinating,"The head and shoulders of Spock from Star Trek: The Original Series, with one eyebrow rising and three wiggly blue lines coming from his head."
kaathyra m.png,M,ka’athyra,"a ka’athyra, a Vulcan stringed instrument like a lute or lyre."
james t kirk m.png,M,James T. Kirk,"A drawing of the head and shoulders of James T. Kirk from Star Trek: The Original Series, portrayed by William Shatner."
Ferengi.png,Rylan,Ferengi,a ferengi head with no facial features
Kelpien.png,Esrah,Kelpien,"a humanoid alien with light skin, entirely turquoise eyes, and a face with high cheekbones, a large irregular nose, and various protrusions."
jean luc picard m.png,M,Jean-Luc Picard,"A drawing of the head and shoulders of Lean-Luc Picard from Star Trek: The Next Generation, portrayed by Patrick Stewart."
hikaru sulu m.png,M,Hikaru Sulu,A portrait of the face of Hiaru Sulu as portrayed by George Takei in Star Trek: The Original Series.
Klingon.png,Rylan,Klingon,a klingon head with no facial features
Human.png,Rylan,Human,a human head with no facial features
human 1.png,Rylan,Human,A Human head with no facial features and reddish brown hair
lirpa.png,M,lirpa,"A lirpa, a Vulcan ritual weapon."
Ocampan.png,Esrah,Ocampan,"a lightly shaded featureless person with layered, pointed ears. Behind them are transparent teal waves to represent telepathic abilities."
IDIC.png,M,IDIC (Infinite Diversity in Infinite Combinations),The Vulcan IDIC (Infinite Diversity in Infinite Combinations) from Star Trek.
Nyota Uhura.png,M,Nyota Uhura,a drawing of the head of Nyota Uhura from Star Trek: The Original Series. She is a Black woman with a headset and gold hoop earrings.
ozh'esta 3.png,M,ozh'esta / Vulcan kiss,"two hands, each belonging to a different person, with the tips of the two longest fingers of each hand pressing against each other in a Vulcan kiss. there is a golden glow around where the fingers touch. one hand is yellow, and the other is red."
Klingon Empire.png,M,Klingon Empire,The red and black logo of the Klingon Empire from Star Trek.
ozh'esta 2.png,M,ozh'esta / Vulcan kiss,"two hands, each belonging to a different person, with the tips of the two longest fingers of each hand pressing against each other in a Vulcan kiss. there is a golden glow around where the fingers touch. one hand is blue, and the other is yellow."
pavel chekov m.png,M,Pavel Chekov,"A drawing of the head and shoulders of Pavel Chekov from Star Trek: The Original Series, portrayed by Walter Koenig."
kolinahr m.png,M,kolinahr,A red and bronxe-colored kohlinahr pendant medallion.
phaser.png,M,phaser,a Star Trek: The Original Series style phaser.
Romulan.png,Rylan,Romulan,a romulan head with no facial features.
ozh'esta 1.png,M,ozh'esta / Vulcan kiss,"two hands, each belonging to a different person, with the tips of the two longest fingers of each hand pressing against each other in a Vulcan kiss. there is a golden glow around where the fingers touch. one hand is very light brown, and the other is dark brown."
saavik m.png,M,Saavik,a drawing of the head and shoulders of Saavik from Star Trek: the Wrath of Khan.
Romulan Star Empire.png,M,Romulan Star Empire / Romulan Republic,The logo of the Romulan Star Empire and or Romulan Republic from Star Trek.
Species 8472 Undine.png,Esrah,Species 8472 / Undine,"A Species 8472 / Undine head. They have a gray, helmet shaped head with a triangular face and a crest around the top and back of their head"
Spock.png,M,Spock,a drawing of the head of Spock from Star Trek: The Original Series. He has lavender eyeshadow and is raising an eyebrow.
starfleet operations m.png,M,Starfleet operations,The Star Trek Starfleet operations logo in red.
Starfleet 1.png,M,Starfleet,"The Star Trek Starfleet logo in silver, with a dark grey outline."
Starfleet 2.png,M,Starfleet,"The Star Trek Starfleet logo in silver, with a light grey outline."
taal m 2.png,M,ta'al,a yellow hand raised in the ta'al.
starfleet delta tng 1.png,M,Starfleet delta (TNG),"A Starfleet delta from Star Trek: The Next Generation, drawn with shading."
starfleet delta tng 2.png,M,Starfleet delta (TNG),"A Starfleet delta from Star Trek: The Next Generation, drawn without shading."
taal m 5.png,M,ta'al,a light green hand raised in the ta'al.
starfleet tactical m.png,M,Starfleet tactical,The Star Trek Starfleet tactical logo in dark yellow.
starfleet sciences m.png,M,Starfleet sciences,The Star Trek Starfleet sciences logo in blue.
taal m 6.png,M,ta'al,a dark brown hand raised in the ta'al.
taal m 3.png,M,ta'al,a pale hand raised in the ta'al.
taal m 1.png,M,ta'al,a light brown hand raised in the ta'al.
trill.png,Rylan,Trill,"A Trill head with light skin, brown short hair, and no facial features."
trill m.png,M,Trill spots,some brown spots.
taal m 4.png,M,ta'al,a brown hand raised in the ta'al.
Vorta.png,Esrah,Vorta,"a mostly featureless Vorta head. They have pale skin, dark swept back hair, purple eyes, and ears that extend down their jaw and up their temples."
Vulcan.png,Rylan,Vulcan,a Vulcan head with no features aside from black eyebrows and hair.
tribble m.png,M,tribble,a fluffy brown tribble.
