Image URL,Credit,Caption,Alt text
star wars 1.png,M,Star Wars,a golden aurebesh 'S' inside a golden aurebesh 'W'.
star wars 2.png,M,Star Wars,a golden aurebesh 'S' next to a golden aurebesh 'W'.
charas/anakin.png,M,Anakin Skywalker,The head of Anakin Skywalker as seen in Revenge of the Sith
species/Anzat.png,M,Anzat,The head of an Anzat from Star Wars.
species/Aqualish.png,M,Aqualish,The head of an Aqualish from Star Wars.
a new hope m 1.png,M,A New Hope,a black-and-white illustration of the Twin Suns of Tatooine.
charas/chirrut m.png,M,Chirrut Îmwe,a head and shouders portrait of Star Wars character Chirrut Îmwe.
charas/boba fett m.png,M,Boba Fett,Boba Fett's helmet.
a new hope m 2.png,M,A New Hope,a black-and-white illustration of the Twin Suns of Tatooine. they have a white outline
charas/darth vader.png,M,Darth Vader,Darth Vader's helmet
finn m.png,M,Finn,"a drawing of the face of Finn from the Star Wars sequels, looking to the camera with a serious expression. He is a Black man with short hair in coils."
charas/chewbacca.png,M,Chewbacca,The head of Chewbacca from Star Wars
dawn of the jedi m.png,M,Dawn of the Jedi,an emblem of the Dawn of the Jedi era of Star Wars. It's black and white and looks like a combination of a yin-yang symbol and a person holding a lightsaber.
high republic m.png,M,High Republic,the gold High Republic crest frrom Star Wars
escort.png,M,escort,"A little Anakin and Padme, Anakin escorting her for her safety and carrying her suitcases. They're smiling."
galactic empire m.png,M,Galactic Empire,the black and white cog logo of the Galactic Empire from Star Wars.
species/Jawa.png,M,Jawa,The head of a Jawa from Star Wars.
fulcrum m.png,M,Fulcrum,"the Fulcrum emblem from Star Wars, which is shaped like Ahsoka Tano's forehead markings. it's in white."
charas/Han.png,M,Han Solo,The head of Han Solo from Star Wars
species/Ortolan.png,M,Ortolan,The head of an Ortolan from Star Wars.
charas/grogu baby yoda m.png,M,Grogu / Baby Yoda,"thefullbody drawing of Grogu, someties called Baby Yoda."
charas/luke.png,M,Luke Skywalker,"The head and shoulders of Luke Skywalker from Star Wars, in his classic farmboy look"
charas/obi-wan.png,M,Obi-wan Kenobi,A head-and-neck portrait of Obi-wan Kenobi from the Star Wars film 'Revenge of the Sith'.
jedi lightsaber.png,M,Jedi lightsaber,"The silver, rounded hilt of an ignited blue lightsaber."
charas/padme.png,M,Padmé Amidala,"The head and shoulders of Padmé Amidala from Star Wars, wearing dark purple clothes with silver clasps and a silver headpiece"
rebel alliance m.png,M,Rebel Alliance,the red starbird logo of the Rebel Alliance from Star Wars.
charas/Lando.png,M,Lando Calrissian,The head and shoulders of Lando Calrissian from Star Wars (Empire Strikes Back).
revenge of the sith m 1.png,M,Revenge of the Sith,"a black and white drawing of the duel between Obi-wan and Anakin on Mustafar, with a white outline."
reminisce.png,M,reminisce,"Jocasta Nu, an elderly white woman from Star Wars, looking fondly at a big bronze bust of her former partner."
charas/Leia.png,M,Leia Organa,The head and shoulders of Leia Organa from Star Wars (Empire Strikes Back). She's wearing a white jumpsuit and her hair is in braids
rey m.png,M,Rey Skywalker,"a drawing of the face of Rey Skywalker from the Star Wars sequels, looking to the side with her eyes shut. She is a white woman with dark brown hair in three buns."
revenge of the sith m 2.png,M,Revenge of the Sith,a black and white drawing of the duel between Obi-wan and Anakin on Mustafar.
charas/luke skywalker kit.png,Kit,Luke Skywalker,"Luke Skywalker frowning while holding a blue lightsaber. He's a man with light skin, blue eyes, short blonde hair and a prosthetic hand."
species/Rodian.png,M,Rodian,The head of a Rodian from Star Wars.
rogue one m 2.png,M,Rogue One,a black and white illustration of Jyn Erso's kyber crystal and the Death Star plans from Rogue One.
padawan braid.png,M,Padawan braid,a brown Padawan braid with different colored beads
rogue one m 1.png,M,Rogue One,"a black and white illustration of Jyn Erso's kyber crystal and the Death Star plans from Rogue One, with a white outline."
species/Quarren.png,M,Quarren,The head of a Quarren from Star Wars.
poe m.png,M,Poe Dameron,"a drawing of the face of Poe Dameron from the Star Wars sequels, looking to the camera with a serious expression. He is a Latino man with short curly hair."
charas/rose tico m.png,M,Rose Tico,A head-and-neck portrait of Rose Tico from Star Wars.
species/selkath m.png,M,Selkath,The head of a Selkath from Star Wars.
species/Rakata.png,M,Rakata,The head of a Rakata from Star Wars.
species/selonian.png,M,Selonian,The head and shoulders of a Selonian with brown and cream fur wearing some silver jewelery.
smile.png,M,smile,"A green being with head-tentacles and brown spots, Kit Fisto from Star Wars, smiling widely"
return of the jedi m 1.png,M,Return of the Jedi,"a black and white drawing of the Second Death Star, with a white outline."
sith lightsaber.png,M,Sith lightsaber,"The dark grey, pointed hilt of an ignited red lightsaber."
solo m 2.png,M,Solo,a black and white illustration of han solo's lucky dice.
return of the jedi m 2.png,M,Return of the Jedi,a black and white drawing of the Second Death Star.
solo m 1.png,M,Solo,a black and white illustration of han solo's lucky dice with a white outline.
the phanton menace m 2.png,M,The Phantom Menace,a black-and-white illustration that on the left shows Queen Amidala's face and on the right shows Darth Maul's.
charas/Yoda 2.png,M,Yoda,"a portrait of Yoda from Star Wars, one of his arms out and leaning on his cane"
the phantom menace m 1.png,M,The Phantom Menace,a black-and-white illustration that on the left shows Queen Amidala's face and on the right shows Darth Maul's. it has a white outline.
charas/wedge antilles m.png,M,Wedge Antilles,"A torso portrait of Wedge Antilles from Star Wars Original Trilogy, holding a blaster."
species/Zeffo.png,M,Zeffo,The head and shoulders of a Zeffo from Star Wars
youngling.png,M,youngling,"A Togruta Jedi youngling, holding a training saber and with a big training hat on her head"
charas/Yoda 1.png,M,Yoda,The head and shoulders of Yoda from Star Wars
