Image URL,Credit,Caption,Alt text
the magnus archives m 1.png,M,The Magnus Archives,"one of the logos of the podcast The Magnus Archives. it shows a green cobweb shaped into a casette tape, with a black background."
the magnus archives m 2.png,M,The Magnus Archives,"one of the logos of the podcast The Magnus Archives. it shows a green drippy paint casette tape and skull, with a quill and cog in front of them. a scroll-like banner wraps around the quill and cog"
/Concepts/avatar petri 3.png,Petri,avatar,"A drawing of a wavy green blob above an emoji yellow bust of a person. The person has a green doodle of an eye on their head. Two green arrows, one on each side, point from the blob to the person."
/Concepts/avatar petri 1.png,Petri,avatar,"A drawing of a wavy green blob above an emoji yellow bust of a person. Two green arrows, one on each side, point from the blob to the person."
/Concepts/avatar petri 2.png,Petri,avatar,"drawing of a wavy green blob above an emoji yellow bust of a person. The person has a green diamond on their head. Two green arrows, one on each side, point from the blob to the person."
dark avatar bh.png,Blackholemojis,Dark avatar,"a figure from the waist up, raising their arms above their head and wiggling their fingers. They have a big smile on their face. they are standing in front of a blob-shaped black and purple portal, which has glowing eyes looking out of it, and black tentacles reaching out and around the avatar."
buried avatar bh.png,Blackholemojis,Buried avatar,"a figure from the waist up, raising their arms above their head and wiggling their fingers. They have a big smile on their face. they are popping out of a pile of dirt and stones."
corruption avatar bh.png,Blackholemojis,Corruption avatar,"a figure from the waist up, raising their arms above their head and wiggling their fingers. They have a big smile on their face. they are covered in large bugs, with mushrooms and light blue mold growing on them in patches. There are two flies flying around them."
eye avatar bh.png,Blackholemojis,Eye avatar,"a figure from the waist up, raising their arms above their head and wiggling their fingers. They have a big smile on their face. they are glowing green eyes and surrounding their chest, shoulders, and upper arms. They are floating, and non-realistic. There is one larger eye floating above their head"
closed buried coffin bh.png,Blackholemojis,closed Buried coffin,"a closed wooden coffin, wrapped in grey chains, with a padlock."
end avatar bh.png,Blackholemojis,End avatar,"a figure from the waist up, raising their arms above their head and wiggling their fingers. They have a big smile on their face. they are half skeleton, half living. There are red-black tendrils curling beside and around them, with one main tendril looping around their neck and circling in the air above their head."
