Image URL,Credit,Caption,Alt text
transformers m.png,M,Transformers,"Half of the red Autobot logo, and half of the purple Decepticon logo."
autobot m.png,M,Autobot,the red Autobot logo.
decepticon m.png,M,Decepticon,the purple Decepticon logo.
bumblebee g1 m.png,M,Bumblebee (G1),Head of 'classic' Bumblebee from Transformers.
megatron g1 m.png,M,Megatron,The head of Megatron as designed by Alex Milne.
optimus prime m.png,M,Optimus Prime,"The head of 'classic' Optimus Prime, with a light blue outline around it."
emperor starscream m.png,M,Emperor Starscream,Head of Emperor Starscream from IDW1 Transformers.
soundwave m.png,M,Soundwave,The head of 'classic' Soundwave.
windblade g1 m.png,M,Windblade,The head of 'classic' Windblade.
ravage m.png,M,Ravage,Head of Ravage from IDW1 Transformers.
