Image URL,Credit,Caption,Alt text
1984 koda.png,Koda,1984,"cover of book 1984 by george orwell. a spotlight shows a red eye, with the rest a black background. text says '1984,' 'george orwell,' 'thomas pynchon'"
ad pheonix.png,Pheonix,ad,"A white rectangle has blue scribbles inside it. Under the image are two more rectangles, these are short, the first is grey and long with 3 dots in it. The second is orange with a grey triangle in it"
ad pheonix 2.png,Pheonix,ad,"A black rectangle has blue scribbles inside it. Under the image are two more rectangles, these are short, the first is grey and long with 3 dots in it. The second is orange with a grey triangle in it. The image has white line art."
a court of thorns and roses series.png,Ani,a Court of Thorns and Roses series,A group of 5 books stacked horizontally with just the spines visible. The books are of various sizes and colors. On the bottom is a thin red book with the words A Court Of Thorns And Roses written on the spine. The second one up from the bottom is a thick dark teal book with the words A Court Of Mist And Fury written on the spine. The third one up from the bottom is a medium thickness pink book with the words written A Court Of Wings And Ruin on the spine. The fourth one up from the bottom is a very thin sky blue book with the words A Court Of Frost And Starlight on the spine. The final book on the top is a very very thick orange book with the words A Court Of Silver Flames on the spine.
anti censorship lovelikeadog.png,Loveelikeadog,anti censorship,"A piece of paper with lines of writing on it, mostly obscured by a big dark rectangle. There is a white circle with a red X in it."
biography petri.png,Petri,biography,a drawing of a brown book with a featureless light blue person on the cover
ao3 neon 1.png,Neon,Archive of Our Own,The logo of the fanfiction site archive of our own with a white border surrounding it.
antiship ot.png,Ottertime,antiship,a grey thought bubble having a sailboat with a yellow and light blue person inside and a heart on top of them. In front of the thought bubble is a red X
book koda.png,Koda,book,a blue / teal book opened with white pages and grey writing
book stellar.png,StellarSymbols,book,A closed book with a brown cover that has two small lines of squiggly text.
antific ot.png,Ottertime,anti fiction,a grey thought bubble having a purple book with a white unicorn having a mint mane surrounded by white clouds filled with stars inside. In front of the thought bubble is a red X
book launch m.png,M,book launch,an open book with a blue cover in front of a launching rocket.
book high contrast.png,M,book (high-contrast),"A high-cover drawing of a closed, dark green, hardcover book."
ao3 neon 2.png,Neon,Archive of Our Own,The logo of the fanfiction site archive of our own.
book series ani.png,Ani,book series,"A group of five books stacked upright with just the spines visible. From left to right there is a thin red on with a 1 on the bottom of the spine, a thick dark teal one with a 2 on the bottom of the spine, a medium thick pink book with a 3 on it, a very thick sky blue book with a 4 on it, and finally a very thick orange book with a 5 on it"
/Objects/book.png,M,book,"A closed, green, hardcover book."
/Objects/books.png,M,books,"A stack of three hardcover books, going from bigger at the bottom to smaller at the top."
breakup song.png,Rae,breakup song,"a radio with a speech bubble coming out of it. The speech bubble has music notes, a broken heart, and a crying emoji face."
book banning koda.png,Koda,book banning,a blue / teal book opened with white pages and grey writing. there’s a red no sign ontop of it
canon gillipop.png,Gillipop,canon,a speech bubble with a check mark coming from the front of an open pink book with a blue eastern dragon on the front
censor m.png,M,censor,"a white page with lots of lines representing text. over the first few rows is a lot of black covering parts of it up, coming from a thick pen with a red barrel."
canon vixen.png,Vixen,canon,"a blue book with a green checkmark symbol floating above it. The checkmark is enclosed in a gray circle, and a yellow arrow points from the checkmark towards the book."
commercial pheonix 1.png,Pheonix,commercial,blue square has white scribbles inside it. At the bottom of the square is a grey section with black horizontal scribbles. At the top left corner there is an orange progress with one quarter of it grey and a black scribble in the center. The image has black line art.
cinephile vincent.png,Vincent,cinephile,"a simple yellow person smiling with a small heart in their left. On their right is a Hollywood clapper board, old fashioned movie camera, popcorn bucket and a movie ticket."
censorship lovelikeadog.png,Loveelikeadog,censorship,"A piece of paper with lines of writing on it, mostly obscured by a big dark rectangle."
