Image URL,Credit,Caption,Alt text
mild allergy bh 1.png,blackholemojis,mild allergy,"a yellow circle with a large medical alert asterisk inside it, and an exclamation point in the middle."
serious allergy bh 1.png,blackholemojis,serious allergy,"a red circle with a large medical alert asterisk inside it, and an exclamation point in the middle."
almond allergy koda 2.png,Koda,almond allergy,a yellow explosive shape with an almond inside it
allergen chan.png,C,allergen,"A dotted green pollen shape and a spiky orange pollen shape, surrounded by five yellow pollen dots: two in the top right corner and three in the bottom left corner."
almond allergy koda 1.png,Koda,almond allergy,a yellow triangle with an almond inside it
apple allergy koda 2.png,Koda,apple allergy,a yellow explosive shape with an apple inside it
apple allergy koda 1.png,Koda,apple allergy,a yellow triangle with an apple inside it.
banana allergy koda 2.png,Koda,banana allergy,a yellow explosive shape with a banana inside it
corn allergy koda 1.png,Koda,corn allergy,a yellow triangle with a cob of corn inside it
banana allergy koda 1.png,Koda,banana allergy,a yellow triangle with a banana inside it
cherry allergy koda 2.png,Koda,cherry allergy,a yellow explosive shape with two cherries inside it
corn allergy koda 2.png,Koda,corn allergy,a yellow explosive shape with a cob of corn inside it
cherry allergy koda 1.png,Koda,cherry allergy,a yellow triangle with two cherries inside it
coffee allergy koda 1.png,Koda,coffee allergy,a yellow triangle with a coffee bean inside it
mild amoxicillin allergy bh.png,blackholemojis,mild amoxicillin allergy,"a yellow circle with a large medical alert asterisk inside it, and pictured in the centre is the label amoxicillin and the molecular symbol for it."
mild caffeine allergy bh.png,blackholemojis,mild caffeine allergy,"a yellow circle with a large medical alert asterisk inside it, and three coffee beans pictured in the center."
coffee allergy koda 2.png,Koda,coffee allergy,a yellow explosive shape with a coffee bean inside it
mild chemical perfume allergy bh.png,blackholemojis,mild chemical / perfume allergy,"a yellow circle with a large medical alert asterisk inside it, and a blue cleaning spray bottle and a purple perfume bottle pictured in the centre."
mild dye allergy bh.png,blackholemojis,mild dye allergy,"A yellow circle with a medical asterisk. Overlaid is a bottle of dye with a rainbow droplet on it, and a glass of water with blue dye dispersing into it."
mild aloe allergy bh.png,blackholemojis,mild aloe allergy,"a yellow circle with a large medical alert asterisk inside it, and aloe pictured in the center."
mild dairy lactose allergy bh.png,blackholemojis,mild dairy / lactose allergy,"a yellow circle with a large medical alert asterisk inside it, and a cow next to a glass of milk pictured in the center."
mild fur pet allergy bh.png,blackholemojis,mild fur / pet allergy,"a yellow circle with a large medical alert asterisk inside it, and a small pile of brown fur pictured in the center."
mild cat allergy bh.png,blackholemojis,mild cat allergy,"a yellow circle with a large medical alert asterisk inside it, and a cat pictured in the center."
mild grass allergy bh.png,blackholemojis,mild grass allergy,"a yellow circle with a large medical alert asterisk inside it, and grass pictured in the centre."
mild insect sting bite allergy bh.png,blackholemojis,mild insect sting / bite allergy,"a yellow circle with a large medical alert asterisk inside it, and a yellow flying insec pictured in the center."
mild egg allergy bh.png,blackholemojis,mild egg allergy,"a yellow circle with a large medical alert asterisk inside it, and two eggs, one smaller and brown, and a fried egg, pictured in the center."
mild mango allergy bh.png,blackholemojis,mild mango allergy,"a yellow circle with a large medical alert asterisk inside it, and a mango pictured in the centre."
mild kiwi allergy bh.png,blackholemojis,mild kiwi allergy,"a yellow circle with a large medical alert asterisk inside it, and half a kiwi fruit cut pictured in the center."
mild ginger allergy bh.png,blackholemojis,mild ginger allergy,"a yellow circle with a large medical alert asterisk inside it, and a ginger root pictured in the center."
mild oral kiwi allergy bh.png,blackholemojis,mild oral kiwi allergy,"a red circle with a large medical alert asterisk inside it, and a tongue touching a kiwi fruit pictured in the centre."
mild peanut allergy bh.png,blackholemojis,mild peanut allergy,"a yellow circle with a large medical alert asterisk inside it, and a peanut pictured in the center."
mild latex allergy bh.png,blackholemojis,mild latex allergy,"a yellow circle with a large medical alert asterisk inside it, and a blue medical glove, a banana, and two bandaids pictured in the center."
mild pollen allergy bh.png,blackholemojis,mild pollen allergy,"a red circle with a large medical alert asterisk inside it, and various types of yellow and green pollen pictured in the centre."
mild shellfish allergy bh.png,blackholemojis,mild shellfish allergy,"a yellow circle with a large medical alert asterisk inside it, and an oyster and a shrimp pictured in the center."
mild onion allergy bh.png,blackholemojis,mild onion allergy,A yellow circle with a medical asterisk. Overlaid on it is a picture of a white onion and an onion slice.
peach allergy koda 1.png,Koda,peach allergy,a yellow triangle with a peach inside it
mild stone fruit allergy bh.png,blackholemojis,mild stone fruit allergy,"a yellow circle with a large medical alert asterisk inside it, and a plum and a peach pictured in the centre."
mild medication allergy bh.png,blackholemojis,mild medication allergy,"a yellow circle with a large medical alert asterisk inside it, and a blue and white pill, and a white mortar and pestle, pictured in the center."
peach allergy koda 2.png,Koda,peach allergy,a yellow explosive shape with a peach inside it
mild wheat gluten allergy bh.png,blackholemojis,mild wheat / gluten allergy,"a yellow circle with a large medical alert asterisk inside it, and three heads of wheat pictured in the center."
mild sweat allergy bh.png,blackholemojis,mild sweat allergy,"a yellow circle with a large medical alert asterisk inside it, and a yellow person with three big sweat drops pictured in the center."
serious amoxicillin allergy bh.png,blackholemojis,serious amoxicillin allergy,"a red circle with a large medical alert asterisk inside it, and pictured in the centre is the label amoxicillin and the molecular symbol for it."
serious caffeine allergy bh.png,blackholemojis,serious caffeine allergy,"a red circle with a large medical alert asterisk inside it, and three coffee beans pictured in the center."
serious aloe allergy bh.png,blackholemojis,serious aloe allergy,"a red circle with a large medical alert asterisk inside it, and aloe pictured in the center."
serious dairy lactose allergy bh.png,blackholemojis,serious dairy / lactose allergy,"a red circle with a large medical alert asterisk inside it, and a cow next to a glass of milk pictured in the center."
serious dye allergy bh.png,blackholemojis,serious dye allergy,"A red circle with a medical asterisk. Overlaid is a bottle of dye with a rainbow droplet on it, and a glass of water with blue dye dispersing into it."
serious cat allergy bh.png,blackholemojis,serious cat allergy,"a red circle with a large medical alert asterisk inside it, and a cat pictured in the center."
serious egg allergy bh.png,blackholemojis,serious egg allergy,"a red circle with a large medical alert asterisk inside it, and two eggs, one smaller and brown, and a fried egg, pictured in the center."
serious fur pet allergy bh.png,blackholemojis,serious fur / pet allergy,"a red circle with a large medical alert asterisk inside it, and a small pile of brown fur pictured in the center."
serious chemical perfume allergy bh.png,blackholemojis,serious chemical / perfume allergy,"a red circle with a large medical alert asterisk inside it, and a blue cleaning spray bottle and a purple perfume bottle pictured in the centre."
serious grass allergy bh.png,blackholemojis,serious grass allergy,"a red circle with a large medical alert asterisk inside it, and grass pictured in the centre."
