Image URL,Credit,Caption,Alt text
money coins stellar.png,StellarSymbols,money / coins,two piles of gold coins
money crows.png,Crows,money,"2 credit cards, 2 bills, and 2 coins."
money pheonix 1.png,Pheonix,money,"A green bit of paper money sits above a stack of golden coins, scattered beside the stack are 3 more coins. The image has light line art."
100 dollar bill damsii.png,damsii,100 dollar bill,A simplified illustration of the Canadian 100 dollar bill.
5 dollar bill damsii.png,damsii,5 dollar bill,A simplified illustration of the Canadian 5 dollar bill.
10 dollar bill damsii.png,damsii,10 dollar bill,A simplified illustration of the Canadian 10 dollar bill.
20 dollar bill damsii.png,damsii,20 dollar bill,A simplified illustration of the Canadian 20 dollar bill.
50 dollar bill damsii.png,damsii,50 dollar bill,A simplified illustration of the Canadian 50 dollar bill.
money pheonix 2.png,Pheonix,money,"A green bit of paper money sits above a stack of golden coins, scattered beside the stack are 3 more coins. The image has dark line art."
afford pheonix 1.png,Pheonix,afford,An image with light line art shows a bill of green money with 2 yellow coins sitting at its bottom right corner. Overlapping with the top right corner is a green check mark.
dime koda 1.png,Koda,dime,a grey / silver circle with a darker outline and a 10 and a ¢ in the center
auction creature.png,creature,auction,"An emote of someone with pale blue skin in a suit on the left at a brown stand. On the right is a green, shiny ball on a purple cushion. Above is a yellow bubble with a brown dollar sign with a arrow pointing at it"
afford pheonix 2.png,Pheonix,afford,An image with dark line art shows a bill of green money with 2 yellow coins sitting at its bottom right corner. Overlapping with the top right corner is a green check mark.
dime koda 2.png,Koda,dime,a grey / silver circle with a darker outline and a silhouette of a person looking to the left. the silhouette is cut off at the neck
big expensive purchase rae.png,Rae,big / expensive purchase,"three dark green dollar signs above a house, a diamond ring, and a pearl necklace."
bad price.png,Ani,bad price,A drawing of three dollar signs in a row There is a red X above them and one below them
good price.png,Ani,good price,A drawing of three dollar signs in a row There is a green check mark above them and one below them
bounced check wolf.png,Wolf,bounced check,"A light green rectangle with several lines inside it, with blue scribbles over top of them indicating writing (and a signature in the bottom right). In the upper left is a black dollar sign. Underneath is a large black arrow that dips down to the bottom of the image before sharply rising back up and continuing to the right (indicating a bounce)."
british pound m.png,M,pound,A black British pound symbol.
invoice.png,M,invoice,"a green arrow from a clock to a sheet of paper with scribbled lines on it, including a 'table' and 'signature,' and another green arrow coming from it to two coins and banknotes"
cent pheonix 1.png,Pheonix,cent,"A tall blue shape reminiscent of a cents symbol has a series of shapes to its left positioned at its base. These shapes, from left to right, are a green dash representing the 1’s place, and a blue dash representing the 10ths place. There is a purple dot separating the 1’s and the 10ths. The cents symbol sits in the 100ths place. The image has dark line art"
credit card vixen.png,Vixen,credit card,"a blue credit card with a yellow chip, the text '♥ YayyWoohoo.co' at the top, scattered blue hearts in the background, and 'Credit' with the Mastercard logo in the bottom right."
medium price.png,Ani,medium price,A drawing of two black dollar signs in a row
cent pheonix 2.png,Pheonix,cent,"A tall blue shape reminiscent of a cents symbol has a series of shapes to its left positioned at its base. These shapes, from left to right, are a green dash representing the 1’s place, and a blue dash representing the 10ths place. There is a purple dot separating the 1’s and the 10ths. The cents symbol sits in the 100ths place. The image has light line art"
debit card vixen.png,Vixen,debit card,"a green debit card with a contactless chip on the left, the text '♥ Yippie.co°' on the top right, and the Mastercard logo with the word 'debit' on the bottom right. A criss-cross pattern runs vertically on the left side."
old penny damsii.png,damsii,old penny,A simplified illustration of the old Canadian penny (one cent) coin.
defund fractals.png,Fractals,defund,"A drawing of gold dollar signs on the left with a red arrowing from them, away towards the right."
dime damsii.png,damsii,dime,A simplified illustration of the Canadian dime (ten cent) coin.
