Image URL,Credit,Caption,Alt text
emergency stellar.png,StellarSymbols,emergency,"A red siren, with a yellow and white flash in the middle"
ambulance stellar.png,StellarSymbols,ambulance,"A dwhite ambulance van with a siren on the top and a red asterisk, representing the 'star of life' symbol, on the side"
bridge affected m.png,M,bridge affected,a simple brown beam bridge shape. above it is a bright red circle with a yellow exclamation mark
avalanche.png,M,avalanche,a cloud of white snow falling down a dark grey mountain. to the side of the mountain is an orange exclamation point.
bridge closed m.png,M,bridge closed,a simple brown beam bridge shape. above it is a dark blue circle with a white padlock shape in it
bridge destroyed m.png,M,bridge destroyed,"a simple brown beam bridge shape. above it is a dark red circle with a bright red, white-outlined 'X'"
bomb.png,Rae,bomb,a cartoony black bomb with a sparking fuse.
bridge unaffected m.png,M,bridge unaffected,a simple brown beam bridge shape. above it is a green circle with a white checkmark
call 112 harlow.png,Harlow,call 112,a phone with curved lines coming out from it and the number 112
call 000.png,M,call 000,a simple hone screen with a green 'call' symbol on it. in front of the phone are three red zeroes.
call emergency medical services plum.png,Plum,call emergency medical services,"A drawing of a modern smartphone on the call screen next to the Star of Life symbol to represent medical emergencies, which is a blue asterisk (＊) with a white icon of a snake curled around a pole inside. The phone has a red case, a dark purple screen, and no face buttons. The screen displays a green icon of a landline phone with some waves coming off of it, and circular buttons with the numbers 1 through 9, and 0, as well as the star (＊) and pound (#) keys below."
category 1 cyclone m.png,M,category 1 cyclone,a light mauve cyclone shape with two arms.
call 911 harlow.png,Harlow,call 911,a phone with curved lines coming out from it and the number 911
category 1 hurricane tcc.png,TCC,category 1 hurricane,"An open circle with two spikes connected to it. The top spike is slanted towards the right, and the bottom spike is slanted towards the left. The symbol is a light red and symbolizes a hurricane. There is a red '1' (one) in the middle of the open circle."
category 2 cyclone m.png,M,category 2 cyclone,"a light mauve cyclone shape with four arms, the second set of arms getting darker."
call 999 harlow.png,Harlow,call 999,a phone with curved lines coming out from it and the number 999
category 4 hurricane tcc.png,TCC,category 4 hurricane,"An open circle with two spikes connected to it. The top spike is slanted towards the right, and the bottom spike is slanted towards the left. There are four detached spikes on the “corners” of the symbol. The spikes on the left are slanted upwards and the spikes on the right are slanted downwards. The symbol is a light red and symbolizes a hurricane. There is a red  '4' (four) in the middle of the open circle."
category 2 hurricane tcc.png,TCC,category 2 hurricane,"An open circle with two spikes connected to it. The top spike is slanted towards the right, and the bottom spike is slanted towards the left. The symbol is a light red and symbolizes a hurricane. There is a detached spike on either side of the symbol. The left one is slanted upwards and the right one is slanted downwards.  There is a red '2' (two) in the middle of the open circle."
category 3 cyclone m.png,M,category 3 cyclone,"a light mauve cyclone shape with six arms, each set of arms getting a progressively darker shade."
category 5 cyclone m.png,M,category 5 cyclone,"a light mauve cyclone shape with ten arms, each set of arms getting a progressively darker shade."
category 5 hurricane tcc.png,TCC,category 5 hurricane,"An open circle with two spikes connected to it. The top spike is slanted towards the right, and the bottom spike is slanted towards the left. There are twelve detached spikes around the symbol. The spikes on the left are slanted upwards and the spikes on the right are slanted downwards. The spikes seem to be alternating with one in the front and then one behind the first one. The symbol is a light red and symbolizes a hurricane. There is a red '5' (five) in the middle of the open circle."
category 3 hurricane tcc.png,TCC,category 3 hurricane,"An open circle with two spikes connected to it. The top spike is slanted towards the right, and the bottom spike is slanted towards the left. There are two detached spikes on either side of the symbol. The left one is slanted upwards and the right one is slanted downwards. The symbol is a light red and symbolizes a hurricane. There is a red '3' (three) in the middle of the open circle."
choking dusty 2.png,Dusty,choking,"A drawing of a head and throat in profile. Inside the esophagus is a blue circle, causing the esophagus to bulge, with white emphasis lines around it."
choking dusty 3.png,Dusty,choking,"A drawing of a head and throat in profile. Inside the esophagus is a blue circle, causing the esophagus to bulge."
category 4 cyclone m.png,M,category 4 cyclone,"a light mauve cyclone shape with eight arms, each set of arms getting a progressively darker shade."
cyclone warning m.png,M,cyclone warning,"a silver shape very similar to the meterological symbol for a category 2 cyclone, with a circle around it broken into four pieces. it's in an orange triangle"
dust devil m.png,M,dust devil,"a corkscrew shape, roughly filled in with a mostly opaque brown."
choking dusty 1.png,Dusty,choking,"A drawing of a gray person making the universal sign for chocking, with their hands around their throat, wide open eyes, and a wide open mouth."
fight dusty.png,Dusty,fight,"A big red and white hazard triangle with a hissing, arching cat in silhouette in front of it."
electrical fire outlet fire rae.png,Rae,electrical fire / outlet fire,a white outlet has flames and dark smoke coming from it.
crisis pheonix 1.png,Pheonix,crisis,"a red emergency light sits above a brown triangle warning sign with a red exclamation point on it.  The emergency light is a simple, rounded, red rectangle with 3 straight emphasis lines above it. Jagged emphasis lines sit radiate from either side of the triangle. The image has light line art."
flooding.png,Neon,flooding,a house with waves of water in front of it.
fawn dusty.png,Dusty,fawn,"A big red and white hazard triangle, with a happy dog licking a hand in front of it."
crisis pheonix 2.png,Pheonix,crisis,"a red emergency light sits above a yellow triangle warning sign with a red exclamation point on it.  The emergency light is a simple, rounded, red rectangle with 3 straight emphasis lines above it. Jagged emphasis lines sit radiate from either side of the triangle. The image has dark line art."
flood warning rae.png,Rae,flood warning,"a light yellow house with a blue roof. There’s water covering the house to halfway up the door, and an orange warning triangle in the water"
fire ee.png,Eldritch-Emojis,fire,a large yellow and red flame.
crush hazard fever.png,Bear,crush hazard,"a black drawing of a human being crushed by a large object with a down arrow inside it, outlined in white. jagged red lines shoot away from the person in four different spots"
fallen tree.png,TalkSense,fallen tree,"a tree, roots partly ripped up from green grass, that has fallen on top of a house, breaking part of its roof and walls and a window."
flash flood m.png,M,flash flood,"a yellow zigag, suggesting a flash of lightning, in front of very high, choppy water."
cyclone m.png,M,cyclone,"a silver shape very similar to the meterological symbol for a category 2 cyclone, with a circle around it broken into four pieces."
flop alt dusty.png,Dusty,flop,"A big red and white hazard triangle with a fainted gray goat, belly up, in front of it."
flop dusty.png,Dusty,flop,"A big red and white hazard triangle, with an opossum playing dead in front of it."
danger dangerous chan.png,Chan,danger / dangerous,a simple drawing of a generic danger symbol. it is a white triangle with a red outline and a black exclamation point inside
homeless houseless m.png,M,homeless / houseless,a blue house shape with a big red 'X' over it.
fire harlow.png,Harlow,fire,a fire that starts a a yellow orange in the middle and has a gradient to a red on the edge
flash flood high contrast m.png,M,flash flood (high-contrast),"a bright yellow zigag, suggesting a flash of lightning, in front of very high, bright blue choppy water."
hostage deal petri 1.png,Petri,hostage deal,"A drawing of a large handshake. Below it is an emoji yellow circle in a cage, representing a hostage."
fire drill rory.png,Rory,fire drill,A red school building with a fire symbol and a gold bell
flight dusty.png,Dusty,flight,A big red and white hazard triangle with a running rabbit in front of it.
house fire rae.png,Rae,house fire,a red house has flames and smoke coming from it.
firefighter stellar.png,StellarSymbols,firefighter,a yellow figure wearing a red firefighter uniform (helmet and overalls)
heat wave.png,Rae,heat wave,"a sun hangs in the sky next to a very full thermometer. There’s an orange wave with a fire symbol on it. A black arrow points to the side, indicating continuation."
hurricane m.png,M,hurricane,"image looks like the meterological symbol for a category two cyclone, but reversed/backwards. it's steel grey"
freeze dusty.png,Dusty,freeze,A big red and white hazard triangle with a deer in front of headlights in front of it.
hostage petri.png,Petri,hostage,"A drawing of an open emoji yellow hand with two motion marks next to it, indicating that it is asking for something. There is a black arrow pointing from the hand to a head with a sad expression, looking up at the hand, in a cage."
living in car m.png,M,living in car,a red arrow pointing from a blue house shape to a car the same shade of blue.
hazard gp.png,Gillipop,hazard,a yellow hazard triangle with a black exclamation point in the center
