Image URL,Credit,Caption,Alt text
canada goose m.png,M,Canada goose,a Canada goose facing the right.
african grey parrot.png,M,African grey parrot,An african grey parrot.
american woodcock koda.png,Koda,American Woodcock,"a chunky round bird with a very long thin beak and pointed / tapered tail feathers. the bird is beige, alittle bit orangey, and greys and blacks. it has squiggly stripes all over it and a big black eye. it has thin pink feet"
chick k9.png,K9Emote,chick,the bottom half of a broken eggshell. there's a yellow baby chick sitting inside of it.
cardinal m.png,M,cardinal,"A male Northern cardinal in seated position, facing the right."
atlantic puffin m.png,M,Atlantic puffin,an Atlantic puffin facing the left
chinstrap penguin koda.png,Koda,chinstrap penguin,"a tiny white penguin with black on the top of their head, slightly on their sides, their back, and on the back of their wings. they have a thing black line that goes from the head to the chin. the inside of their wings are an off white. they have a grey beak and a dark brown eye, their feet are a bit large and pink with brown / black claws / nails"
cassowary.png,M,cassowary,"the head and neck of a cassowary facing the right. it is a large flightless bird with a scarred cranial horn, a red wattle, blue head, and black body feathers."
egret.png,M,egret,A white egret standing.
evening grosbeak.png,froggygolem,evening grosbeak,"Seen in profile, an evening grosbeak bird with a yellow belly and upper wing, black head, wings, and tail, gray shoulder, light thick beak, and a bit of white on the wing perches on a brown branch. It says evening grosbeak in small black capital letters over the wing."
common myna m.png,M,common myna,"a common myna facing the right, perched on a branch."
gentoo penguin koda.png,Koda,gentoo penguin,"a tiny white body of a penguin with a black head and neck with a big orange sliver on its mouth / beak. there’s a white stripe that goes over its eye and to the top of the head and has some white speckles next to the stripe. its back, tail feathers, and wings are all black and the inside of the wings are pink and orange. its feet are the same orangey pink color with black claws / nails"
laughing kookaburra m.png,M,laughing kookaburra,a drawing of a laughing kookaburra (Dacelo novaeguineae)  facing to the right
emperor penguin koda.png,Koda,emperor penguin,"a big white penguin with a fully black face and black wings, there is yellow on the side of their head and a bit on their chest, their feet are black and they have a small red sliver on their beak"
luzon bleeding heart m.png,M,Luzon bleeding-heart / punalada,"A Luzon bleeding-heart or punalada (Gallicolumba luzonica), a dove with a white belly, blue-grey back and wings, and a red patch on its chest."
kiwi bird.png,M,kiwi,a light brown kiwi facing to the right
gosling m.png,M,gosling,"A fluffy, mostly yellow, very young gosling facing the right"
nightingale m.png,M,nightingale,a nightingale facing the left
satin bowerbird m.png,M,satin bowerbird,a satin bowerbird facing the right.
king penguin koda.png,Koda,king penguin,"an off white slim penguin body with coat pattern that sort of looks like they’re wearing a coat and ear muffs. their head is mostly black with a big yellow spot where their “ears” go, they have a big section of yellow and orange on their neck / upper chest. between the ear spot and the neck spot is a grey section that reaches down to its wings and gets darker as it goes down. they have light brown eyes and a big orange sliver on their beak. they have grey feet."
/Nature/animals/peregrine m.png,M,peregrine falcon,"an airborne peregrine falcon, viewed from the side, facing the left, wings up."
shrike m.png,M,shrike,A northern shrike facing the right.
macaroni penguin koda.png,Koda,macaroni penguin,"a chunky penguin with a white tummy, black back, wings, and head, the inside of the wings are off white and slightly yellow. it has pale pink feet w long brown claws / nails. it has a thick orange beak, and long yellow eyebrows / hair and a red eye"
raven.png,M,raven,a side view of a black raven in flight. the image has a green outline.
torrent tyrannulet m.png,M,torrent tyrannulet,a torrent tyrannulet facing the left.
penguin1.png,Kip,penguin,an emperor penguin chick
royal penguin koda.png,Koda,royal penguin,"a penguin with a white body and face with a bit of yellow on the face near the beak. the beak is big and orange, the top of the head, back, tail feathers, and wings are dark / black. there’s white tail feathers under the black ones. it has pink feet and the back foot has black spots on it. it has slicked back yellow eyebrows / hair. and it has a dark brown eye"
penguins sparrow.png,Rory,penguins,"A emperor penguin  a cartoon penguin, a baby penguin, and a king penguin"
scarlet macaw.png,M,scarlet macaw,a scarlet macaw facing the right
