Image URL,Credit,Caption,Alt text
actias luna.png,Neon,Actias luna (luna moth),A luna moth from a view where you can see its wings spread out.
Armadillidium vulgare.png,Neon,Armadillidium vulgare (common pill bug),A common pill bug from a partial top view facing to the right.
bed bug dd.png,DoctorZero,bed bug,A clipart style drawing of a bed in the left corner with a low quality clipart style drawing of a bug
bee budget.png,Bear,bee,"A pixelated style drawing of a simplistic bee, it's body is a dull yellow with black-brown stripes as well as a pair of light blue wings"
attacus atlas.png,Neon,Attacus atlas (Atlas moth),An Atlas moth from a view where you can see its wings spread out.
beetle budget.png,Bear,beetle,a shiny green-blue beetle with a slightly brown head
bee crows 2.png,Crows,bee,"A cartoon style drawing of a bee. It is yellow, black, round and smiling."
bee crows 1.png,Crows,bee,a simple drawing of an anatomically correct yellow and black bee.
ladybug.png,Mikey,ladybug / ladybird,"a cartoonish ladybird or ladybug, with a few yellow motion lines around it"
black ant mikey.png,Mikey,black ant,a black ant
brown ant mikey.png,Mikey,brown ant,a brown ant
monarch butterfly budget.png,Bear,monarch butterfly,"A pixelated style drawing of a simplistic monarch butterfly, it's body is a dark brown color while its wings are orange with a simplified pattern of a monarch butterfly's wing"
butterflies m.png,M,butterflies,a malachite butterfly and a ulysses butterfly.
common bluebottle butterfly creature.png,Creature,common bluebottle butterfly,"An emote of a simple butterfly icon with dark navy blue as an outline. The body is gray with a light black marking on its back with a lighter gray marking under it. The upper wings are dark gray, and the lower wings are light gray. From the upper and lower set of wings, have a line of bright green and blue spots, and the lower set has a small line at the tips as well with an orange spot near the body at the end."
paper kite butterfly creature.png,Creature,paper kite butterfly,"An emote of a cute icon of a butterfly with a dusty yellow outline. The body is dusty grayish yellow with a brown marking on the back, followed by a darker, dusty yellow marking below it. The wings have light black monarch markings with wavy lines, and the base color of the wings is white with a big yellow tint on the wings going to the body"
caterpillar mikey.png,Mikey,caterpillar,a cartoonish green wiggly caterpillar
/Nature/animals/cone snail.png,Ani,cone snail,A drawing of a cone snail. The snail has a mostly brown shell but the front and back of the shell have splotches that are grayish white scattered about. The splotches are outlined in an off white color
red ant mikey.png,Mikey,red ant,a red ant
caterpillar budget.png,Bear,caterpillar,"A pixelated style drawing of a simplistic caterpillar, it's body has alternating shades of green with its head as a dull orange-red color."
fleas.png,M,fleas,"two fleas, one in front of the other."
silk moth.png,Kip,silk moth,a silk moth
common butterfly creature.png,Creature,common butterfly,"An emote of a simple butterfly icon. The outline around it is dark violet. The wings are white with minor blue shading around the body of the butterfly. At the tip of the top of the butterfly wing is black, along with 3 dark black spots going down the wings. The body is pastel blue with a small dark brown marking on its back with a dark pastel blue mark going down its back from the brown mark."
giraffe beetle m.png,M,giraffe weevil,a giraffe weevil facing the right.
/Nature/animals/scarab beetle.png,M,scarab beetle,"a green, blue and red scarab beetle."
Cubaris sp.png,Neon,Cubaris sp (rubber ducky pill bug),A rubber ducky pill bug from a partial top view facing to the right.
inca snail vixen.png,Vixen,inca snail,"a crayon styled digital 
depiction of a gold inca snail, with its rounded, golden-yellow shell and light yellow body."
snail budget.png,Bear,snail,"A pixelated style drawing of a simplistic snail, it's body is a off-cream color while it's shell has a swirl pattern and is a warmer orange-brown color"
flea.png,M,flea,a flea.
ladybug budget.png,Bear,ladybug,"A pixelated style drawing of a simplistic ladybug, its wings are a dull red with dark brown spots while it's head is a warm dark brown color"
snail rc 1.png,Bear,snail,a slightly top-down view of a full cream snail with a brown spiral shell
flea collar 2.png,M,flea collar,two small fleas below a blue collar with a silver tag
luna moth smolmoss.png,Smolmoss,moth,A luna moth.
snail.png,Rae,snail,light green snail with a brown shell.
honeypot ant.png,M,honeypot ant,"a specialised worker honeypot ant, a dark red ant with a huge abdomen that is mostly clear and filled with honey"
moth budget.png,Bear,moth,"A drawing of an emperor moth, seen from above, with colored outlines. It has brown and grey wings with small red accents on the forewings, as well as a dark grey eyespot on each wing."
stinging insect bh.png,Blackholemojis,stinging insect,a flying insect with a stinger
leaf cutter ant sparrow 1.png,Rory,leaf cutter ant,a red leaf cutter ant standing on a small stick
Peucetia viridans.png,Harlow,Peucetia viridans/Green Lynx Spider,"a spider with thin white and brown legs, and a long green body."
tiger butterfly creature.png,Creature,tiger butterfly,"An emote of a pretty and simple icon of the butterfly. The outlines of the butterfly are dark yellow. It has brown monarch butterfly markings on its wings with its base color being yellow. There are yellow, orange, and blue markings on the wings. The body of the butterfly is yellow with a dark brown marking on the back with a big darker yellow mark below that."
leaf cutter ant sparrow 2.png,Rory,leaf cutter ant,a red leaf cutter ant
snail petri.png,Petri,snail,a simple drawing of a snail facing the right.
ulysses butterfly.png,M,ulysses butterfly,a ulysses butterfly.
malachite butterfly.png,M,malachite butterfly,"a malachite butterfly, dark brown with bright green markings."
worm budget.png,Bear,worm,a pixelated style drawing of a simplistic worm
worm 1.png,Rae,worm (cutesy),"a pink earthworm with a darker pink saddle in the middle of its body. it  has a chubby smiley face, no bands, and a leaf with a bite taken out of it nearby."
peacock butterfly creature.png,Creature,peacock butterfly,"a simple icon of a butterfly with a dark brown outline. The body is green with a dark brown marking in the middle of its back and a big light green marking below the dark brown marking on its back. The wings are dark green with minor navy blue colors around. On the top wings is dark brown monarch markings with a light, transparent marking was over the sides of the top wings. On the bottom, wings carry the same green and blue colors with a blue marking and two orange dots beside the marking"
yellow butterfly creature.png,Creature,yellow butterfly,An emote of a simple butterfly. The outline of the butterfly is dark yellow. The wings of the butterfly are vibrant yellow with dark yellow shading from the body. There are black tips at the top of the butterfly upper wings with a black dot in the middle of the upper wings. The body is light purple with a dark brown mark in the middle of its body with a dark purple mark stretching over its back from the brown mark.
worm 2.png,Rae,worm (realistic),a pink earthworm with a darker pink saddle in the middle of its body. it has dark pink bands and no face
white butterfly creature.png,Creature,white butterfly,an icon of a simple butterfly. The outlines were light gray. The body of the butterfly is light black with a gray spot on its back with black eyes. The wings are pure white with minor off-white shading and no markings. The antenna is dark brown
snails is bugs rae.png,Rae,snails is bugs,a green snail with shiny eyes next to an equals sign. This is followed by a generic brown bug that kind of looks like a tick mixed with an ant. It has curly antennae
