Image URL,Credit,Caption,Alt text
animal parts rc.png,Bear,animal parts,"Four animal body parts grouped into a square but not connected to each other. There is a grey trunk, a white claw, a maroon paw print / paw pad, and a brown feather."
antler 5 guys.png,The Five (+) Guys Collective,antler,a brown deer antler
beak keel billed toucan 5 guys.png,The Five (+) Guys Collective,beak (keel-billed toucan),"a long green-yellow toucan beak. the tip of the upper mandible is a dark red, and the tip of the lower mandible is a teal. across the upper mandible is also a orange splotch. there are small dark brown stripes along the beak."
barn owl wing five guys.png,The Five (+) Guys Collective,barn owl wing,"a white, grey, and brown bird wing. the feathers at the very top of the wing are mottled grey, brown, and a little bit of white. the feathers closer to the bottom are striped with white and two different shades of brown"
beak rock pigeon 5 guys.png,The Five (+) Guys Collective,beak (rock pigeon),a short black rock pigeon beak. the area above the nostrils is white
cardinal wing five guys.png,The Five (+) Guys Collective,cardinal wing,a red bird wing. the feathers closer to the tip have darker red 'stripes'
beak 5 guys.png,The Five (+) Guys Collective,beak,a short yellow beak
beak scarlet macaw 5 guys.png,The Five (+) Guys Collective,beak (scarlet macaw),"a tall, hooked black scarlet macaw beak. the upper mandible of it is a lighter cream colour except at the tip and near the bottom portion. near the upper portion is a small bit of skin and the bird's nostrils"
claw 5 guys.png,The Five (+) Guys Collective,claw,a white cat paw with unsheathed claws
beak american flamingo 5 guys.png,The Five (+) Guys Collective,beak (american flamingo),"a long, curved flamingo beak. the middle portion is pink, with the tip being a dark brown and the portion near where the face would be is white"
blue jay wing five guys.png,The Five (+) Guys Collective,blue jay wing,"a blue bird wing. the feathers are striped darker blue, and the ones closer to the tip of the wing are darker blue. the secondaries are lighter blue, and the tips of those feathers are white"
face 5 guys.png,The Five (+) Guys Collective,face,"a grey and white cat's head, with a red outline on his face and a red arrow pointing to the outline."
beak bald eagle 5 guys.png,The Five (+) Guys Collective,beak (bald eagle),"a tall, hooked, yellow bald eagle beak"
bone 5 guys.png,The Five (+) Guys Collective,bone,a white femur
fur 5 guys.png,The Five (+) Guys Collective,fur,a ball of brown fur
ear 5 guys.png,The Five (+) Guys Collective,ear,a brown and white cat ear
eye 5 guys.png,The Five (+) Guys Collective,eye,a yellow cat eye with a slit pupil
hoof 5 guys.png,The Five (+) Guys Collective,hoof,"a brown, furry leg with black hooves, similar to a goat's"
fangs 5 guys.png,The Five (+) Guys Collective,fangs,a cat's snout from the front. his mouth is open and there is a red outline around his fangs and a red arrow pointing to them
fin 5 guys.png,The Five (+) Guys Collective,fin,"a blueish grey fin, similar to a dolphins"
nose 5 guys.png,The Five (+) Guys Collective,nose,a cat's snout from the front. his mouth is open. there is a red outline around his nose and a red arrow pointing to it
/Nature/feather koda.png,Koda,feather,"a brown feather. its darkest at the top tip and fades lighter, there’s tan strokes near the “stem” of the feather down the middle"
head 5 guys.png,The Five (+) Guys Collective,head,"a grey and white cat's head, facing the right"
pawprint 5 guys.png,The Five (+) Guys Collective,pawprint,"a dark brown cat pawprint, claws included"
hand 5 guys.png,The Five (+) Guys Collective,hand,"a white paw with brown and pink pawpads. the paw has four fingers and a thumb, similar to a human's hand"
mouth 5 guys.png,The Five (+) Guys Collective,mouth,a cat's snout from the front. his mouth is open
snout 2 5 guys.png,The Five (+) Guys Collective,snout,"a white cat snout, facing the right. his whiskers are visible and he appears to be smiling. there is a red outline around his snout and an arrow pointing to it"
horn 5 guys.png,The Five (+) Guys Collective,horn,"a brown, curled ram horn"
pawpad 5 guys.png,The Five (+) Guys Collective,pawpad,brown and pink cat pawpads
talon 5 guys.png,The Five (+) Guys Collective,talon,a curved dark brown bird talon
paw 5 guys.png,The Five (+) Guys Collective,paw,a white paw with brown and pink pawpads. its claws are unsheathed and white
snout 1 5 guys.png,The Five (+) Guys Collective,snout,"a white cat snout, facing the right. his whiskers are visible and he appears to be smiling."
talons 5 guys.png,The Five (+) Guys Collective,talons,a bumpy yellow bird foot with dark brown claws
proboscis m.png,M,proboscis,a grey insect head with big pale yellow eye and curled yellow proboscis.
/Nature/talon.png,M,talon,a bird of prey's talon
/Nature/thagomizer m.png,M,thagomizer,four light spikes on a green tail
scales 5 guys.png,The Five (+) Guys Collective,scales,a ball of shiny blueish grey scales.
teeth 5 guys.png,The Five (+) Guys Collective,teeth,a cat's snout from the front. his mouth is open and there is a red outline around his teeth and a red arrow pointing to them
tusk narwhal 5 guys.png,The Five (+) Guys Collective,tusk (narwhal),a long white spiral tusk
tail 5 guys.png,The Five (+) Guys Collective,tail,a brown cat tail
trunk m 2.png,M,trunk,"a grey elephant trunk, drawn without shading."
whiskers 5 guys.png,The Five (+) Guys Collective,whiskers,"a white cat snout, facing the right. his whiskers are visible and he appears to be smiling. there is a red outline around his whiskers and an arrow pointing to them"
trunk m 1.png,M,trunk,"a grey elephant trunk, drawn with shading."
tusk 5 guys.png,The Five (+) Guys Collective,tusk,a curved white tusk
/Nature/animals/wolf skull.png,M,wolf skull,A side view of a wolf skull facing to the left. it has a grey outline.
/Nature/wings neon.png,Neon,wings,A cartoon style drawing of simplified white angel wings.
