Image URL,Credit,Caption,Alt text
astronaut rae.png,Rae,astronaut,a person in a white space suit with a black visor floats near an orange ringed planet.
/Nature/black hole.png,Ani,black hole,"A drawing of a black circle. The circle has an orange-yellow glowing ring around the middle of it, and the same glow is coming from behind the circle."
/Nature/black hole bh.png,Blackholemojis,black hole,"a black hole viewed from the side. It’s roughly the same shape as a planet with rings, like Saturn, but yellow and white light surrounds it on all sides and in a ring around the middle, while the middle is a rich black void."
/Nature/solar flare.png,Ani,solar flares,A zoomed in drawing of a red star. The star is mostly a crimson red sticking out for the star is a bright and glowing red and orange curved line.
comet gold 1.png,goldstargloww,comet,a comet with a dust tail and plasma tail on a spacey background
Comet Goldstargloww.png,goldstargloww,Comet,The astro symbol for a comet in green/teal. It looks like a circle in the bottom left with three lines coming from it towards the top right.
/Nature/moon ee.png,Extraterrestrial,moon,a cartoonish moon with glitter-like texture in the middle. it is a very pale yellow with a brown outline.
comet gold 2.png,goldstargloww,comet,a comet with a dust tail and plasma tail
Mercury Goldstargloww.png,goldstargloww,Mercury,"The astro symbol for mercury in beige/light brown. It looks like a circle on top of a stick with a crossbar, with a semicircle on top of the circle."
satellite dtcd 2.png,dtcd,satellite,"gray Sputnik-1 style “orb and antennae” satellite, no background"
gas giant comet.png,Comet,gas giant,"a light green planet with two green puffs of gas on either side. on the planet itself are different green stripes, centered around a dark green 'eye'"
m type star gold 1.png,goldstargloww,M-type star,"a small red-orange circle, brightest in the center, with a red-orange letter M in the corner."
Sun Goldstargloww.png,goldstargloww,Sun / Sol / Helios,The astro symbol for the sun in yellow/orange. It looks like a circle with a dot in the center.
Uranus Goldstargloww.png,goldstargloww,Uranus,"The astro symbol for uranus in cyan. It looks like a circle with a dot in the center and an arrow coming out the top of it, pointing upwards."
m type star gold 2.png,goldstargloww,M-type star,"a small red-orange circle, brightest in the center."
Earth Globus Goldstargloww.png,goldstargloww,Earth (Globus Cruciger),The astro symbol for earth (globus cruciger variant) in green/blue. It looks like a stick with a crossbar on top of a circle.
moon neon.png,Neon,moon,A simplistic drawing of a crescent moon using a very textured brush.
k type star gold 1.png,goldstargloww,K-type star,"a small orange circle, brightest in the center, with an orange letter K in the corner."
Earth Quartered Goldstargloww.png,goldstargloww,Earth (Quartered Circle),"The astro symbol for earth (quartered circle variant) in green/blue. It looks like a circle with two lines going through it, splitting it into quarters."
Neptune Goldstargloww.png,goldstargloww,Neptune,"The astro symbol for neptune in blue. It looks like a trident with a crossbar going through the stem, and the tines are made up of the stem and a semicircle."
k type star gold 2.png,goldstargloww,K-type star,"a small orange circle, brightest in the center."
Moon Goldstargloww.png,goldstargloww,Moon / Luna,The astro symbol for the moon in light blue/gray. It looks like a waning crescent moon.
pluto gold.png,goldstargloww,Pluto,a drawing of Pluto
Venus Goldstargloww.png,goldstargloww,Venus,The astro symbol for venus in yellow/gold. It looks like a circle on top of a stick with a crossbar.
Mars Goldstargloww.png,goldstargloww,Mars,"The astro symbol for mars in red. It looks like a circle with an arrow coming out of it, pointing towards the top right."
Pluto Monogram Goldstargloww.png,goldstargloww,Pluto (Monogram),"The astro symbol for pluto (monogram variant) in a cyan-tinted gray. It looks like the uppercase letters P and L put together, or an uppercase P with a line along the bottom."
/Nature/constellation.png,Ani,constellation,A drawing of the constellation The Big Dipper in the night sky.
Jupiter Goldstargloww.png,goldstargloww,Jupiter,"The astro symbol for jupiter in light orange/gold. It looks like the number 2 with the bottom line extended to the right, and a vertical line crossing through it."
/Nature/dwarf stars.png,Ani,dwarf stars,"A group of differently colored glowing circles. There is a red one, an orange one, a blue one, a white one, a black one, and a brown one."
earth mikey.png,Mikey,earth,A drawing of the earth with black lineart and a white outline around it.
Saturn Goldstargloww.png,goldstargloww,Saturn,"The astro symbol for saturn in light yellow. It looks like a lowercase H with a crossbar through the ascender, and the arch is extra wavy."
satellite dtcd 1.png,dtcd,satellite,gray Sputnik-1 style “orb and antennae” satellite on a semi-transparent blue-purple background
earthrise m.png,M,Earthrise,A drawing of the famous 'Earthrise' photo.
Pluto Bident Goldstargloww.png,goldstargloww,Pluto (Bident),"The astro symbol for pluto (bident variant) in a cyan-tinted gray. It looks like a bident with a crossbar through the stem and a circle resting between the two tines, with the tines made up of a semicircle."
sun neon.png,Neon,sun,A simplistic drawing of a sun with yellow sun rays and an orange swirl in the middle.
moon mikey.png,Mikey,moon,A drawing of the moon with black lineart and a white outline around it.
/Nature/star blue.png,Ani,star (blue),a glowing blue circle.
/Nature/sun ee.png,Extraterrestrial,sun,a cartoonish sun with glitter-like texture in the middle. it is orange-yellow with a brown outline and sun rays shining out around it.
/Nature/star yellow.png,Ani,star (yellow),a glowing yellow and orange irregular circle.
voyager golden record.png,M,Voyager golden record,a drawing of the Voyager golden record.
/Nature/waxing crescent.png,Tonto,waxing crescent,waxing crescent moon.
/Nature/sun and moon ee.png,Extraterrestrial,sun and moon,a cartoonish sun and moon combination with glitter-like texture in the middle and sun rays shining out from the sun side.  The sun is an orange-yellow and the moon is a very pale yellow. Both have a brown outline.
/Nature/first quarter.png,Tonto,first quarter,first quarter moon.
/Nature/last quarter.png,Tonto,last quarter,a last quarter moon.
/Nature/new moon.png,Tonto,new moon,a new moon.
/Nature/waning crescent.png,Tonto,waning crescent,a waning crescent moon.
/Nature/waxing gibbous.png,Tonto,waxing gibbous,a waxing gibbous moon.
/Nature/waning gibbous.png,Tonto,waning gibbous,a waning gibbous moon.
/Nature/full moon.png,Tonto,full moon,a full moon.
