Image URL,Credit,Caption,Alt text
periodic table ottertime.png,Ottertime,periodic table,"the periodic table, each major grouping is having an unique color"
2 helium.png,Ani,helium,A gray square with a large “He” in the middle of it. There is also a 2 in the upper left corner
3 lithium.png,Ani,lithium,A light red square with “Li” in the middle of it. In the top left corner is a 3
1 hydrogen.png,Ani,hydrogen,A light blue square with a large H in the middle of it. There is also a 1 in the upper left corner
5 boron.png,Ani,boron,A blue square with a “B” in the middle. There is also a 5 in the upper left corner
6 carbon.png,Ani,carbon,A light blue square with a “C” in the middle in the top left corner is a 6
4 beryllium.png,Ani,beryllium,An orange rectangle with a “Be” in the middle of it In the top left corner is a 4
8 oxygen.png,Ani,oxygen,A light blue rectangle with a “O” in the middle There is also a 8 in the top left corner
9 flourine.png,Ani,flourine,A very light and bright blue rectangle with a “F” in the middle of it. The top left corner also has a 9 in it.
7 nitrogen.png,Ani,nitrogen,A light blue square with a “N” in the middle of it There is also a 7 in the top left corner
11 sodium.png,Ani,sodium,A bright red rectangle with “Na” in the middle of it. The top left corner has an 11 in it.
12 magnesium.png,Ani,magnesium,An orange square with “Mg” in the middle. There is a 12 in the top left corner
10 neon.png,Ani,neon,A gray rectangle with “Ne” in the middle of it In the top left corner is a 10
14 silicon.png,Ani,14 silicon,A blue square with an “Si” in the middle of it. The top left corner has a 14 in it
15 phosphorus.png,Ani,phosphorus,a light blue square with a “P” in the middle of it. The top left corner has a 15 in it.
13 aluminium.png,Ani,aluminium,A light green rectangle with an “Al” in the middle of it. In the top left corner is a 13
17 chlorine.png,Neon,chlorine,a light green square with 'Cl' in the middle and a '17' in the top left corner.
18 argon.png,Neon,argon,a white square with 'Ar' in the middle and a '18' in the top left corner.
16 sulphur.png,Neon,sulphur,a light orange square with 'Ca' in the middle and a '20' in the top left corner.
17 chlorine ani.png,Ani,chlorine,A bright light blue rectangle with a “Cl” in the middle of it. There is also a 17 in the top left corner
18 argon ani.png,Ani,argon,A grey rectangle with an “Ar” in the middle of it. There is also a 18 on the top left corner
16 sulphur ani.png,Ani,sulphur,A drawing of a blue rectangle with an “S” in the middle of it. There is also a 16 in the top left corner
20 calcium.png,Neon,calcium,a light orange square with 'Ca' in the middle and a '20' in the top left corner.
21 scandium.png,Neon,scandium,a pale green square with 'Sc' in the middle and a '21' in the top left corner.
19 potassium.png,Neon,potassium,a light yellow square with 'K' in the middle and a '19' in the top left corner.
23 vanadium.png,Neon,vanadium,a pastel purple square with 'V' in the middle and a '23' in the top left corner.
24 chromium.png,Neon,chromium,a pastel purple square with 'Cr' in the middle and a '24' in the top left corner.
22 titanium.png,Neon,titanium,a pastel purple square with 'Ti' in the middle and a '22' in the top left corner.
26 iron.png,Neon,iron,a pastel purple square with 'Fe' in the middle and a '26' in the top left corner.
27 cobalt.png,Neon,cobalt,a pastel purple square with 'Co' in the middle and a '27' in the top left corner.
25 manganese.png,Neon,manganese,a pastel purple square with 'Mn' in the middle and a '25' in the top left corner.
29 copper.png,Neon,copper,A pastel purple square with 'cu' in the middle and '29' in the top left corner.
30 zinc.png,Neon,zinc,A pastel purple square with 'zn' in the middle and '30' in the top left corner.
28 nickel.png,Neon,nickel,A pastel purple square with 'ni' in the middle and '28' in the top left corner.
