Image URL,Credit,Caption,Alt text
nature vixen.png,Vixen,nature,"A scene of a blue lake, green hills and green trees all condensed into a square"
amethyst.png,M,amethyst,A big chunk of dark purple amethyst.
beehive crows 1.png,Crows,beehive,"7 orange hexagons with a yellow outline interconnected, there are three bees flying around it"
altitude.png,Petri,altitude,"a drawing of a brown mountain with a peak and a lower portion. the peak is covered in snow, while the lower portion has some pine trees. above the mountain is a dark cloud, which is snowing on the peak and raining on the lower portion."
creek m.png,M,creek,"A green rounded squareish shape, with a thin light blue wavy water flowing through it."
beehive crows 2.png,Crows,beehive,"a yellow Beehive. There are two bees coming out of it, one from the top right and the other from the bottom left"
brackish froggygolem.png,froggygolem,brackish,dark blue and light blue swirls over a medium blue blob with waves. Dark blue swirl has salt shaker on it. Light blue swirl has a glass of water on it.
deep sea gigantism neon.png,Neon,deep sea gigantism,An image with water featuring a large cartoon dumbo octopus in the upper right corner and a much smaller one in the lower left. There is a light blue arrow pointing down at the smaller cartoonish dumbo octopus
cosexed m.png,M,cosexed / dualsex / agonochoric,A yellow glyph with black outline that shows a c-shape cirling around to end with a line that goes into the 'c'
copper arsenate.png,M,copper arsenate,a chunk of copper arsenate.
extinct_1.png,M,extinct,"a golden toad, an extinct animal that's a symbol for conservation , with a red outline around it."
critically endangered.png,Ani,critically endangered,A silhouette of a vaquita with a red glowing outline around it.
coral bleaching koda.png,Koda,coral bleaching,a pink (staghorn) coral with one side of the coral fading into white
extinct in the wild.png,Ani,extinct in the wild,A simple drawing of a yellow fatu. There is a glowing black outline around the flower
endemic.jpeg,Ani,endemic,A drawing of an island in the middle of the ocean. The island has two beaches on the upper section of the island one beach to the left and one on the right There is a forest that is dark green in the middle of the island On a small section of the lower right section of the island a red blob that covers a small section of the island.
deep sea dwarfism neon.png,Neon,deep sea dwarfism,"An image depicted with water. In it there is a small dumbo octopus in the upper right corner, in the lower left corner there is a much larger one. There is a light blue arrow pointing at the larger dumbo octopus"
endangered.png,Ani,endangered,A silhouette of a baby sea turtle hatching out of its egg. The sea turtle is about half way hatched out of the egg. The egg and sea turtle are both outlined by an orange glow
iceberg rae.png,Rae,iceberg,a simple grey iceberg in dark blue water
deep sea gigantism.png,Ani,deep sea gigantism,A drawing of the ocean. At the top of the water right below the surface is a small green circle next to the circle there  is an arrow pointing down towards the deeper water at the bottom of the arrow at the very bottom of the water is a much larger green circle
evolution isn't the same as eugenics.png,Esrah,evolution isn't the same as eugenics,"a lineup of a single celled organism, a fish, a lizard, and an early human wearing leather shoes and a skirt. An arrow points upwards from the cell to the human, and turns red, then orange, then yellow, then green. This arrow is crossed out by a bix red X"
evolution esrah.png,Esrah,evolution,"an arrow pointing from a single celled organism to a yellow and blue fish. In the middle of the arrow is a tilted hourglass to show the passing of time. The arrow goes from pink, the primary color of the cell, to yellow, the primary color of the fish."
deep sea gigantism esrah.png,Esrah,deep sea gigantism,"an image showing a small dumbo octopus at shallow water, and a large dumbo octopus in deep, darker water. An arrow points to the larger octopus. The dumbo octopus is a pale pink and has big ear-like paddles on either side of its head."
humans are fish rae.png,Rae,humans are fish,"a stick figure, equals sign, and fish."
extant.png,M,extant,"A coelacanth, facing to the right, with a bright green outline around it"
evolution doesn't have an end goal.png,Esrah,evolution doesn't have an end goal,"a lineup of a single celled organism, a fish, a lizard, and and an early human wearing leather shoes and a skirt. A wiggly line below the lineup goes from various primary colors of each animal, from yellow, to blue, to green, to brown."
hybrid vigor rae.png,Rae,hybrid vigor,"a red circle and a blue circle give way to a purple circle, which has simple muscley arms and gold sparkles."
freshwater rc.png,Bear,freshwater,a green nonspecific plant when orange sparkles above some blue waves
extinct.png,M,extinct,"A fossilized dinosaur skull, facing to the right, with a bright red outline around it."
ice pheonix.png,Pheonix,ice,an opaque blue ice cube with an extra layer of ice flowing down the sides of it
hagstone m.png,M,hagstone,a roundish light grey stone with a roundish hole in it.
forest m bh.png,"M, adapted from Blackholemojis",forest,"A drawing of several oak trees overlaid with one another, with grass around the trunks."
introduced species.png,froggygolem,introduced species,on a tan colored land mound there is a pointy leaf plant. An arrow points from there to a brown land mound where another pointy leaf plant is sprouting next to a smooth leafed plant. The smooth leafed plant has longer roots.
iceberg pheonix.png,Pheonix,iceberg,a light blue rectangle of ice with an outline
humans are animals rae.png,Rae,humans are animals,"a stick figure, equals sign, and soweli drawing in different colors."
mushroom 1.png,Eldritch-Emojis,mushroom,a mushroom with a brown stem and a red and white rounded cap
mushroom 2.png,Eldritch-Emojis,mushroom,a mushroom with a brown stem and a brown rounded cap
Gem.png,Petri,gem,"A drawing of three gems. In the front is a light blue diamond, behind it is a green emerald, and in the back is a pale pink pearl."
mycorrhizal network m.png,M,mycorrhizal network,"two tree trunks, their roots mingling."
mold.png,Rae,mold,"an orange and a piece of bread, each with a smear of greenish mold."
least_concern.png,M,least concern (conservation),a common eland with a cool green outline around it.
/Places/nature park.jpg,Esrah,nature park,the entrance to a forested nature park. It has a large descriptive sign and a gravel trail.
rock koda.png,Koda,rock,a grey mound with light grey and dark grey details
mountain rae.png,Rae,mountain,a grey mountain with a dark blue outline.
river m.png,M,river,"A green rounded squareish shape, with a thick blue wavy water flowing through it."
rose quartz.png,M,rose quartz,"a chunk of rose quartz, a pale, pinkish crystal."
pearl neon.png,Neon,pearl,A white- and pink-colored orb with white sparkles and glisten marks.
shale.png,M,shale,a grey piece of shale.
saltwater rc.png,Bear,saltwater,"some waves with a salt shaker, pointing down as if salting the water"
pearls budget.png,Bear,pearls,"a paint like style of 5 pearls, each of different sizes with similar shading"
slime mold.png,Ani,slime mold,a simple drawing of a slime mold. The slime mold is a yellow blob outlined in black
taxonomy.png,Plum,taxonomy (biology),"Artwork depicting a triangle with the wide end at the top and the thin end at the bottom. The triangle is divided into 7 stripes, colored in rainbow colors. Next to the triangle is a circle with a paw print, leaf, and microorganism inside."
quartz.png,M,quartz,"a chunk of quartz, a pale, whitish crystal."
stone rc.png,Bear,stone,a grey colored rock shape
that's not how evolution works vixen.png,Vixen,that's not how evolution works,"a twist on the traditional evolutionary timeline in a gradient from green to brown. It starts with the usual ape-to-human progression but then abruptly changes to show fantastical creatures like a bird like winged creature at the end is a question mark, above it is a red X."
seafoam.png,Smolmoss,seafoam,"a light aqua-blue, foaming wave splashing over onto itself."
sunset g.png,Gillipop,sunset,a painterly digital image of a sunset over a body of water. the image is not transparent.
vulnerable.png,Ani,vulnerable,A silhouette of a Greenland Shark outlined in a very bright glowing yellow
