Image URL,Credit,Caption,Alt text
/Nature/weather ee.png,Eldritch-Emojis,weather,"stylized drawing of a sun, wind, water droplets and a cloud"
weather crows.png,Crows,weather,"a pair of clouds, a simplified sun, and a lightning bolt."
/Nature/weather stellar.png,StellarSymbols,weather,a sun shining out from behind a fluffy white cumulus cloud.
clouds petri.png,Petri,clouds,several fluffy white clouds of varying sizes
/Nature/calm seas fractals.png,Fractals,calm seas,A swatch of light blue with small waves inside and dappled blue.
hail mikey.png,Mikey,hail,a grey cumulus-style cloud with hailstones coming from it.
/description/cloudy.png,Petri,cloudy,a sun behind dark grey clouds
cloud with lightning bolt mikey.png,Mikey,cloud with lightning bolt,a grey cumulus-style cloud with an orange lightning bolt coming from it.
hail rae.png,Rae,hail,a grey cloud with chunks of bluish grey ice coming from it
fogbow m.png,M,fogbow,"a silver arch shape, above swirling light grey fog."
/Nature/cloudy crows.png,Crows,cloudy,many white clouds of various sizes
precipitation m.png,M,precipitation,"a grey cloud with three snowflakes, three hailstones, and two raindrops coming from it."
/Nature/hot weather.png,Rae,hot weather,"a sunny desert with a cactus, showing an almost full thermometer."
cloudy stellar.png,StellarSymbols,cloudy,two white cumulus clouds
rain stellar.png,StellarSymbols,rain,a light grey cloud with three raindros coming from it.
/Nature/lightning stellar.png,StellarSymbols,lightning,a bolt of lightning and two drops of rain coming from a cloud.
/Nature/cold weather.png,Rae,cold weather,a tree in the snow next to a thermometer showing a low temperature.
/Nature/rough seas fractals.png,Fractals,rough seas,A swatch of dark blue with large waves inside it. The waves are capped with white foam.
partly cloudy rae.png,Rae,partly cloudy,a cartoon corner sun partly covered by a cloud
lightning vincent.png,Vincent,lightning,A dark grey cloud with yellow streaks of lightning coming from the bottom.
sun petri 3.png,Petri,sun,a yellow circle with rounded lines around it.
snowflakes tonto.png,Tonto,snowflakes,a large snowflake and a small snowflake
/Nature/rain crows.png,Crows,rain,a grey rain cloud with rain
sunshine m.png,M,sunshine,a yellow sun with a light yellow glow around it.
sun petri 1.png,Petri,sun,a yellow circle with many straight lines around it radiating from it.
snowing rae.png,Rae,snowing,a light grey cloud with white snowflakes. They’re outlined in black so it shows up better on white backgrounds
/Nature/sunshower.png,M,sunshower,A raining cloud partly in front of a shining sun.
sunny rae.png,Rae,sunny,a cartoon sun in the corner
sun petri 2.png,Petri,sun,a yellow circle with rounded lines around it.
thunder vincent.png,Vincent,thunder,A dark grey cloud with yellow streaks of lightning coming from the bottom. The yellow streaks have a simple picture of a speaker above them. The speaker has two red exclamation marks on the left of it and a red spiky shape coming from the right part of it.
wind mikey.png,Mikey,wind,a few very light blue curls of wind blowing about two leaves
sunny m.png,M,sunny,a yellow sun with an orange glow around it.
/Nature/thunderstorm crows.png,Crows,thunderstorm,a dark grey storm cloud with rain and lightning
