Image URL,Credit,Caption,Alt text
ace ring m.png,M,ace ring,a yellow hand with a black ring on the middle finger. an arrow points to the ring
/Supports/adaptive shoe 2.png,M,adaptive shoe,"a red adaptive shoe. the top of the shoe is lifted up from the sole and sides, with a zipper to secure it back. there are false laces on the top."
badge.png,M,badge,A blue circle with an orange shape on it and black scribbles like text curling around the bottom.
/Supports/adaptive shoe 1.png,M,adaptive shoe,"a blue adaptive shoe. the top of the shoe is lifted up from the sole and sides, with a zipper to secure it back. there are false laces on the top."
Apron black petri.png,Petri,apron,"A digitally drawn symbol of a black apron with two untied straps, a neck strap, and a pocket in the middle."
Bollenhut.png,M,Bollenhut,"A Bollenhut, a headdress worn as formal traditional dress by some women in the Black Forest, viewed from the side. It's a hat with a white brim, black veil and ribbon, and large woolen pompoms on top. The pompoms are red. At the back is a chain is flowers."
Apron white petri.png,Petri,apron,"A digitally drawn symbol of a white apron with two untied straps, a neck strap, and a pocket in the middle."
Baseball cap.png,StellarSymbols,baseball cap,A desaturated blue baseball cap
bucket hat blue.png,M,bucket hat (blue),A blue bucket hat.
beret fractals.png,Fractals,beret,A bright red beret made of a felt fabric with dark red line art.
boot stellar.png,StellarSymbols,boot,A dark blue lace-up ankle boot
bucket hat yellow.png,M,bucket hat (yellow),A blue bucket hat.
bonnet krow.png,Krow,bonnet,A person with brown skin and brown eyes wearing a red silk bonnet.
boots stellar.png,StellarSymbols,boots,two dark blue lace-up ankle boots
butterfly clip.png,froggygolem,butterfly clip,"three small butterfly shaped plastic hair clips. pink, yellow, and blue pastel colored."
bucket hat green.png,M,bucket hat (green),A blue bucket hat.
bucket hat red.png,M,bucket hat (red),A blue bucket hat.
circlet m.png,M,circlet,A silver circlet with a blue gem in the middle at the front.
bun maker wolf pack 1.png,Wolf,bun maker,A cream-colored bun maker.
converse stellar.png,StellarSymbols,Converse,A dark blue converse-style shoe
claddagh m.png,M,claddagh,"A slightly simplified drawing of a claddagh, a silver ring depicting two hands clasping a heart which hass a crown above it."
bun maker wolf pack 2.png,Wolf,bun maker,A lavender-colored bun maker.
converse shoes stellar.png,StellarSymbols,Converse shoes,two dark blue converse-style shoes
earring m 5.png,M,earring,A round pinkish ear with a silver cuff-type earring.
disability pride pin.png,M,disability pride pin,"A white arrow, pointing to a circular badge printed with the stripes of the disability pride flag. the badge is on an AAC shoulder strap."
earring m 4.png,M,earring,A round warm brown ear with a silver cuff-type earring.
flipflops 3.png,M,flip flops / thongs,"A blue pair of flip flops, known as thongs in Australia."
earring m 1.png,M,earring,A round teal-green ear with a silver cuff-type earring.
flipflops 2.png,M,flip flops / thongs,"An orange pair of flip flops, known as thongs in Australia."
flipper talksense.png,TalkSense,flipper,A green rubber scuba flipper.
earring m 2.png,M,earring,A round yellow ear with a silver cuff-type earring.
fursuit head vixy.png,Vixen,fursuit head,a fursuit head. It has a blue dog with a pink nose. The eyes are large and one is green one is yellow. The fur is textured and appears to be made of a fabric material.
flippers talksense.png,TBy alkSense,flippers,two green green rubber scuba flippers.
earring m 3.png,M,earring,A round warm brown ear with a silver cuff-type earring.
hair tie neon.png,Neon,hair tie,Two thin black cloth hair ties stacked on top of one another.
flower crown.png,M,flower crown,"a flower crown of differently-colored roses (shades of yellow, blue, purple and pink), twined together with green stems and leaves."
flipflops 1.png,M,flip flops / thongs,"A grey pair of flip flops, known as thongs in Australia."
mask_aac_symbol.png,legless rat,mask,"a light blue, light pink and white striped face mask with 2 of each, blue leaves, black hearts and flamingos"
glove m.png,M,glove,A black glove.
Handbag.png,StellarSymbols,handbag,A desaturated blue handbag.
mask vixen.png,Vixen,mask,"A yellow catlike creature with blue eyes, the one on the left is a spiral, it's wearing a light blue medical mask and has a green arrow pointing to the mask."
gloves m.png,M,gloves,A pair of black gloves.
id lanyard.png,Petri,identity lanyard,A digitally drawn emoji of a card on the end of a light blue lanyard. On the card is an emoji yellow simplified person.
mitten rae.png,Rae,mitten,a red mitten
handheld fan rc.png,Bear,handheld fan,A red folding fan with brown wooden sticks that is fully spread out.
keychain m.png,M,keychain,a keychain with a round loop and simple blue circular charm.
mittens gloves esrah.png,Esrah,mittens / gloves,a pair of blue knit gloves.
keffiyeh rae.png,Rae,keffiyeh,"a rectangular keffiyah in green, white, and grey"
