Image URL,Credit,Caption,Alt text
clothes.png,M,clothes,"A light blue button-up shirt, black sports bra, brown bead bracelet, and green cargo shorts."
clothes stellar.png,StellarSymbols,clothes,"a dull blue cargo shorts, hat, socks, and tshirt."
ankle sock.png,TalkSense,ankle sock,a picture of a white ankle sock with a thick black outline
Abaya_1.png,Petri,abaya,A drawing of a simple black abaya.
Abaya_2.png,Petri,abaya,A drawing of a simple pink abaya.
battle jacket.png,M,battle jacket,"a picture of a punk “battle jacket,” a denim jacket with the sleeves to cut off, making it into a vest, and lots of patches on it. Most of the patches are drawn as plain, but there are some with pictures: gold infinity symbol, AAC board/device, anarchist symbol, generic “disabled” symbol (like used in parking spots - a manual wheelchair user stick figure), and a red circle with a black ‘X’ through it."
battle jacket bh.png,Blackholemojis,battle jacket,"a person wearing punk battle jacket. The emoji is focused on their jacket, which is blue and has shoulder spikes, various patches, and pins on it. Three recognizable patches are a rose patch, a black solidarity/resistance fist, and antifascist arrows (three diagonal arrows pointing down and to the left)."
ankle socks.png,TalkSense,ankle sock,a picture of two white ankle socks with thick black outlines
binder 2 stellar.png,StellarSymbols,binder,A dull blue button-up binder
blouse talksense.png,TalkSense,blouse,A frilly pink button-up blouse.
bikini budget.png,Bear,bikini,a purple bikini top and bottom with white polka dots
binder stellar.png,StellarSymbols,binder,A dull blue binder
bra stellar.png,StellarSymbols,bra,A dull blue bra.
Boxers.png,Petri,boxers,A drawing of a pair of grey boxers.
bomber jacket.png,TalkSense,bomber jacket,a picture of a brown leather bomber jacket with a black outline
bra legless rat.png,legless rat,bra,A black bra.
boxer underwear stellar.png,StellarSymbols,boxer underwear,A pair of boxer underwear.
Boyshorts.png,Petri,boyshorts (or bike shorts),A drawing of a pair of grey boyshorts or bike shorts.
cagoule.png,TalkSense,cagoule,A blue cagoule.
cardigan talksense.png,TalkSense,cardigan,A bright green long-sleeved cardigan.
clean underpants leaf.png,Leaf,clean underpants,a pair of navy blue underpants with two light blue diamond shapes
cargo shorts stellar.png,StellarSymbols,cargo shorts,A dull blue pair of cargo shorts.
cargo shorts legless rat.png,legless rat,cargo shorts,A pair of green cargo shorts.
crop top.png,Plum,crop top,A drawing of a light purple crop top.
cloak.png,TalkSense,cloak,a red hooded cloak with purple inside.
crop top esrah.png,Esrah,crop top,a boxy orange shirt made into a crop top. It has a star on the front.
dirndl.png,M,dirndl,"a Tracht-style (as opposed to tourist-style) Dirndl. It has a short-sleeved white blouse with scalloped edges, a blue buttoned vest, a light blue apron tied at the right, and a green skirt."
cropped hoodie esrah.png,Esrah,cropped hoodie,a teal hoodie cropped short.
culottes.png,TalkSense,culottes,"A yellow, mid-length pair of culottes."
