Image URL,Credit,Caption,Alt text
budget can't eat.png,Bear,can't eat,"A simple yellow person with an apologetic expression, an arm infront of them with their hand towards the left. A speech bubble is next to their head, a picture of a plate, fork, and knife crossed out is in the bubble."
i can't fast for medical reasons 2.png,M,I can't fast for medical reasons,"a simple depiction of a person, wearing a blue kippah, eating a nutrient bar. across from them is a silver caduceus (medical symbol)."
i can't fast for medical reasons 3.png,M,I can't fast for medical reasons,a simple depiction of a hijabi person eating a nutrient bar. across from them is a silver caduceus (medical symbol).
i can't fast for medical reasons 1.png,M,I can't fast for medical reasons,a simple depiction of a person eating a nutrient bar. across from them is a silver caduceus (medical symbol).
no dairy wheat or red meat koda.png,Koda,"no dairy, wheat, or red meat","6 colorful triangles forming a round shape together. one blue with a fish on it, one purple with cheese one it, one red with steak on it, one yellow with a banana on it, one brown with a bread loaf on it, and one green with a carrot on it. they’re all on a white and grey plate / circle. the bread, cheese, and steak ones have lower opacity"
/Objects/food/can't eat peas.png,Takara Moon,can't eat peas,several green circles representing peas with a red cross through them to say no/don’t/can’t eat peas
/Objects/food/gluten free.png,M,gluten free,a sheaf of wheat in a 'forbidden' sign.
/Objects/food/no shellfish.png,M,no shellfish,a scallop shell inside a red circle with a line across it.
/Objects/food/kosher.png,Ani,kosher,A drawing of a black circle with a black U inside of it.
/Objects/religion/halal.png,M,halal,a dark green circle with white text saying حلال (halal) in it.
is that vegetarian.png,Lady,is that vegetarian?,a drawing with a cartoon piece of meat in one corner and a green leaf in the other. there is a red question mark in the middle and an X over the meat.
lactose interolerant vixen.png,Vixen,lactose intolerant,a light blue milk carton with a cow in the front. next to it is a red 'not' symbol. the image is outlined in red
/Objects/food/chametz.png,Ani,chametz,A pile of various bread products and some wheat. The wheat is in the back next to it is a loaf of bread a similar loaf of bread is in the front left. Next in the middle of the pile is baguette style bread and in front of that is a few bagels.
/Objects/food/liquid fast.png,Asher,liquid fast,"an image of two cups, a half full water glass and a pink mug with a yellow flower on it"
no pork ani.png,Ani,no pork,: A drawing of a pigs face with a large red ‘X’ over it
/Objects/religion/j/kosher for passover.png,Ani,Kosher for Passover,A black circle that is outlined in gray. In the center of the circle is a U. Outside of the circle to the right is a black P.
/Objects/food/no red meat.png,Rae,no red meat,a piece of red meat with bones sticking out of each end and a red X over it.
/Objects/food/vegan.png,Leaf,vegan,"image is split in half. On one side is fish, glass of milk and chicken leg, with a red X. On the other side is carrot, with green tick"
i don't eat pork ani.png,Ani,I don't eat pork,A simplistic drawing of a purple person the person has a grey speech bubble next to the. In the speech bubble is a drawing of a pigs face with a large ‘X’ over it
/Objects/food/pescetarian.png,Leaf,pescetarian,"image is split in half. On one side is chicken leg, with a red X. On the other side is carrot, glass of milk, and fish, with green tick."
/Objects/food/vegetarian petri.png,Petri,vegetarian,"a drawing of a plate viewed from above. the plate contains broccoli, rice, and carrots"
lactose conscious vixen.png,Vixen,lactose conscious,A  light blue milk carton with a cow in the front. next to it is a yellow symbol of a horizontal line with a dot on each side the image is outlined in yellow
budget refuse to eat.png,Bear,refuse to eat,"A simple yellow person with a neutral expression, both arms crossed over their chest to make an x. A drawing of a plate, knife, and fork is next to them."
/Objects/food/vegetarian.png,Leaf,vegetarian,"image is split in half. On one side is fish, and chicken leg, with a red X. On the other side is a carrot, and glass of milk with green tick."
