Image URL,Credit,Caption,Alt text
0 fat milk.png,Leaf,0% fat milk,a bottle of milk with a red lid and a red label saying 'milk 0% fat'
/Objects/food/apple juice.png,M,apple juice,"a glass half full of a yellowy orange liquid, with a red apple next to it."
/Objects/food/apple juice box.png,Tonto,apple juice box,a green juice box with a straw and a red apple on it.
/Objects/food/almond milk.png,Neon,almond milk,"a carton coloured in several shades of cream. it says 'Almond Milk' on the front, and has a picture of an almond in a light brown circle"
big red pop.png,Esrah,big red pop,a red pop can with a splash design that reads 'pop' on the front.
berry smoothie millie.png,Millie,berry smoothie,"a pink liquid, with three berries on top, in an oval-shaped glass."
apple juice koda.png,Koda,apple juice,a see through pitcher with yellow liquid in it. there’s two apples to the right of the pitcher. one is a full apple and the other is a slice
chai tea vixen.png,Vixen,chai tea,"a tea bag with a tag labeled 'Chai' and various spices associated with chai tea next to the bag. The spices include cinnamon sticks, star anise, cardamom pods, and peppercorns."
cream pop.png,Esrah,cream pop,"a cream colored pop can with a wavy design, that reads 'pop' on the front."
big red soda.png,Esrah,big red soda,a red soda can with a splash design that reads 'soda' on the front.
chamomile tea vixen.png,Vixen,chamomile tea,a chamomile tea bag with two chamomile flowers and leaves. The tea bag has a tag labeled 'Chamomile.'
dr nasty gillipop 1.png,Gillipop,Dr Nasty,"a light blue paper cup with three cans of sods being poured into it. one is red, one is green and yellow and one is orange with the toki pona symbol on it in green. the cup has a skull symbol on it and the liquid is an unappetizing brownish color"
coffee cup millie.png,Millie,coffee cup,a white travel cup with dark brown lid and two coffee beans on a sleeve around it.
/Objects/food/coffee cup.png,Tonto,coffee cup,a white travel coffee cup with a black lid and brown sleeve.
dr nasty gillipop 2.png,Gillipop,Dr Nasty,"a light blue paper cup with three cans of sods being poured into it. one is red, one is green and yellow and one is orange with the toki pona symbol on it in green. the cup has a skull symbol on it and the liquid is an unappetizing brownish color. the whole symbol has a white outline"
coffee please m.png,M,"coffee, please","a person with pale skin, glasses and brown hair wearing a green short-sleeved shirt and holding an AAC tablet. From the tablet is a speech bubble containing a brown mug with two wavy heat lines coming from it. Their oother hand is held out to recieve the mug, which is held out to them by a second person. The second person has pale skin, glasses, grey hair and goatee and a light grey short-sleeved shirt"
coffee mug millie.png,Millie,coffee mug,a white china cup on a saucer with brown liquid in it.
ginger tea vixen.png,Vixen,ginger tea,a ginger tea bag with a tag labeled 'ginger.' A piece of ginger root and one cut in half showing the yellow inside are placed beside the tea bag.
coke pop.png,Esrah,coke pop,"a red pop can with a white wavy design underneath the word pop, which is written up the side."
cream soda.png,Esrah,cream soda,"a cream colored soda can with a wavy design, that reads 'soda' on the front."
/Objects/food/grape juice box.png,Tonto,grape juice box,a purple juice box with a straw and a cluster of grapes on it.
cranberry juice koda.png,Koda,cranberry juice,a see through pitcher with dark red liquid in it. there’s 4 cranberries to the right of the pitcher stacked ontop of either.
grape juice fg 2.png,froggygolem,grape juice,a wide curvy plastic bottle of purple grape juice. The label says 100% juice grape juice and has purple curly lines and two tiny bunches of grapes on it. there is a small 'kosher' symbol on the side of the label.
hot chocolate fractals.png,Fractals,hot chocolate,A cream mug with a brown drink inside. There are three marshmallows in the drink and coco powder sprinkled on top.
eggnog fractals.png,Fractals,eggnog,a glass with a cream coloured drink inside. It has a cinnamon stick in it and cinnamon sprinkled on top.
green tea koda.png,Koda,green tea,"a teabag with a green leaf on the label, and green inside the bag."
lemonade leo.png,Vincent,lemonade,a cup with yellow liquid inside. a red and white stripe straw is coming out of it. next to the cup is a yellow lemon
fruit smoothie vincent.png,Vincent,fruit smoothie,"A glass with red-pink liquid inside. Beside the glass on the right is a strawberry, banana, and three blueberries. A green arrow is pointing from the fruits to the glass."
/Objects/food/ice water.png,Neon,ice water,a clear cup with  blue water and ice cubes floating in the water.
lemon soda vixen.png,Vincent,lemon soda,A glass of yellow soda. On the top is a slice of lemon.
