Image URL,Credit,Caption,Alt text
fruit stellar.png,StellarSymbols,fruit,"An apple, an orange, and a strawberry."
red apple.png,Neon,apple (red),A red apple.
apple gillipop.png,Gillipop,apple,a digital painting of a red apple.
green apple.png,Neon,apple (green),A green apple.
banana overripe.png,Neon,banana (overripe),a banana with three visible bruises.
banana.png,Neon,banana,A yellow banana.
banana unripe.png,Neon,banana (unripe),a banana with slightly green ends.
blueberry.png,Neon,blueberry,three blueberries grouped together with two leaves sticking off to the right side behind them.
cherry.png,Neon,cherry,Two cherries connected by their stem that has a single leaf at the top.
cherries.png,Rae,cherries,two broght red cherries.
granny smith apple koda.png,Koda,granny smith apple,a green apple with 1 shadow and 2 highlights and a brown stem
cranberries m.png,M,cranberries,"three cranberries, with two small leaves at the side"
citrus creature's creations.png,Creature's creations,citrus,"A lemon, a lime, and half of an orange."
kiwi fruit rae.png,Rae,kiwi fruit,"a hairy brown fruit. It’s been cut to show the inside, which is light green with black seeds."
dried apricot.png,M,dried apricot,A dried apricot
dragonfruit.png,M,dragonfruit,A whole dragonfruit behind a dragonfruit cut in half
loquat m.png,M,loquat,a single loquat with a very short stem.
kiwi bh.png,Blackholemojis,kiwi,"a kiwi fruit, cut in half."
lemon wedge.png,Gleepglorpian,lemon wedge,A lemon wedge with a 'sparkle' symbol next to it
mango ac.png,Crows,mango,a drawing of a mango with a leaf and brown stem
mango bh.png,Blackholemojis,mango,a mango.
orange gleepglorpian.png,Gleepglorpian,orange,An orange
lime wedge.png,Gleepglorpian,lime wedge,A lime wedge with a 'sparkle' symbol next to it
opal apple koda.png,Koda,opal apple,a yellow apple with 1 shadow and 2 highlights and a brown stem. the apple has black freckles on it
orange rc.png,Bear,orange,a orange with a green stem and leaf
peach rc.png,Bear,peach,a peach with a lighter bottom and two leaves
orange slice.png,Gleepglorpian,orange slice,A slice of orange with a 'sparkle' symbol next to it
red apple koda.png,Koda,red apple,a red apple with 1 shadow and 2 highlights and a brown stem
pomegranate proxy.png,Proxy,pomegranate,"A drawing of a pomegranate, sliced open to expose its seeds and white flesh."
green olives.png,M,green olives,A small pile of pitted green olives
strawberry gp 1.png,Gillipop,strawberry,"a small, simple cartoony strawberry"
raspberry.png,Neon,raspberry,a bright raspberry with a great leafy stem.
pear rc.png,Bear,pear,a green pear with a brown stem and lighter markings
tangerine neon.png,Neon,tangerine,A simplistic drawing of a tangerine with a canvas texture on it.
strawberry gp 2.png,Gillipop,strawberry,a simple cartoony strawberry
strawberry.png,Neon,strawberry,a strawberry with a leafy green stem
