Image URL,Credit,Caption,Alt text
burqa.png,M,burqa,a blue burqa.
burqa 1.png,M,burqa,a grey burqa.
chador 2.png,M,chador,a simple depiction of a person with brown skin wearing a pink chador.
chador 4.png,M,chador,a simple depiction of a person with beige skin wearing an indigo chador.
chador 1.png,M,chador,a simple depiction of a person with brown skin wearing a purple chador.
chador 3.png,M,chador,a simple depiction of a person with beige skin wearing a pink chador.
hijab1.png,Petri,hijab,a faceless person wearing a pink hijab.
hijab2.png,Petri,hijab,a faceless person wearing a blue hijab.
niqab1.png,M,niqab,The head and shoulders of a simplified emoji yellow person wearing a black niqab.
niqab2.png,M,niqab,The head and shoulders of a simplified person with dark brown skin wearing a black niqab.
niqab3.png,M,niqab,The head and shoulders of a simplified person with warm brown skin wearing a black niqab.
niqab4.png,M,niqab,The head and shoulders of a simplified person with light brown skin wearing a black niqab.
niqab5.png,M,niqab,The head and shoulders of a simplified person with pale skin wearing a black niqab.
kufi.png,M,kufi,a simple white kufi at an angle
person wearing kippah 2.png,Petri,kippah,a person looking to the left and wearing a light blue kippah.
person wearing kippah 1.png,Petri,kippah,a person looking to the left and wearing a light pink kippah.
person wearing kippah 1b.png,Petri,kippah,a person looking to the left and wearing a light pink kippah with a clip on it.
person wearing kippah 3b.png,Petri,kippah,a person looking to the left and wearing a blue kippah with a golden Star of David on it and a clip.
person wearing kippah 2b.png,Petri,kippah,a person looking to the left and wearing a light blue kippah with a clip on it.
person wearing kippah 3.png,Petri,kippah,a person looking to the left and wearing a blue kippah with a golden Star of David on it.
kippah ani 1.png,Ani,kippah,A drawing of a dark purple circle with a gold Magen David on it
kippah ani 2.png,Ani,kippah,A drawing of a circle with the trans pride flag colors inside of it and a dark blue Magen David in the center
kippot petri m.png,"Petri, adapted by M",kippot,"Two people, one partly in front of the other, looking to the left and wearing kippot. The person behind wears a light blue kippah, and the person in front wears blue kippah with a golden Star of David on it."
tichel 2a.png,Petri,tichel,"a person wearing a tichel, depicting just a head from the front without any facial features. the tichel is wrapped around the back of their head with one ribbon in the middle of it and a tail going under their chin, with a shorter tail on top of the longer one. the tichel is pink with a dark pink ribbon."
mitpachat m 1.png,M,mitpachat,"an emoji yellow face in profile, wearing a dark blue mitpachat with golden tassels wrapped up at the top of the head"
tichel 1a.png,Petri,tichel,a person viewed from the side and wearing a tichel. the tichel wraps around their head with a band in the middle that trails off underneath their chin. the tichel is light blue with a medium-dark blue band.
turban 2.png,Petri,turban,a person with a black beard wearing a light blue turban.
mitpachat m 2.png,M,mitpachat,"an emoji yellow face in profile, wearing a dark red mitpachat with golden tassels wrapped up at the top of the head"
tichel 1b.png,Petri,tichel,"a person viewed from the side and wearing a tichel. the tichel wraps around their head with a band in the middle that trails off underneath their chin. on the first emoji, the tichel is light blue with a medium-dark blue band. on the second emoji, the tichel is pink with a dark pink band"
turban recolor.png,Petri & M,turban,a person with a black beard wearing a light green turban.
tichel.png,Kip,tichel,a light blue tichel shown from the side
turban 1.png,Petri,turban,a person with a black beard wearing a light pink turban.
catholic veil 2a.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and transparent with white lineart.
tichel 2b.png,Petri,tichel,"a person wearing a tichel, depicting just a head from the front without any facial features. the tichel is wrapped around the back of their head with one ribbon in the middle of it and a tail going under their chin, with a shorter tail on top of the longer one. the tichel is light blue with a dark blue ribbon."
catholic veil 1a.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and very transparent with flower patterns and white lineart.
catholic veil 3b.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and very transparent with flower patterns and light blue lineart.
turban 3.png,Petri,turban,a person with a black beard wearing an orange turban.
catholic veil 3a.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and transparent with flower patterns and light blue lineart.
catholic veil 4b.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and very transparent with light blue lineart.
catholic veil 1b.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and transparent with flower patterns and white lineart.
headscarf 2.png,M,headscarf,a patterned green headscarf.
headscarf 3.png,M,headscarf,a patterned pink-purple headscarf.
catholic veil 2b.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and very transparent.
zucchetto brown.png,M,zucchetto (brown),a brown zucchetto.
zucchetto purple.png,M,zucchetto (purple),a purple zucchetto.
catholic veil 4a.png,Petri,catholic veil,a faceless person wearing a Catholic veil. the veil is white and transparent with light blue lineart.
zucchetto red.png,M,zucchetto (red),a red zucchetto.
zucchetto white.png,M,zucchetto (white),a white zucchetto.
zucchetto black.png,M,zucchetto (black),a black zucchetto.
