Image URL,Credit,Caption,Alt text
i'm bad at pain scales koda 1.png,Koda,I'm bad at pain scales,"an off white chart in the top left corner that has 4 tiers, a green one at the bottom that says 1, then a yellow one that says 2, and orange one that says 3, and at the top a red one that says 4. there’s a brown face in the bottom right corner with a confused look on its face. there’s 2 red question marks above the face and a red arrow in the bottom left corner going from the face to the chart."
i'm bad at pain scales koda 2.png,Koda,I'm bad at pain scales,"an off white chart in the top left corner that has 4 tiers, a green one at the bottom that says 1, then a yellow one that says 2, and orange one that says 3, and at the top a red one that says 4. there’s a brown face in the bottom right corner with a confused look on its face."
i need a description of each level koda 1.png,Koda,I need a description of each level,"an off white chart to the left that has 4 tiers, a green one at the bottom that says 1, then a yellow one that says 2, and orange one that says 3, and at the top a red one that says 4. next to it has 4 off white arrows coming off each level, to the right of the arrows is 2 question marks corresponding to each level's color. at the bottom in the middle is a yellow warning sign."
Pain-chart-1-froggygolem.png,froggygolem,pain chart body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Dark brown skin."
Pain-chart-2-froggygolem.png,froggygolem,pain chart body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Medium brown skin."
i need a description of each level koda 2.png,Koda,I need a description of each level,"an off white chart to the left that has 4 tiers, a green one at the bottom that says 1, then a yellow one that says 2, and orange one that says 3, and at the top a red one that says 4. next to it has 4 off white arrows coming off each level, to the right of the arrows is 2 question marks corresponding to each level's color"
Pain-chart-blue-froggygolem.png,froggygolem,pain chart body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Blue skin."
Pain-chart-body-areas.png,froggygolem,pain chart body outline with colored areas,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line, ambiguous genital anatomy. Colors are: light blue head, orange shoulders, dark green neck, magenta chest, light brown arms, black elbows, light green sides, white belly, brown hips, light purple genitals, dark purple butt, dark blue legs, pink knees, red ankles, yellow hands, gray wrists, and bright blue feet."
Pain-chart-3-froggygolem.png,froggygolem,pain chart body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Beige skin."
Pain-chart-yellow-froggygolem.png,froggygolem,pain chart body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Yellow skin."
Pain-chart-pastel-froggygolem.png,froggygolem,pain chart body outline with coloured areas,"Front and back outlines of a body, eyes closed chest indicated by a line, no hair. Areas separated with lines and color coded as follows. Light blue head, light green neck, light orange shoulders, pink chest, blue arms, light red elbows, brown wrists, light yellow hands, light yellow green sides, white tummy, gray back, light brown hips, light purple butt and genital area, light maroon legs, light deep green knees, light navy blue ankles, and light gray feet."
Pain-chart-gray-froggygolem.png,froggygolem,pain chart body body outline,"Front and back outlines of a medium sized body, eyes closed, no hair, chest indicated by a line. Gray skin."
Level1-froggygolem.png,froggygolem,level 1,A glowing dark gray oval with a 1 in the center and one gray ray coming off it.
Level2-froggygolem.png,froggygolem,level 2,A glowing purple oval with a 2 in the center and two purple rays coming off it.
pain scale plum.png,Plum,pain scale,": A drawing of a grey oval with a simplified yellow human standing inside, frowning and with jagged lines coming off of them to indicate pain. 10 triangular shapes or “slices” come out from this center oval, each labeled with numbers 1 through 10 to represent different pain levels. Each is a different color, with 1 being a bluish green, and the colors shifting as the numbers get higher through green, yellow, orange, and red, with 10 being dark red. Each slice also has a pair of cartoony eyes with eyebrows drawn on its thick end to show the expression someone might have at each respective pain level. The expressions start happy at 1, and gradually get more visibly distressed as the numbers get higher, with 10 having the eyes squeezed shut and crying profusely."
