Image URL,Credit,Caption,Alt text
pain asl tcc.png,TCC,pain (ASL),"Emoji of two pink hands. They are curled up into a fist, besides their pointer fingers and the fingers are an extremely small distance apart. The left hand’s outside can be seen and the right hand’s palm can be seen. There are purple curved arrows, one pointing upwards on the left hand and one pointing downwards on the right hand. This signifies they are alternating turning in and out. There are red lightning-shaped marks above the hands, a big one on the left and a smaller one on the right. These marks signify that the ASL for “pain” is being signed."
Aching-pain1.png,froggygolem,aching pain,Dark purple oval with blobs around it. Curved dark brown skin fills the bottom half of the background.
Aching-pain2.png,froggygolem,aching pain,Dark purple oval with blobs around it. Curved medium brown skin fills the bottom half of the background.
Aching.png,froggygolem,aching,Dark purple oval with blobs around it.
Aching-pain.png,froggygolem,aching pain,Dark purple oval with blobs around it. Curved yellow skin fills the bottom half of the background.
Burning-pain1.png,froggygolem,burning pain,Orange-red oval with flames around it. Curved dark brown skin fills the bottom half of the background.
Aching-pain3.png,froggygolem,aching pain,Dark purple oval with blobs around it. Curved beige skin fills the bottom half of the background.
Burning-pain.png,froggygolem,burning pain,Orange-red oval with flames around it. Curved yellow skin fills the bottom half of the background.
chronic pain rayin.png,Rayin,chronic pain,A yellow arm facing up. On the top of the arm is a red blotch surrounded by red triangles and lightning bolts to represent pain. In the top right corner is a white clock with black arrow hands surrounded by a blue arrow going around the clock in a circle.
Burning-froggygolem.png,froggygolem,burning,Orange-red oval with flames around it.
Burning-pain3.png,froggygolem,burning pain,Orange-red oval with flames around it. Curved beige skin fills the bottom half of the background.
Cold-pain.png,froggygolem,cold pain,Light blue oval with snowflakes around it. Curved yellow skin fills the bottom half of the background.
Burning-pain2.png,froggygolem,burning pain,Orange-red oval with flames around it. Curved medium brown skin fills the bottom half of the background.
Cold.png,froggygolem,cold,Light blue oval with snowflakes around it.
Cold-pain3.png,froggygolem,cold pain,Light blue oval with snowflakes around it. Curved beige skin fills the bottom half of the background.
chronic pain ot.png,Ottertime,chronic pain,a light blue arm with blue finger tips as well as paw pads facing up. On the top of the arm is a red blotch surrounded by red triangles and lightning bolts to represent pain. In the top right corner is a white clock with black arrow hands surrounded by a blue arrow going around the clock in a circle.
Cold-pain2.png,froggygolem,cold pain,Light blue oval with snowflakes around it. Curved medium brown skin fills the bottom half of the background.
Constant-pain1.png,froggygolem,constant pain,A thin green arrow pointing right above a glowing red oval. Curved dark brown skin fills the bottom half of the background.
Cold-pain1.png,froggygolem,cold pain,Light blue oval with snowflakes around it. Curved dark brown skin fills the bottom half of the background.
Constant-pain.png,froggygolem,constant pain,A thin green arrow pointing right above a glowing red oval. Curved yellow skin fills the bottom half of the background.
Cramping-pain1.png,froggygolem,cramping pain,A dark magenta blob squeezed on both sides by anvil shaped blobs with carrot shapes pointing in. Curved dark brown skin fills the bottom half of the background.
Constant.png,froggygolem,constant,A thin green arrow pointing right.
Constant-pain3.png,froggygolem,constant pain,A thin green arrow pointing right above a glowing red oval. Curved beige skin fills the bottom half of the background.
Crunching.png,froggygolem,crunching,A cracked tan glowing oval with jagged blobs around it.
Constant-pain2.png,froggygolem,constant pain,A thin green arrow pointing right above a glowing red oval. Curved medium brown skin fills the bottom half of the background.
Cramping-pain.png,froggygolem,cramping pain,A dark magenta blob squeezed on both sides by anvil shaped blobs with carrot shapes pointing in. Curved yellow skin fills the bottom half of the background.
Crunching-pain3.png,froggygolem,crunching pain,A cracked tan glowing oval with jagged blobs around it. Curved beige skin fills the bottom half of the background.
Cramping.png,froggygolem,cramping,A dark magenta blob squeezed on both sides by anvil shaped blobs with carrot shapes pointing in.
Cramping-pain3.png,froggygolem,cramping pain,A dark magenta blob squeezed on both sides by anvil shaped blobs with carrot shapes pointing in. Curved beige skin fills the bottom half of the background.
crying a lot from pain bh 1.png,Blackholemojis,crying a lot from pain,"a face with with clenched teeth, flushed cheeks, closed eyes, scrunched eyebrows, and lots of tears running down both sides of their face from pain. On the top right and bottom left of both are light red zigzag marks to indicate pain"
Cramping-pain2.png,froggygolem,cramping pain,A dark magenta blob squeezed on both sides by anvil shaped blobs with carrot shapes pointing in. Curved medium brown skin fills the bottom half of the background.
Crunching-pain.png,froggygolem,crunching pain,A cracked tan glowing oval with jagged blobs around it. Curved yellow skin fills the bottom half of the background.
crying a lot from pain bh 2.png,Blackholemojis,crying a lot from pain,"a face with with open mouth, flushed cheeks, closed eyes, scrunched eyebrows, and lots of tears running down both sides of their face from pain. On the top right and bottom left of both are light red zigzag marks to indicate pain"
Crunching-pain1.png,froggygolem,crunching pain,A cracked tan glowing oval with jagged blobs around it. Curved dark brown skin fills the bottom half of the background.
Dull.png,froggygolem,dull,A dark gray glowing oval with horizontal thin rectangles around it.
Dull-pain.png,froggygolem,dull pain,A dark gray glowing oval with horizontal thin rectangles around it. Curved yellow skin fills the bottom half of the background.
Crunching-pain2.png,froggygolem,crunching pain,A cracked tan glowing oval with jagged blobs around it. Curved medium brown skin fills the bottom half of the background.
Dull-pain2.png,froggygolem,dull pain,A dark gray glowing oval with horizontal thin rectangles around it. Curved medium brown skin fills the bottom half of the background.
Dull-pain3.png,froggygolem,dull pain,A dark gray glowing oval with horizontal thin rectangles around it. Curved beige skin fills the bottom half of the background.
Dull-pain1.png,froggygolem,dull pain,A dark gray glowing oval with horizontal thin rectangles around it. Curved dark brown skin fills the bottom half of the background.
Episodic-pain.png,froggygolem,episodic pain,A green arrow pointing right is broken into four offset sections with large gaps between them. There is a red glowing oval in the center. Curved yellow skin fills the bottom half of the background.
Episodic-pain1.png,froggygolem,episodic pain,A green arrow pointing right is broken into four offset sections with large gaps between them. There is a red glowing oval in the center. Curved dark brown skin fills the bottom half of the background.
Episodic.png,froggygolem,episodic,A green arrow pointing right is broken into four offset sections with large gaps between them.
Episodic-pain3.png,froggygolem,episodic pain,A green arrow pointing right is broken into four offset sections with large gaps between them. There is a red glowing oval in the center. Curved beige skin fills the bottom half of the background.
Hot-pain.png,froggygolem,hot,A red glowing oval with vertical squiggly dark red lines around it. Curved yellow skin fills the bottom half of the background.
