Image URL,Credit,Caption,Alt text
person fever 1.png,Bear,person,"a white freckled person with dirty ginger hair, they have a light blue and teal eye. the person is wearing red glasses and a purple shirt with a daisy on it."
person fever 2.png,Bear,person,"a brown-skinned person with vitiligo and pointed ears. the person has a light blonde mullet with shaggy bangs covering their eyes. they are wearing a blue collar with a gold tag, and a light blue collared shirt"
person fever 6.png,Bear,person,a light skinned person with green eyes and shaggy light brown hair. a yellow patterned scarf ties their hair back. there is a large scar across the person's face. they are wearing a dark grey t-shirt
person fever 4.png,Bear,person,"a light brown skinned person with brown eyes. the person is wearing a pink hijab with a white underscarf and a white bow clipped to one side. they are also wearing a grey striped shirt, and are chewing a red chewlry necklace"
person fever 5.png,Bear,person,a light brown skinned person with green eyes. the person is wearing a black niqab
person fever 3.png,Bear,person,"a light-skinned person with scars visible on their shoulder. a pink bandage with darker and lighter pink hearts holds a nasal cannula to their face. they have dark brown shaggy scene hair. one side of their face is framed by hair highlighted with lime raccoon tail hair pattern, and the other side with pink raccoon tail hair pattern. they are wearing a rainbow striped shirt off the shoulders, with two black sports bra straps visible underneath"
person speakupsymbols.png,SpeakUpSymbols,person,"a drawing of a light-skinned person from the chest up. they have a blue striped shirt, green squared glasses and brown hair tied in two ponytails"
person m 2.png,M,"person (long hair, beard, blue shirt)","a head and shoulders portrait of a person with brown skin, dark brown long wavy hair and beard, brown eyes. one eye is pointing forward and one is pointing outwards, and they have a long asymmetrical nose. they are wearing a blue t-shirt."
person beard tattoos m 1.png,M,"person (beard, tattoos)","a head and shoulders portrait of a person with light skin, brown straight long beard and short hair, and two black stud earrings in each ear, one in the earlobe and one higher. They are wearing a dark grey singlet and have abstract black tattoos on their arms and shoulders."
person down syndrome m 3.png,M,"person (down syndrome, ponytail)",a head and shoulders portrait of a person with down syndrome with light skin and a brown ponytail. they are wearing a purple t-shirt.
person beard tattoos m 3.png,M,"person (beard, tattoos)","a head and shoulders portrait of a person with warm brown skin, grey straight long beard and short hair, and two black stud earrings in each ear, one in the earlobe and one higher. They are wearing a dark grey singlet and have abstract black tattoos on their arms and shoulders."
person m 6.png,M,"person (down syndrome, ponytail)",a head and shoulders portrait of a person with down syndrome with light skin and a black ponytail. they are wearing a purple t-shirt and are smiling.
person m 1.png,M,"person (long hair, beard, red shirt)","a head and shoulders portrait of a person with light skin, dark brown long wavy hair and beard, brown eyes. one eye is pointing forward and one is pointing outwards, and they have a long asymmetrical nose. they are wearing a red t-shirt."
person long hair stubble m 1.png,M,"person (long hair, stubble)","a head and shoulders portrait of a person with light brown skin, black long straight hair. their eyes are looking up and they have black stubble. they are wearing a blue t-shirt."
person m 7.png,M,"person (down syndrome, ponytail)",a head and shoulders portrait of a person with down syndrome with light skin and a black ponytail. they are wearing a purple t-shirt.
person beard tattoos m 2.png,M,"person (beard, tattoos)","a head and shoulders portrait of a person with light skin, silver straight long beard and short hair, and two black stud earrings in each ear, one in the earlobe and one higher. They are wearing a dark grey singlet and have abstract black tattoos on their arms and shoulders."
