Image URL,Credit,Caption,Alt text
people1.png,Kit,people,"Three faceless figures, with different body types, standing next to each other. They are all with warm yellow skin."
people2.png,Kit,people,"Three faceless figures, with different body types, standing next to each other. They are one with medium dark tone skin, one with dark tone skin, and one with light medium tone skin."
people3.png,Kit,people,"Three faceless figures, with different body types, standing next to each other. They are one with blue skin, one with ref skin, and one with green skin."
people rc.png,Bear,people,"there are three figures standing together. A big yellow figure stands in front, behind it is a white figure with a star on its chest, and a short slightly fluffy blue figure."
adult bh.png,Blackholemojis,adult,an adult with an arrow drawn between them and a plant with multiple flowers and leaves.
people dusty.png,Dusty,people,"a group of people standing together. It includes a green person in a wheelchair, a pink person standing, a blue person standing with AAC, a yellow person in a power wheelchair, and a purple person on the ground who does not have legs."
people rayin.png,Rayin,people,"From left to right, a pink person with green eyes and green shirt, a yellow person with brown eyes and a blue shirt and a brown person with blue eyes and a turquoise shirt"
anybody pheonix.png,Pheonix,anybody,A blue figure from the neck up with 5 brown arrows pointing out arranged in a circle on its face.
ally.png,Esrah,ally,"a yellow person and a red person with their arms around each other, looking to the side. The yellow one has a fist raised and a speech bubble with an equals sign, a heart, a plant, and a peace sign. The red one has bandages on their head and their arm in a sling."
adult.png,M,adult,a blue figure. to the right of them is a tall yellow arrow pointing at a blue bar and reaching it.
baby bh.png,Blackholemojis,baby,a baby or infant with an arrow drawn between them and a closed seed.
anybody m.png,M,anybody,"a yellow figure of a person. there are six red arrows coming form behind the figure, pointing in different directions."
Archivist.png,Petri,archivist,a person holding a box of files.
baby petri 2.png,Petri,baby,"an emoji yellow head, sucking on a light pink pacifier. it has wide eyes and light pink blush in a neutral expression"
Arab.png,Petri,Arab,a person wearing a kufiya and a thobe.
au pair m.png,M,au pair,"a dark yellow figure with a small light yellow figure; the dark yellow figure is shaking hands with a purple figure. an arrow goes from the shaking hands to the purple figure, with their hands on the shoulders of the small yellow figure."
boss evan.png,Evan,boss,a yellow figure in a suit.
arab koda.png,Koda,Arab,"a person with the flag of arab league as their skin, with the symbol in their tummy."
baby petri 1.png,Petri,baby,"a nearly-featureless emoji yellow head, sucking on a light pink pacifier."
boy pheonix 1.png,Pheonix,boy,a simplified figure of a short cyan person that has a square body with the right half being a lighter cyan. The image has white line art
baby petri 3.png,Petri,baby,"an emoji yellow head, sucking on a light pink pacifier. it is looking downwards and is tearing up."
bedsheet ghost rae.png,Rae,bedsheet ghost,"a little kid in a ghost costume, which only shows their arms and legs. They wear purple pants and hold a green and orange treat bag."
boy pheonix 2.png,Pheonix,boy,a simplified figure of a short cyan person that has a square body with the left half being a lighter cyan. The image has black line art
baby rae.png,Rae,baby,a baby with sparse black hair in a pale yellow swaddle.
boy vixen.png,Vixen,boy,"a simplified features a blue, rounded figure with large pointed ears resembling a stylized animal or plush toy. A heart-like symbol with a arrow on top, indicating masculinity, is drawn on the face,  A green arrow points upwards indicating a younger age."
boy.png,M,boy,"a child with brown skin, glasses, and straight black hair that goes to around his neck. he's wearing a colorful bracelet, purple shoes, green pants, and a blue shirt with a mars/'male' symbol on it."
boy stellar.png,StellarSymbols,boy,a short yellow figure with a red mars sign for a head.
