Image URL,Credit,Caption,Alt text
self-advocacy stellar.png,Stellar,self-advocacy,A yellow figure with their arms raised in the air and a white spiky 'power' shape around them
bigotry is not phobia.png,M,bigotry is not phobia,"in the top left is a glaring yellow face with a censored word, representing a slur, in a speech bubble coming from their mouth. in the bottom right is a frightened face with a dark cloud behind it. in the top right and bottom left is a dark red 'does not equal' sign."
advocacy crows.png,Crows,advocacy,an exclamation bubble with a stop symbol on it.
adults can have separation anxiety esrah.png,Esrah,adults can have separation anxiety,"a person anxiously standing at a distance from their loved ones. They are a bald and wear a green hoodie and cargo pants. Above them are two red exclamation points, and the number 18 with an upwards pointing arrow beside them. Their loved ones are a dog and an indistinct person using forearm crutches, and they stand in front of a red heart. A red and yellow path leads between the two"
cis is not a slur ottertime.png,Ottertime,cis is not a slur,"on the left, a venus symbol with an equal sign in the circle and a mars symbol with an equal sign in the circle are side by side. on the right there is a bright  spiky red bubble with a dollar sign, an exclamation mark, a hashtag, and a question mark inside. Between the venus and mars symbols and the red spiky bubble, a dark red unequal sign is present to show that those two things aren't the same."
all bodies are good bodies.png,Esrah,all bodies are good bodies,"several people of various sizes, heights, abilities, and ethnicities, in a row, with a light green border. over all of them is a green bracket and a thumbs up."
being trans is not self harm koda.png,Koda,being trans is not self harm,"a trans flag on the top left corner, a green arrow is pointing down next to it to two red spiky blobs to represent harm, the arrow is crossed out by a red X"
consent.png,CC,consent,a young person with a red shirt points at themself and gives a thumbs up in agreement with a green checkmark at the viewers top left.
arab does not equal muslim koda.png,Koda,Arab does not equal Muslim,"a person with the flag of arab league as their skin, with the symbol in their tummy. next to them is a red ≠ and next to that is the islam symbol, a moon and a star in yellow."
be gentle.png,Tonto,be gentle,"A yellow person holding a light pink heart in their chest , next to them there is a speech bubble coming from a third party with a light pink heart & sparkle around it ."
don't call an ambulance.png,Petri,don't call an ambulance,a drawing of a phone with an ambulance and a green phone symbol on it. a large red X is drawn over the phone.
ask first plum.png,Plum,ask first,"A drawing of a green question mark (?) inside a speech bubble, with a blue number 1 floating above it towards the bottom right corner of the image"
call an ambulance.png,Petri,call an ambulance,a drawing of a phone with an ambulance and a green phone symbol on it.
Do not correct my words Wolf.png,Wolf,Do not correct my words.,"A gray abstract person on the left has a speech bubble with three black lines and one red line, indicating words, and a dark red line striking it out. On the right is a purple abstract person with a speech bubble with four black lines and one green line, indicating words."
autonomy.png,CC,autonomy,"a young person with a red shirt is standing and smiling at the camera, with lines that resemble parenthesis around them and a shadow underneath them."
