Image URL,Credit,Caption,Alt text
Aftercare_1.png,Petri,aftercare,A drawing of two people sharing a large pink blanket. In the corner is a clock with a pink section and an arrow going from the start to the end of that section.
Aftercare_2.png,Petri,aftercare,A drawing of two people sharing a large pink blanket. In the corner is a clock with a pink section and an arrow going from the start to the end of that section. In the bottom corner is a purple dildo and a brown paddle.
69.png,M,69,"two very simple warm-toned figures, depicted as a circular head and a long, curving shape, in a representation of the 69 position. there is a transparent yellow around their heads and where their genitals would be."
asshole.png,M,asshole,"A red glyph shaped like a rounded 'w,' with a dark oval in the centre at the bottom"
butt plug plum.png,Plum,butt plug,A simple drawing of a grey metal butt plug.
bdsm scene chrome.png,cytochrome-sea,BDSM scene,"a bdsm logo next to a theatre scene with two curtains drawn back, a blue sky and a house"
Butt Plug Ani.png,Ani,Butt Plug,A red butt plug
cloth packer.png,Ani,cloth packer,A very simple drawing of a packer. The packer has a barely defined head. The packer is colored light purple and is outlined in dark blue
condom talksense.png,TalkSense,condom,an upright light yellow condom with the shape of a penis vaguely visible under it.
condom.png,M,condom,a condom in a blue sealed wrapper.
condom chrome.png,cytochrome-sea,condom,a condom and condom wrapper
consent chrome.png,cytochrome-sea,consent,two yellow hands touching each other with a heart on top
dental dam chrome.png,cytochrome-sea,dental dam,a blue dental dam
cunt.png,M,cunt,"A red glyph shaped like an almond, with a vertical line in the centre"
dick.png,M,dick,A red glyph with the approximate shape of an erect penis
dildo chrome.png,cytochrome-sea,dildo,a shiny purple dildo
don't touch here there chrome.png,cytochrome-sea,don't touch here / there,a crossed out yellow hand touching a red target
erotica 1.png,Harlow,erotica,A blue book with three 'x's on the cover.
fantasy.png,Harlow,fantasy,A thought bubble with three 'x's surrounded by love hearts.
deepthroat.png,Ani,deepthroat,a dark blue silhouette of the head and shoulders of a person. where their mouth is there is a white arrow pointing down their throat
euphemism.png,Ry,euphemism,"A person with a thought bubble and a speech bubble above their head. The speech bubble has a banana in it, while the thought bubble has a penis."
fat people can be hot sexy chrome.png,cytochrome-sea,fat people can be hot / sexy,a rainbow arrow pointing from a fat person to a fire with hearts on it
erotica.png,Harlow,erotica,a blue book with 3 'x' symbols on the cover and spine
fantasy packer.png,Ani,fantasy packer,a simple drawing of a fantasy packer. It looks like a light purple penis with spines coming off of it. The packer is outlined in dark blue
foot kink.png,Ani,foot kink,A light blue foot print with a dark blue heart around it.
fingering m.png,M,fingering,a yellow finger in a semi-circular hollow in a dark pink rectangle.
full service sex worker m.png,M,full service sex worker,"A simplified drawing of a red umbrella, a yellow figure below it. Each tip of the umbrella, except the end tip, has an arrow pointing to it from the figure."
frot petri.png,Petri,frot,"Two penises pressed against each other, held together by a hand. One of the penises is light blue, and the other along with the hand are yellow."
fingering m 2.png,M,fingering,two yellow fingers in a semi-circular hollow in a dark pink rectangle.
Hot.png,Plum,hot,"A big speech bubble containing a flame surrounded by hearts. The speech bubble’s tail points off-screen to the left, to show that whoever is saying this is off-screen. A blue arrow points from the speech bubble to a featureless, simply drawn yellow person, who is blushing, showing that the words are describing the person we can see."
horny vixen.png,Vixen,horny,A redish pink cartoon style heart with flames on top of it.
fuck.png,M,fuck,"a broadly drawn, magenta glyph. a horizontal line is going into a divot in a vertical line."
i am a sex worker petri.png,Petri,I am a sex worker,"a drawing of an emoji yellow person with their hand by their chest pointing to themself. to their left is a red umbrella, with a black arrow pointing from the umbrella to the person."
i'm not always sexual petri.png,Petri,I'm not always sexual,"a drawing of a blushing face with a raised eyebrow and open mouth, speaking a speech bubble containing three X's and two hearts. above that is a clock with two green arrows circling it, with a big red X on top of it."
innuendo dusty adult.png,Dusty,innuendo,An erect penis next to a wavy equals sign. Beneath it is a speech bubble with an eggplant in it.
intercourse talksense.png,TalkSense,intercourse,a black mars symbol with the arrow penetrating the circle of a black venus symbol.
i only age regress during bdsm scenes chrome.png,cytochrome-sea,I only age regress during BDSM scenes,"a blue dog thinking happily. a thought bubble is above its head with a red arrow pointing down and a puppy with a pacifier in its mouth, an arrow points from this to a bdsm logo next to a theatre scene with two curtains drawn back, a blue sky and a house. a lock is next to it"
lube.png,Petri,lube,"A drawing of a light blue bottle of lube with a black cap, and a dark blue label on it that reads 'XXX'."
kink vixen.png,Vixen,kink,"The symbol representing the BDSM and or kink community. The outlines are a darker pink and the rest is a lighter pink, the symbol resembles a yin and yang like structure with three sections instead of two."
coastal kink 1.png,Coastal,kink,"A Shield, with singular loop-de-loop from the left side point to the right side point. The bottom half of the shield is magenta and the top half is yellow. The inside of the loop-de-loop is silver. The outline is red."
hickey 1.png,Petri,hickey,a digitally drawn image of a faceless bust with several hickeys on their neck and shoulders.
nongraphic masturbation.png,Petri,masturbation - nongraphic,a digitally drawn image of an emoji yellow person sitting on the ground with their knees up and one hand on the ground. their other hand is hidden near their genitals and movement lines imply they are masturbating. there is a pink heart next to their head.
coastal kink 2.png,Coastal,kink,"A Shield, with a singular loop-de-loop from the left side point to the right side point. The outline is black. It is not colored in."
graphic masturbation dick.png,Petri,masturbation,a digitally drawn image of a hand holding on to an erect dick.
graphic masturbation vagina.png,Petri,masturbation,a digitally drawn image of a splayed hand next to a vagina between spread legs. there is hair on their legs and lips.
graphic masturbation dick nohair.png,Petri,masturbation,a digitally drawn image of a hand holding on to an erect dick.
bsdm symbol.png,Tonto,BDSM,"the BDSM symbol, which is a segmented black circle with a white outline and three white dots."
paddle 1.png,Nubs,paddle,An orange paddle with rounded top and bottom. Shading uses red for dark and yellow for light.
graphic masturbation vagina nohair.png,Petri,masturbation,a digitally drawn image of a splayed hand next to a vagina between spread legs.
paddle 2.png,Nubs,paddle,A wooden paddle with rounded edges. It is orange with are light brown lines for grain.
rope bunny.png,Tonto,rope bunny,an anthropomorphic rabbit tied up.
dom.png,Tonto,dom,the BDSM symbol with an arrow pointing up from it.
phallic petri 2.png,Petri,phallic,"A drawing of an emoji yellow erect penis, with a large black wavy equal sign to its left."
switch.png,Tonto,switch,the BDSM symbol with an curved arrows pointing both up and down from it.
kink.png,Tonto,kink,"a whip, a ball gag, rope, and nipple clamps."
pornography talksense.png,TalkSense,pornography,An open book. Both pages have a mars symbol entering a venus symbol.
touch here chrome.png,cytochrome-sea,touch here,a yellow hand touching a red target
/LBGT_/kink belongs at pride legless rat.png,Legless Rat,kink belongs at pride,"black outlines, at the tope the leather/kink pride flag to the left of a green check mark. At the bottom, from left to right, a person in a dark grey hijab and dress with a cane and the bottom of the dress has the genderqueer flag, a person with black hair in a two spirit shirt and dark grey pants with forearm crutches, a white person with teal and green striped hair in a teal shirt with black dots and a white person with a grey hat with crossed straps as a top."
sex workers rights ani.png,Ani,sex workers' rights,A drawing of a bright red umbrella. On the umbrella is a person with their chest and genitals covered with a black bar and some change next to the person
nonsexual kink.png,Tonto,nonsexual kink,red bubble text that says 'nonsexual kink'.
masochist.png,M,masochist,"A red arrow pointing down at a blue smiley face with hearts above it, looking at a blue circle with a red patch and red zigzags coming from it, representing pain."
smut petri.png,Petri,smut,"A drawing of an open book. The page on the left has scribbles that resemble words. The page on the right has a glyph of a horizontal line going into a divot in a vertical line, representing sex."
Petplay_dog.png,Petri,petplay,"A drawing of two people, with one above the other holding a leash to the collar that the lower one wears. The one on a leash has dog ears."
my sexual attraction is not an illness chrome.png,cytochrome-sea,my sexual attraction is not an illness,two people cuddling with a flame symbol between them. A peach arrow leads from the couple to an angry green germ. There’s a red X below the couple
strap on petri.png,Petri,strap-on,A rendered drawing of a strap-on with a black harness and a purple dildo. The straps are somewhat thin and the dildo is held in place with a silver ring and buckles.
