Image URL,Credit,Caption,Alt text
aut 1.png,Nubs,aut,A blue figure with a golden infinity symbol head.
ae vixen.png,Vixen,ae,"a cloud-like creature that's blue and purple on the face has antenna and ears, and has a teal body, with an alchemical triangle symbol on the face and a green arrow pointing to aer."
aers vixen.png,Vixen,aer's,"a cloud-like creature that's blue and purple on the face has antenna and ears, and has a teal body, with an alchemical triangle symbol on the face it has a purple paw on the left holding a yellow ball a green arrow is pointing to the ball."
auts 2.png,Nubs,auts,A blue figure with a golden infinity symbol head. It holds an exclamation mark to the left
aer vixen.png,Vixen,aer,"a cloud-like creature that's blue and purple on the face has antenna and ears, and has a teal body, with an alchemical triangle symbol on the face it has a blue paw on the right pointing to aerself and a green arrow pointing to aer."
aerself vixen.png,Vixen,aerself,"a cloud-like creature that's blue and purple on the face has antenna and ears, and has a teal body, with an alchemical triangle symbol on the face it has a blue paw on the right and a purple paw on the left both pointing to aerself and a green arrow pointing to aer."
eon 1.png,Pheonix,eon,"yellow figure with clock on chest and forehead, from the clock come swirling lines that emanate out across the body using dashed lines. An arrow points at the figure from the left"
aut 2.png,Nubs,aut,A purple figure with a golden infinity symbol head. The figure points at its head
auts 1.png,Nubs,auts,A red figure with a golden infinity symbol head. It holds an exclamation mark to the right.
eons 1.png,Pheonix,eons,"yellow figure with clock on chest and forehead, from the clock come swirling lines that emanate out across the body using dashed lines. Above one arm is a purple ball with an arrow pointing at it."
autself.png,Nubs,autself,A purple figure with a golden infinity symbol head. It points at its head with both arms.
bear subj ot.png,Ottertime,bear,a brown bear with a light brown tummy. There is a green arrow pointing to bear
fox 1.png,Pheonix,fox,"yellow figure with fox ears and tail, and arrow points at it from the left"
bears ot.png,Ottertime,bears,a brown bear with a light brown tummy. Bear is holding a yellow ball with bears right paw.
bear obj ot.png,Ottertime,bear,a brown bear with a light brown tummy. Bear is pointing to bearself with bears right paw
foxs 2.png,Pheonix,foxs,"blue figure with fox ears and tail, a ball hovers over one hand and an arrow points to the ball"
bearself ottertime.png,Ottertime,bearself,a brown bear with a light brown tummy. Bear is pointing to bearself with both of bears paws
bees crows.png,Crows,bees,A cartoon-y yellow person with short fluffy hair who is holding a small brown circle. There are two cartoon-y bees to the right of the person and a brown arrow pointing from the bees to the person.
hirs m.png,"Dusty, adapted by M",hirs,A yellow figure with a purple ring on hir head touching a red square.
bee 1 crows.png,Crows,bee,A cartoon-y yellow person with short fluffy hair. There is a cartoon-y bee to the right of the person and a brown arrow pointing from the bee to the person.
beeself crows.png,Crows,beeself,A cartoon-y yellow person with short fluffy hair who is pointing at their chest. There are two cartoon-y bees to the right of the person and a brown arrow pointing from the bees to the person.
hx pheonix.png,Pheonix,hx,yellow figure with a circle and an X on the chest. On the top right line of the X is an arrow. An arrow points to the figure from the left.
bee 2 crows.png,Crows,bee,A cartoon-y purple person with short fluffy hair. There is a cartoon-y bee to the right of the person and a brown arrow pointing from the bee to the person.
eonself.png,Pheonix,eonself,"purple  figure with clock on chest and forehead, from the clock come swirling lines that emanate out across the body using dashed lines. Arrows point at the figure from the left and right"
hxself.png,Pheonix,hxself,a purple figure with a circle and an X on the chest. On the top right line of the X is an arrow. Two arrows point to the figure from either side.
eons 2.png,Pheonix,eons,"blue figure with clock on chest and forehead, from the clock come swirling lines that emanate out across the body using dashed lines. Above one arm is a purple ball with an arrow pointing at it."
em dusty.png,Dusty,em,A teal figure with a lowercase E for a head and a hand on eir chest.
luki.png,Nubs,luki,A blue figure with woven fabric for a head. An arrow points up from an arm at the head.
eon 2.png,Pheonix,eon,"blue figure with clock on chest and forehead, from the clock come swirling lines that emanate out across the body using dashed lines. An arrow points at the figure from the right"
ey dusty.png,Dusty,ey,A teal figure with a lowercase E for a head.
lokiself 1.png,Nubs,lokiself,A purple figure with a curved horn for a head. Two arrows point up from the arms at the head.
fox 2.png,Pheonix,fox,"blue figure with fox ears and tail, and arrow points at it from the right"
foxs 1.png,Pheonix,foxs,"yellow figure with fox ears and tail, a ball hovers over one hand and an arrow points to the ball"
lyko.png,Nubs,lýko,A purple figure with a humanoid monster head. An arrow points up at the head.
foxself.png,Pheonix,foxself,"a purple figure with fox ears and tail, arrows point to it from both sides"
hir m.png,"Dusty, adapted by M",hir,A yellow figure with a purple ring on their head and a hand on hir chest.
mer dusty.png,Dusty,mer,A cyan figure with a mermaid tail coming out of mer head.
hxs 1.png,Pheonix,hxs,a blue figure with a circle and an X on the chest. On the top right line of the X is an arrow. Above one arm of the figure is a purple ball with an arrow pointing to it.
hxm pheonix.png,Pheonix,hxm,blue figure with a circle and an X on the chest. On the top right line of the X is an arrow. An arrow points to the figure from the right.
mers dusty.png,Dusty,mers,A cyan figure with a mermaid tail coming out of mer head touching a red square.
kit ot 1.png,Ottertime,kit,a yellow arrow pointing to a black cat with a white muzzle and whiskers
hxs 2.png,Pheonix,hxs,a yellow figure with a circle and an X on the chest. On the top right line of the X is an arrow. Above one arm of the figure is a purple ball with an arrow pointing to it.
merself dusty.png,Dusty,merself,A cyan figure with a mermaid tail coming out of mer head and a red arrow coming from and pointing to mer.
kit ot 2.png,Ottertime,kit,a black cat with a white muzzle pointing at kitself with kits right paw
loke.png,Nubs,loke,A blue figure with a cobweb head. An arrow on the chest points at the head.
mush dusty.png,Dusty,mush,a figure with a red and white mushroom cap for a head.
it petri 2.png,Petri,it,"The word 'it' in teal, white, and red, written in large letters and taking up half the symbol. Next to it is a drawing of a pale person with long straight brown hair, with the drawing cut off at the top of its thighs. It is wearing warm colours, a sweater, a skirt, and a headband. It is also holding a blue AAC device."
lokke.png,Nubs,lokke,A purple figure with a fish shaped fishing lure head. An arrow on the chest points at the head.
seirs.png,Pheonix,seirs,"a blue figure with a purple ball hovering above its hand, an arrow points to the ball. Above the figure is a halo surrounded by stars, the stars also stretch across the figure’s body"
lokiself 2.png,Nubs,lokiself,A purple figure with a rope knot head. Two arrows point up from the arms at the head.
lokki.png,Nubs,lokki,A red figure with curly red hair for a head. An arrow points from an arm towards the head.
star 1.png,Pheonix,star,yellow figure with star shaped head. Stars are scattered around the head and across the body. An arrow points at the figure from the left.
lykos.png,Nubs,lýkos,A red figure with a dog-man head holding an exclamation mark. An arrow points at the exclamation mark.
lyk.png,Nubs,lýk,A blue figure with a human head. An arrow points up at the head.
stars 1.png,Pheonix,star,yellow figure with star shaped head. Stars are scattered around the head and across the body. Above one arm is a purple ball with an arrow pointing at it.
mushes dusty.png,Dusty,mushes,a figure with a red and white mushroom cap for a head and a hand on chest.
